PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/12/2023,9:04:12 AM,1,1,Aren Alvarez,alvarar46,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.46233957611311,-2.5662468120216206,-4.197891841035075,2044.0630950443608,241.08727644880676,2:00,5.330241333603213,2.7133044410966924,6.470381317426945,-26.50309937303424,9.265289807649012,13.23068174117144,1.502620976140351,1.1056765778933768,80.01615675045674,-7.71297544889989,0.21918396323257225,0.4314252833926149,,,,,,,,,,,,-8.581341161863175,5.9208413717251,-2.4235142560020955,49.99999999999997,5.137251968245878,8.939822805661935,-126.94711730960525,-6.457215298317647,-13.937210246775326,27.13882654163424,-22.557835817193066,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,cfd2af3a-e3d5-434b-a402-dd0c5ae7e02a,87.62135799751412,5.328026173273359,2.7178911285895873,-2.5397139620637823,-4.253977493891863,80.14653004358073,1.504881558732018,1.1019308180246494,-7.67804096349872,0.1612502579276307,0.4312959252324284,13.772431513304747,7.713705255059041,-10.46562113013727,14.990156552130617,2010.0582168154601,-371.2948983422533,98.33640760349608,-0.47543370085650105,-0.18164551732401166,-0.8607948083753661,,,,,,,,,,,,,,,,,0.9795622589917596,1,,,high,high,103.49114089691757,-22.381054841814024,54.02961868257305,,,
2,02/12/2023,9:04:27 AM,1,2,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,,1,Top,0,1,0,Slider,,StrikeCalled,,,,0,0,,77.3386462984996,-1.0254573238427143,-6.289385376041054,1362.1552066610193,235.0967736013405,1:45,5.454150033061935,2.5210265336271025,6.615203443542501,-35.88567194558014,9.152800783113406,9.526527004686459,2.878404762078505,-0.5407502804966055,71.1479378788836,-6.690433398979605,-2.701858633284094,0.48708498530364036,,,,,,,,,,,,-7.112078482458205,5.487958960147181,-2.096904732962685,50.00000000000006,5.3689051802114,12.11244665875538,-112.0180213103437,-2.9016561815055044,-9.020513508715354,20.5739681862525,-25.213467239027278,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,62c215b3-a3fb-4e16-996a-b5169fbde88b,77.48635321490191,5.450514832449804,2.5245339187817364,-0.9816334170662432,-6.332297567063155,71.26935209042365,2.8819134230843284,-0.5436351765420542,-6.635753277299959,-2.7464814893467016,0.48693271815671074,9.94699271791729,7.223121522774038,-19.611822309809767,39.46681342327993,1283.1341519767197,-457.20187561372575,94.19882152210835,-0.538998173915356,-0.33564594796391894,-0.7725430513125556,,,,,,,,,,,,,,,,,0.9903280283245991,1,,,high,high,125.52013208095192,9.156651919697389,53.884796556457495,,,
3,02/12/2023,9:04:40 AM,1,3,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,,1,Top,0,1,1,Changeup,,BallCalled,,,,0,0,,79.21504593934597,0.7312199463216561,-3.898174795522815,1492.027070052585,241.24900966702683,2:00,5.347900155806366,2.5057173750947546,6.567253239280852,-36.285306707730356,8.230554300315163,10.239279161228998,4.3646096672507015,-0.7616494300366532,71.40903459401524,-4.938460584912544,-3.0336775677550136,0.4745513148233647,,,,,,,,,,,,-6.680928281679518,4.215991967130906,-2.242043194441637,50.0,5.3829999235469215,7.593517057809031,-115.15220197570541,0.5794771994462327,-8.93925438327942,22.080439300366738,-26.532943577514086,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,2610670a-ca62-494d-99a0-5a2e70314b58,79.36837605871288,5.344362929181196,2.5097868510176866,0.7738398302514901,-3.9482633709411648,71.5344900557744,4.368128211876097,-0.7650178693250652,-4.88286132956145,-3.086181076687916,0.4744013917710139,10.740282980855282,6.292161756673535,-30.181936815803233,25.69589535537157,1289.7579431221304,-750.1128087981651,86.44333397226326,-0.41579582731359316,-0.5027474526797481,-0.7578646507211093,,,,,,,,,,,,,,,,,0.9118620509735785,1,,,high,high,113.1263058198344,14.754313190741042,53.93274676071915,,,
4,02/12/2023,9:05:00 AM,1,4,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,,1,Top,0,2,1,Fastball,,StrikeSwinging,,,,0,0,,86.18855558421123,-1.1373957766311051,-4.973951185528241,2035.678476253538,233.76707311648437,1:45,5.298027828700193,2.7161724051601226,6.550932641279431,-25.543481977371773,10.933017721505959,12.222764947234616,2.7473234383659926,0.9008531444041418,78.89601704137296,-6.430123339366125,0.03858663455535131,0.4372045607193572,,,,,,,,,,,,-8.302815756951029,6.477140084608207,-2.37783106099298,49.99999999999995,5.208194447440563,10.545936144864845,-125.08078538681606,-3.200280520495101,-13.092693009183748,26.32113051465548,-21.960260771734507,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,2dc9bcf5-d9a5-43de-b315-79b425f93238,86.35528962158166,5.296202183163227,2.720550825450796,-1.1160057261810512,-5.026793420564724,79.03259485101502,2.749250966384532,0.8973595612410298,-6.399918014145827,-0.015614135450206115,0.43706680688377536,12.727570299440439,9.39796548528698,-10.773480755114903,13.05164605813339,1999.797351518936,-380.52255063238454,98.23738742865535,-0.5806510539910338,-0.18692664635954598,-0.7924031690874759,,,,,,,,,,,,,,,,,0.996316516763031,1,,,high,high,101.74648145232005,4.65481917698044,53.94906735872057,Emiliano Gonzalez,gonzaem47,Uc san diego
5,02/12/2023,9:05:15 AM,1,5,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Windup,1,Top,0,2,2,Slider,,BallCalled,,,,0,0,,80.7495632909258,0.9914493807612242,-4.255438693284176,2258.3027674121263,297.20603797898553,4:00,5.315161271655161,2.9053649517916154,6.305607523915566,-39.37186541788157,1.6958281813318905,0.17595690929137606,3.609226848968429,1.0938128092648258,75.01072615939304,-6.728030069345207,-1.4269708773332883,0.4673641917690756,,,,,,,,,,,,-1.3735542287925395,1.3210569193698594,-2.5934394586747045,49.99999999999992,5.368930602094064,8.718530086381113,-117.30126488873297,0.9682770586687389,-1.9146715314809548,22.090663590946708,-30.33255689356591,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,da7997fe-d289-4b53-a106-591f9605be09,80.89033995842514,5.31043031711768,2.910194144593752,1.049276157111068,-4.315262912025085,75.1088682919233,3.6137653943682295,1.0900402414353647,-6.658015542585785,-1.4849804361371253,0.46723761857121054,0.7633178705644699,-0.13417826815108522,-86.2046487372189,41.1002866221824,149.4836755280729,-2253.349955078413,6.619292934727785,0.03026285482108703,-0.9978068430835831,-0.05886988630574655,,,,,,,,,,,,,,,,,0.9517853306845109,1,,,high,high,53.00974204003583,40.18375980828585,54.19439247608443,Emiliano Gonzalez,gonzaem47,Uc san diego
6,02/12/2023,9:05:33 AM,1,6,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Windup,1,Top,0,3,2,Fastball,,Foul,,,,0,0,,88.5008392728462,-1.8139696883141747,-5.292582595763881,2087.921482662206,232.5871192940637,1:45,5.378120033122375,2.7272659899158715,6.46666626306592,-23.58201235051402,10.940190112300499,11.636670317945653,2.0965754568761255,1.3443488398100074,81.35957222683217,-7.1323842604017536,0.5972006994671126,0.42671626654016503,,,,,,,,,,,,-8.084128697627854,6.7517952217038495,-2.3589668805430306,49.99999999999999,5.23912100240251,11.546521936257268,-128.32018216656914,-4.765435808575077,-13.425192645319619,27.545773941890538,-20.961443386432613,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,1b4a4a7f-6c73-402f-b62e-89e746f728ca,88.67009608604899,5.376702165456321,2.7315056628372214,-1.7971278860568325,-5.344314306007997,81.49923363319074,2.0981991712893735,1.3409371854424799,-7.106972073818227,0.5441930040485577,0.42658297569814585,12.132776840381531,9.526742084950532,-16.942749928399294,5.602099474450866,1997.2982076574563,-608.4537677183515,95.6596416217146,-0.5811843782490081,-0.2914160196017247,-0.759803541712462,,,,,,,,,,,,,,,,,0.8244285092080759,1,,,high,high,95.0418895270058,2.379191318702756,54.033333736934075,Emiliano Gonzalez,gonzaem47,Uc san diego
7,02/12/2023,9:05:58 AM,1,7,Joseph Soberon,,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Windup,1,Top,0,3,2,Sinker,,BallCalled,Walk,,,0,0,,88.00921003965449,-0.09314709018392153,-5.859792080185662,2056.1174228998607,239.90345716059264,2:00,5.2349852119196605,2.8749408317392886,6.5953522149374555,-25.458613612175547,8.720379802991857,11.62834550017732,3.3669748010358145,1.4340411068382022,81.37404979868879,-5.895444970520694,0.514430299026129,0.4281759407548451,,,,,,,,,,,,-8.336914258464413,5.210077003126784,-2.4792747491320117,50.000000000000014,5.217591652105723,12.76079960670449,-127.57613576800094,-0.930441867611439,-13.687140257012532,27.187265133707875,-23.620398621048526,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,4e6d6241-4e57-4e41-854c-91d4521a3ce9,88.17667110544143,5.233155483772191,2.8793815949188293,-0.07089847154917472,-5.915230422886285,81.51200688286275,3.3689935629506556,1.4303968341821047,-5.863925683747716,0.4580014435078447,0.4280444408911948,12.160315532325331,7.262357436840934,-28.353942315988476,13.406279805576107,1809.4462924152572,-976.4850083933926,88.00306209473635,-0.4412988650708917,-0.4749169466285635,-0.7613863707029074,,,,,,,,,,,,,,,,,0.9949962371225843,1,,,high,high,102.0656518250185,-18.265160825867238,53.904647785062544,Emiliano Gonzalez,gonzaem47,Uc san diego
8,02/12/2023,9:06:29 AM,2,1,Joseph Soberon,,Right,Uc san diego,Patrick Hackworth,hackwpa42,Left,Uc san diego,Stretch,1,Top,0,0,0,Changeup,,BallCalled,,,,0,0,,78.09124820055102,-1.580633339956301,-6.339654477102058,1621.8272532093126,242.66071651670387,2:00,5.315360600858054,2.4795585131341973,6.624371522781419,-35.30059627236711,8.418561885747671,11.031519888830866,1.6844316711202498,-0.6307459482672089,72.39540219000519,-8.080844187251838,-2.2525894593920004,0.4825186601716226,,,,,,,,,,,,-8.028052985466566,5.30866294818554,-2.0536608094760225,49.9999999999999,5.192640126762623,12.287894006046226,-113.07196244115134,-4.02423824366083,-10.371742799349112,21.01929993430768,-25.315588785268886,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,3db779a8-4e31-405a-8b8c-dda0a9248267,78.2385120240072,5.311702408833911,2.484002957522755,-1.5368237977430932,-6.393514663202365,72.51284272258465,1.6878753156055957,-0.6342615276528712,-8.027431155652714,-2.3070084384047598,0.48237156906689077,11.54738447868339,6.53600760058588,-26.555169806940693,9.512349744846485,1450.7314573539902,-725.0530173001362,89.45043033918971,-0.4108088887305203,-0.4470593374635819,-0.7945904641553522,,,,,,,,,,,,,,,,,0.9929695459441031,1,,,high,high,98.56111477036183,6.963651872227491,53.87562847721858,Emiliano Gonzalez,gonzaem47,Uc san diego
9,02/12/2023,9:06:48 AM,2,2,Joseph Soberon,,Right,Uc san diego,Patrick Hackworth,hackwpa42,Left,Uc san diego,Stretch,1,Top,0,1,0,Changeup,,StrikeSwinging,,,,0,0,,78.61802665782794,-1.2586020634086406,-3.5724632236527674,1437.7990717409666,239.00616935181853,2:00,5.390544556921325,2.4276459039015394,6.584108172551007,-34.87196325702032,8.347915957245426,10.036205043774245,2.046479939177525,1.177369129151626,72.77250365704333,-8.088884979618266,0.42549245018036286,0.4778410902282381,,,,,,,,,,,,-6.660001524276713,5.111907724295095,-2.187498758701513,49.99999999999995,5.289239925729189,6.883176665570771,-114.3133215383697,-3.4010742880220457,-8.784100832899481,21.710517078767534,-25.43178192509846,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,01865684-bf18-4f4b-86a2-529505905e9d,78.76514217173128,5.386922003086468,2.431452151160434,-1.2150715795628735,-3.6190664370866883,72.8906670687338,2.0499836159574922,1.174270368027226,-8.035155601403828,0.3776875188061982,0.47769281276335784,10.478856523623815,6.43293793826567,-20.71006435313508,5.059147680828146,1344.8912638357358,-508.4620528195814,93.53819252416592,-0.48167097135480186,-0.3536391578024233,-0.8018306687966696,,,,,,,,,,,,,,,,,0.97775637201381,1,,,high,high,94.55323291274537,-5.431721035496547,53.915891827448995,Emiliano Gonzalez,gonzaem47,Uc san diego
10,02/12/2023,9:07:10 AM,2,3,Joseph Soberon,,Right,Uc san diego,Patrick Hackworth,hackwpa42,Left,Uc san diego,Stretch,1,Top,0,1,1,Changeup,,StrikeSwinging,,,,0,0,,77.39627015997935,-1.253182137210188,-4.524369928591275,1148.5934066463867,241.51398362097876,2:00,5.3589265319461425,2.318549461015985,6.605720189206605,-38.575909784190074,7.213766423783298,8.884784431356458,2.098495743813249,0.30607147575565213,70.73108738952021,-8.128804751581564,-0.7662781380663238,0.4854631811007723,,,,,,,,,,,,-6.215804492523344,4.4007635588985226,-2.0141508127761782,50.000000000000014,5.257367795779107,8.678095740024007,-112.41736819261045,-3.399527158479361,-7.938997334858284,20.746070112037728,-26.553272708692894,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e8b88e57-b66e-4216-b395-c9126095830c,c128f6be-1ae0-421e-b0b4-6314110583a1,77.53648502069953,5.354731677483756,2.3217644446139225,-1.2023078144076762,-4.563926871463443,70.8415828265887,2.1025812888398607,0.3033957309979184,-8.065996733591946,-0.8076499093404484,0.48531765146119515,9.271855730767525,5.178221067664555,-19.418555076754203,4.248554863674162,1083.2557143933332,-381.868918643219,94.31150380326284,-0.4498133055562836,-0.332466577322765,-0.8289354408564127,,,,,,,,,,,,,,,,,0.791136809795006,1,,,high,high,93.82369937730675,-10.432683450875697,53.89427981079339,Emiliano Gonzalez,gonzaem47,Uc san diego
