PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/24/2023,11:03:30 AM,1,1,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,4a355e42-8af0-4566-a51c-88fc39519ad9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
2,02/24/2023,11:03:28 AM,1,2,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,83.65448596172871,-1.456541849042482,0.4789506887271105,2506.135406542427,340.50148335517287,5:15,5.29666713585676,-1.1563405824168442,6.2213864198101145,-43.57173702317473,-4.138129371544018,4.38210354630275,1.0314559464178086,0.49328506701072145,75.89530269699944,-9.92970356901,3.4451646312250483,0.4519649723793845,,,,,,,,,,,,-2.2539080323078347,-1.8327552826965485,1.1183824171128107,49.999999999999986,5.1660833824051355,-1.1430910017201847,-121.76794947544431,-4.340937367592517,-3.3649293105840554,25.174800136062064,-34.91022687516771,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,0e13e902-51e8-49c2-b55a-708b727ce105,83.76156707365145,5.289423867453275,-1.1598087140201345,-1.3668459646042814,0.5228265950088056,75.96817121400352,1.0378964322821989,0.49601450864542374,-9.831972265735228,3.486796927192086,0.4518653417079194,3.9769133305819673,-6.344469410806429,73.88756594542305,18.202282951967124,695.5105656558496,2407.691784466329,27.75231393484066,0.2616072241746606,0.9607189532460598,-0.09263235467925872,,,,,,,,,,,,,,,,,0.9964783465232797,1,,,high,high,73.61794534322958,-53.38315497663805,54.278613580189884,Emiliano Gonzalez,gonzaem47,Uc san diego
3,02/24/2023,11:03:41 AM,1,3,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,0,0,,91.2736720447146,-3.050882977353065,1.5425520769760066,2045.7288277808275,150.01783891649168,11:00,5.304479643698094,-1.1560509723887713,6.1961814020565855,-18.47147747166412,14.762355121736544,-7.723172610118811,2.045211744239992,-1.0298367922608556,82.2110394620195,-6.009402458600732,-0.7258674853912577,0.4149174846209282,,,,,,,,,,,,4.667661282112587,8.95284919763354,1.0440588125548702,50.0,5.065668431342424,-3.3309892685620017,-132.6692557044834,-7.651631595453846,8.277218552985829,29.719787883556236,-16.29785699149434,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,fbf71615-87ba-4714-a17f-e84957653dd0,91.45252947927472,5.3042170547428835,-1.1584334218447794,-3.0483060483000033,1.5715200993643335,82.36590162989002,2.0458960643759365,-1.0278465432398678,-5.998320715553876,-0.6949539526551113,0.41477986104446335,-7.987098646958823,13.551603393875967,-5.3645629094917595,87.42654573760136,2036.7684936203364,-191.26039895667014,99.56199795208384,-0.8623871450455342,-0.09349254718385439,0.4975415115156599,,,,,,,,,,,,,,,,,0.9976502532118996,1,,,high,high,11.316108836158895,7.337790533414426,54.30381859794341,Emiliano Gonzalez,gonzaem47,Uc san diego
4,02/24/2023,11:03:54 AM,1,5,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,2,2,Fastball,,Foul,,,,0,0,,84.82989675483783,-0.5642052080206409,1.3341450943907434,,,,5.2280194681993315,-1.2124316786478069,6.234834268355337,,,,1.9534409020453107,1.253876683951227,78.27181217105631,-8.415637317411969,4.034427947281806,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,0615b355-76b0-4752-b369-2435b822a91a,84.96284333650381,5.223464528496694,-1.212431678647811,-0.508174406038634,1.3341450943907553,78.3750919089889,1.9576921418844517,1.2538766839512272,-8.351295635586157,4.034427947281824,0.4441350104244224,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.265165731644665,Emiliano Gonzalez,gonzaem47,Uc san diego
5,02/24/2023,11:04:08 AM,1,4,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,1,2,Slider,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,796ecbf1-808d-4284-916e-b41ae2ed8efa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
6,02/24/2023,11:04:24 AM,1,6,Zack Ernisse,ernisza42,Left,Uc san diego,Rylan Charles,charlry44,Left,Nevada las vegas,Windup,1,Top,0,2,2,Fastball,,HitByPitch,,,,0,0,,91.43592978857596,-1.3582449056998465,0.45456260099051576,2045.2480876471275,148.70069946579557,11:00,5.343697510903664,-1.099951839069826,6.195791572352317,-19.335047032875302,14.76241103223704,-7.981071678024176,3.5106851036266473,-1.7448533673027007,81.9060370016659,-4.882210164654189,-1.8468629222504604,0.4138984739809317,,,,,,,,,,,,4.459787412431434,8.354441431000152,1.0698025654789665,50.00000000000005,5.232288997859823,-0.8076419925406549,-133.0855214636281,-3.7360021334758473,7.944387488366024,30.37040591619806,-17.2919680339245,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,e31c70ca-1414-4dcf-86a1-626e4100b7dd,91.61807205114786,5.343492581148815,-1.1024557423737438,-1.3564227034834562,0.48541067638670554,82.06278905975113,3.511367786326143,-1.7427324152814851,-4.871109137994144,-1.8137198973541766,0.4137580335999442,-8.285569828517577,13.441210192573868,-2.3496136192036152,71.07189248532886,2043.528585269128,-83.84903823055055,99.9159269533909,-0.8537467974460465,-0.04099700116429947,0.5190719138483163,,,,,,,,,,,,,,,,,0.9971596592217385,1,,,high,high,26.035296763204318,87.7240076093175,54.30420842764768,Emiliano Gonzalez,gonzaem47,Uc san diego
7,02/24/2023,11:05:17 AM,2,1,Zack Ernisse,ernisza42,Left,Uc san diego,Santino Panaro,panarsa42,Left,Nevada las vegas,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,b1d7949e-c21b-4804-b5c0-2bd5dc63fe68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
8,02/24/2023,11:05:37 AM,2,2,Zack Ernisse,ernisza42,Left,Uc san diego,Santino Panaro,panarsa42,Left,Nevada las vegas,Stretch,1,Top,0,0,1,Slider,,BallCalled,,,,,,,81.86897801003603,1.9126299080419094,-1.2557248031512662,2537.312037636062,325.8355605053877,4:45,5.4077924570016,-1.217942810829078,6.078781478097785,-47.262270237126394,-5.824591425803092,5.96632474854221,3.7637245478047867,0.5491046998612047,74.82237221922098,-7.575716789747306,3.345621367438381,0.4633073951804011,,,,,,,,,,,,-3.613232961391039,-3.7296383019827455,1.311687344680002,49.99999999999997,5.5303691463134665,2.4390879857192873,-119.08881315729583,2.620517545366414,-5.159962244068398,24.062152322826694,-37.500247212308985,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,989148b9-641b-4b14-a888-a3e4cca47813,81.97837096405257,5.398965683043831,-1.2210849254663785,2.0188821185010837,-1.217048059092189,74.8942877598719,3.7707621597009426,0.5512252694874298,-7.46749191258191,3.3780110742211114,0.46320745317689543,5.6073030762392095,-8.257326746748973,67.6462887774129,7.3426195640784675,964.9989109924682,2346.64217087229,38.03233093441391,0.3146906385281713,0.9248535994250777,-0.2135781394553516,,,,,,,,,,,,,,,,,0.9967417120228411,1,,,high,high,96.60835760767063,-34.0190951456763,54.42121852190221,Emiliano Gonzalez,gonzaem47,Uc san diego
9,02/24/2023,11:06:16 AM,2,3,Zack Ernisse,ernisza42,Left,Uc san diego,Santino Panaro,panarsa42,Left,Nevada las vegas,Stretch,1,Top,0,1,1,Fastball,,BallCalled,,,,0,0,,91.35704811000191,-0.8290935769775395,3.0792870593648565,1942.143191751068,153.41631701611766,11:00,5.4264829688847485,-1.276918331429283,6.141884492689753,-19.80699832920296,14.939820484782683,-6.70431722170169,4.087421855271909,0.37506305660814165,81.14783667586384,-4.156321150720596,0.982088837445406,0.41498138655014,,,,,,,,,,,,4.520812046375702,8.224523051270983,1.0459026371419156,50.000000000000014,5.353702283329657,-6.934403232935717,-132.80475070305832,-2.513195044582082,8.029056519505893,29.916579642671817,-17.567125045181356,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,c9b188d7-e923-486a-9aad-848935b4719c,91.54326800127816,5.426264662506524,-1.2789865701484013,-0.8271703563316077,3.104115167131013,81.30660684812493,4.088149224396455,0.3767914535257167,-4.144481328056013,1.0087658385580818,0.41483824056714075,-6.949332998434167,13.620635703019135,-3.4695758071337277,75.83761677498782,1938.583388137199,-117.53563078284988,99.81670745859581,-0.8926425642592126,-0.06051851958293448,0.4466841851467629,,,,,,,,,,,,,,,,,0.9977293928923991,1,,,high,high,21.74614490251093,74.31961432473798,54.358115507310245,Emiliano Gonzalez,gonzaem47,Uc san diego
10,02/24/2023,11:06:36 AM,2,4,Zack Ernisse,ernisza42,Left,Uc san diego,Santino Panaro,panarsa42,Left,Nevada las vegas,Stretch,1,Top,0,2,1,Fastball,,InPlay,,GroundBall,FieldersChoice,1,0,,89.96429118599401,-1.8011629378896283,1.1836440331065086,1963.6297352320962,151.40398923722051,11:00,5.3889801342746075,-1.0782000516133297,6.168330922280619,-19.473027505171505,14.7211284526331,-7.208398522121563,3.3558403084823136,0.2930319529601358,80.86599666080546,-4.856585585529715,1.267667036481109,0.42086951213404966,90.69018796383526,-13.951645642910377,-36.50204677270522,,,,,12.41243785039381,,-37.821758722730145,0.10409448757256505,4.2807531269866255,8.560934868771959,0.9923884170399949,50.00000000000002,5.242775160148072,-2.4808307527205025,-130.89438431384565,-4.721191872351306,7.384071721923305,29.1135584206128,-17.406891751269825,UC San Diego,Nevada Las Vegas,tri01,NCAA D1,BWC,13c339b1-085b-4af1-94aa-f8ea59e3eb0c,df246dda-8116-45c3-8f14-86ff7c0f4155,90.14484298769392,5.388615673899949,-1.0804452547897268,-1.7973970475127203,1.210946468210889,81.02092064690694,3.3566425801978075,0.2948686048398234,-4.843528035802494,1.2962181666469736,0.42072632589774495,-7.4571686250299525,13.437352027245094,-4.030476686437084,78.45690417770787,1958.7732946788178,-138.01781457754635,99.75268043327402,-0.8758447962608148,-0.07028708727576535,0.4774469794910641,-52.35572799783164,70.74941971891865,-21.865670540121116,-0.06940857497046249,-0.8698202863113877,3.294293350745158,-7.611394767262201,9.804860176809381,,,,,,,,,0.9974346318930724,1,,48.44431485567583,high,high,19.38878624006292,14.773469341176027,54.33166907771938,Emiliano Gonzalez,gonzaem47,Uc san diego
