PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/26/2023,4:59:08 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jonah Advincula,advinjo42,Left,Washington state,,1,Top,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,436a22fd-b76f-441a-99ce-f0ddb68caa92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
2,02/26/2023,5:04:41 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jonah Advincula,advinjo42,Left,Washington state,Windup,1,Top,0,0,0,Fastball,,InPlay,,Bunt,Out,1,0,,95.0866911638774,-1.8056227740187578,-2.6713795571188546,2285.0571222931912,221.60495181228217,1:30,5.162601615998136,1.068207739746858,6.648820355275552,-17.16164697605683,13.160535969254958,10.215079073804356,3.492515396232755,-0.3496371820946225,86.01409724982004,-4.024851601585877,-0.19522926955726838,0.3963252609777094,39.053924199070295,37.834700463976375,37.92208038466027,2474.244348712152,,,,96.69488055467252,,40.88912685124592,2.4218465093773096,-6.311658643076603,7.528567988961812,-0.6272917611784916,49.999999999999986,5.547836139895376,4.873681904378259,-137.85359840476875,-2.301020173837004,-12.062755400754309,32.59722767398127,-17.785553739759585,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,e746f543-3fa8-4ed3-bdd2-c460f3784a76,95.26725672063269,5.162510207597093,1.0716488918560507,-1.8050637930274596,-2.714318123233502,86.17252011823795,3.4929815627480307,-0.35256104091281026,-4.017033258958935,-0.24102487097993439,0.3962056244611881,10.635910686762715,12.024721789211526,-11.291127434330184,54.46949643238214,2240.8298183340403,-447.4011370212105,98.0644989778301,-0.7332681785598039,-0.1957942900666819,-0.6511392894679844,18.956483882358786,24.33132550853162,23.955110376754238,0.5408096791581362,1.5927800359713276,3.712769428324913,63.29621372207362,73.0991740988362,5.708333600153272,-1.3841754936885555,0.1887977406794663,0.9093754021970049,-0.1218269059876507,-0.39773682612565775,,,0.9966664358521181,1,0.9977286362335716,5.684595000617688,high,high,40.977453210856076,83.32327080347369,53.851179644724446,Emiliano Gonzalez,gonzaem47,Uc san diego
3,02/26/2023,5:05:14 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jacob Mckeon,mckeoja42,Right,Washington state,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,94.049241790211,-1.5139406553064025,-3.2609424914805425,2316.456365589296,218.61967105323495,1:15,5.230185737566641,1.0247264398246887,6.493164967576326,-17.15527259487622,13.811222368123598,9.415821661115826,3.456243363646697,-1.152313901928527,84.87577985705805,-4.489562976379532,-1.1352278625724206,0.40051385848421567,,,,,,,,,,,,-6.158103238822983,8.069335973862348,-0.8006058482736037,50.00000000000001,5.116515061774213,7.505155360468158,-136.73989914353368,-4.140346071100542,-11.592713740245497,31.76295700022684,-16.98341402972911,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,ae7ae5bd-caff-43e1-b4d8-69653f29d3b1,94.23465197906678,5.230227086641493,1.0282012559319886,-1.5150785491869427,-3.3032651355030977,85.03474875307111,3.456654357962191,-1.155190893432374,-4.482603784236924,-1.1796070740106823,0.4003826364796283,9.801030415325892,12.701505603816253,-19.30964032370969,67.63631950602513,2186.1448688301166,-765.9900170151848,94.37453263981388,-0.7373541059941928,-0.3306731904791655,-0.5890366401777007,,,,,,,,,,,,,,,,,0.9745806429724897,1,,,high,high,29.127312444577388,-66.33484669258331,54.00683503242367,Emiliano Gonzalez,gonzaem47,Uc san diego
4,02/26/2023,5:05:29 PM,2,2,Ryan Forcucci,forcury42,Right,Uc san diego,Jacob Mckeon,mckeoja42,Right,Washington state,Windup,1,Top,1,1,0,Fastball,,StrikeCalled,,,,0,0,,93.79972996147698,-2.154579479119651,-2.443554470409786,2316.144203197278,223.25731554655997,1:30,5.146152393154333,1.0914940905884352,6.434999673217665,-18.470826167968674,13.171511155951976,10.674151330743019,3.123257331746843,-0.13570511302483593,84.58861580255868,-4.566682690462654,0.019413439055743005,0.4019543740313979,,,,,,,,,,,,-6.557844186319702,7.882939525935206,-0.9228440322292467,50.00000000000006,4.9848749758823505,5.496554011133578,-136.40945325501673,-5.6891908435109535,-12.281903553849942,31.69426806281016,-17.410432118488576,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,a26702e9-0680-4dce-81d6-aab10f962297,93.97935816839627,5.145925223753797,1.0951969172483,-2.152376520990927,-2.489429556096707,84.74479059872021,3.1238820349023526,-0.1388639910688012,-4.556475771773687,-0.029481821529413733,0.40182499414461753,11.129123022868775,11.964763269056736,-15.196419199819802,44.86262577855061,2235.1553061296154,-607.1282627954159,96.50328779374519,-0.7028175022003935,-0.2621288700234282,-0.6613138544602255,,,,,,,,,,,,,,,,,0.9902969988592848,1,,,high,high,49.62363679930446,-60.59912150780513,54.06500032678233,Emiliano Gonzalez,gonzaem47,Uc san diego
5,02/26/2023,5:05:45 PM,2,3,Ryan Forcucci,forcury42,Right,Uc san diego,Jacob Mckeon,mckeoja42,Right,Washington state,Windup,1,Top,1,1,1,Curveball,,StrikeSwinging,,,,0,0,,78.61826225132363,-0.436356832099202,-0.013074217559600044,2175.1636506603736,37.49103412895992,7:15,5.185720557418144,0.8965957916188819,6.446136795593007,-53.294829831745446,-8.780706744931685,-9.676662487338941,1.0050108429530102,-0.0053916438462618755,71.59781185120201,-11.05586236550952,-1.7707483333417084,0.48019809585955353,,,,,,,,,,,,5.336649395023622,-4.708507277012484,-0.891316519156813,49.999999999999986,5.130865100319691,0.2729157151397915,-114.46753970520624,-2.2310282684343448,6.988721038979911,23.689676476463468,-38.34017395229847,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,de5bd7dd-df9a-4bc0-a727-0beda55fc0f6,78.70176759691748,5.175250563887533,0.8965721077525841,-0.3082878591470793,-0.013060722034620987,71.63592379934228,1.0137559553868578,-0.005225338866826465,-10.9240148813583,-1.7679055585283543,0.48011186373621095,-9.674194648091403,-11.773725203038886,-42.20882711949996,62.728867678027534,1611.1461005573017,-1461.350454139309,74.07010962454078,0.587708241895814,-0.6718347162962415,0.4508182964198327,,,,,,,,,,,,,,,,,0.9973515051708983,1,,,high,high,33.544019089775254,13.19618482714698,54.053863204406994,Emiliano Gonzalez,gonzaem47,Uc san diego
6,02/26/2023,5:06:02 PM,2,4,Ryan Forcucci,forcury42,Right,Uc san diego,Jacob Mckeon,mckeoja42,Right,Washington state,Windup,1,Top,1,1,2,Fastball,,StrikeSwinging,Strikeout,,,1,0,,95.68662088501883,-3.243458033709748,-2.029469696606564,2294.793693733342,216.17224147881032,1:15,5.146660274340186,0.8372242879918727,6.597458931683505,-16.254933370411923,14.191404090269547,8.909775094263491,1.791335256576239,-0.6987369370961943,86.29410848193221,-6.194287663112124,-0.6551545627269069,0.3928556501614324,,,,,,,,,,,,-5.496798380715978,8.730886833743075,-0.7026705539386897,49.999999999999986,4.918717228833211,4.662359473915461,-139.11286466323776,-8.36399724424885,-10.715852129689768,32.718331778051194,-15.153433985531183,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,3e1005b7-98d9-4593-8200-808c52faa3f7,95.86865552479323,5.1468443822010865,0.8403336095259235,-3.246285617907737,-2.067666902564253,86.4510940100001,1.7916087857491092,-0.7013537756141618,-6.189546815593831,-0.695456714830762,0.3927294882086643,9.281207461634907,13.132269291270244,-13.927663267439737,41.048943573560926,2227.3276361862763,-552.34925353364,97.06003821906506,-0.7835136183933951,-0.2406966931458823,-0.5728625591716797,,,,,,,,,,,,,,,,,0.9945836437690104,1,,,high,high,53.05595078379519,-60.517652519426136,53.902541068316495,Emiliano Gonzalez,gonzaem47,Uc san diego
7,02/26/2023,5:06:28 PM,3,1,Ryan Forcucci,forcury42,Right,Uc san diego,Sam Brown,brownsa52,Left,Washington state,Windup,1,Top,2,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,93.97913778090056,-1.3748595714017906,-1.62724854124109,2273.0696599827593,224.527203388029,1:30,5.116392818265872,1.1116590755919227,6.439597245045131,-18.761172890537303,12.761432442741953,10.784338445762998,3.222794769010276,0.27443168791943634,84.82270558129612,-5.139033835451858,0.6275801928600813,0.40093883591552243,96.72535690351752,37.97997990040752,-9.444621015032977,,,,,363.82017277986273,,-9.465062753420336,4.688773275187401,-6.417099575146536,7.394069448873329,-1.0011927005472536,50.000000000000014,5.010575336653984,3.555830904486213,-136.79062285962814,-3.8473453446579717,-12.074719650033893,32.12298218706197,-18.261016973289248,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,3be388fc-b002-404f-b8df-ce90a8f557be,94.15954145423187,5.116063480926589,1.1153926941495713,-1.3713095606255576,-1.6736776443660852,84.97664723944102,3.223528863133488,0.27128828664615595,-5.127177868196306,0.5787067690593972,0.40080860734889023,11.238796099084977,11.545779984225058,-14.087411257681536,24.938459622509864,2204.7082656156476,-553.2695027382034,96.99255172111047,-0.6914769573446214,-0.24340191261116031,-0.6801581627817559,-12.510778528127366,75.20794661246282,59.52343954334237,-0.29756823256110365,1.1416121622362183,3.1911973630148105,-59.828833203132774,358.8671465028819,,,,,,,,,0.9963540651199181,1,,52.934992459769745,high,high,112.44461366025888,-21.52702804190957,54.060402754954865,Emiliano Gonzalez,gonzaem47,Uc san diego
8,02/26/2023,5:08:18 PM,1,1,Grant Taylor,taylogr49,Right,Washington state,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,944de2d9-3c07-420b-b8e4-39c784ad9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Cresswell,cresswi42,Washington state
9,02/26/2023,5:08:56 PM,1,1,Grant Taylor,taylogr49,Right,Washington state,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,0,0,Fastball,,BallCalled,,,,0,0,,91.48064043407946,-1.6245703266821854,-3.355242484554707,2135.5580645934856,220.74363833747327,1:15,6.1817261930802525,2.1241913892824336,5.845765626131136,-20.24697718680524,12.8753633067168,9.202659284707607,4.3307318734089,0.16719799448781864,83.62358566806287,-4.494043906598639,-1.0705578332586352,0.41422092209330175,,,,,,,,,,,,-5.785176691734753,7.14301661420013,-1.7850870100430465,49.999999999999964,6.587787132695351,6.240633793889032,-133.749433496743,-2.2829088234203967,-10.423061382444251,30.29810561883955,-19.30458948256075,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,6a64041e-b36a-4da4-bda9-57191d69ceee,91.6640205007806,6.181126380957486,2.127777847343507,-1.6180112930397763,-3.3985284838009866,83.78346786297732,4.331638513079804,0.16424651977407997,-4.479499397572138,-1.115891964444573,0.4140906937362438,9.626586694978021,11.60925962424152,-26.4282434377368,90.61548166143224,1912.376167551483,-950.4870546363994,89.54924706837758,-0.6784586381682183,-0.44507666187822875,-0.5844661165082706,,,,,,,,,,,,,,,,,0.9976980705073059,1,,,high,high,8.44606650471117,58.550502204265335,54.65423437386886,Will Cresswell,cresswi42,Washington state
10,02/26/2023,5:09:47 PM,1,2,Grant Taylor,taylogr49,Right,Washington state,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,1,0,Fastball,,InPlay,,Popup,Single,0,0,,91.07874987059141,-2.549239260796227,-3.3861395536363985,2194.2963631933294,220.46791416014545,1:15,5.923285922786341,1.8778069017436225,5.979701149252032,-20.92636904850098,12.861421082773589,8.76384770540466,3.28279313500936,-0.3454313279954108,82.76637064946799,-5.506835283230864,-1.269583308379347,0.418361215781383,77.16002389264872,25.2544785791083,-7.962491989101336,3149.6925051545836,,,,253.89157622195714,,-17.80523727286129,3.369665149320264,-5.5981356180318125,7.4233120637232135,-1.4099430202412007,50.00000000000001,6.347306469995569,6.459141746668792,-132.0646595875603,-4.300912855116298,-9.842105287270185,29.312976669892137,-19.123094072150995,UC San Diego,Washington State,tri01,NCAA D1,BWC,00c5aeb9-e7df-48d0-be94-33d755f43b2f,18d498bc-d30e-46a6-983d-02ce36090e4b,91.25808232820506,5.922640831288659,1.8813151134768702,-2.54194652770425,-3.4290561330256977,82.92152660782165,3.283786709749781,-0.3483617023207985,-5.490905271905954,-1.3148042958432842,0.41823040180369514,9.193041627423629,11.587194368866854,-32.32957016556835,93.15044594627486,1854.149576081169,-1173.4845031109242,84.49859404510202,-0.6428395648512909,-0.5347885193607887,-0.5484145634660866,-9.66698219901776,69.1124060030323,32.91950909035585,0.3125502064707583,2.0266475682416143,3.3472619890099224,-77.63555916661437,241.73053681601132,-45.48015239430672,7.737065342768739,0.5143621807158318,0.6142043858433877,-0.35503532048607184,0.7047715187336243,,,0.9975198641340793,1,0.9965820276577425,39.441529406161536,high,high,6.16459864835276,-41.80755899604485,54.52029885074796,Will Cresswell,cresswi42,Washington state
