PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/27/2023,12:03:50 PM,1,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Cadyn Schwabe,schwaca46,Left,North dakota state,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,91.42804484121356,-5.29478339363286,-0.914674064176617,2257.0089315166415,189.82707798526755,12:15,6.652287256957734,0.922546214530998,6.394365332690275,-16.36972198470358,16.187638138025385,1.564686502936674,1.3531950509600714,0.3042235694138479,84.2091959732387,-8.198202712103797,-0.1431761662762339,0.4133046044433411,,,,,,,,,,,,-1.1232099515584908,10.505637585638967,-0.8577257404485432,50.000000000000014,6.2640234425051,2.069941206518019,-132.60595496638646,-12.791519629806691,-1.9940176347538157,29.146233802040925,-13.523550112566767,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,64e36e89-ebb3-4627-9813-b8ed88c4c379,91.60444699973363,6.652501052733817,0.9236903043228095,-5.298074735635574,-0.9288381755261468,84.36499198254828,1.3534037906329557,0.303287674083803,-8.194487163050468,-0.15755290858580034,0.41316882805644145,1.7020739674453373,15.123682924999674,-29.060741232804336,62.57250467194252,1972.8633566449425,-1096.311768136027,87.41052501370645,-0.8612798074937352,-0.48573656613726324,-0.1491880743247741,,,,,,,,,,,,,,,,,0.9946590053365335,1,,,high,high,33.68474579525172,57.19639396546213,54.10563466730972,Michael Fuhrman,fuhrmmi44,Uc san diego
2,02/27/2023,12:04:08 PM,1,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Cadyn Schwabe,schwaca46,Left,North dakota state,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,0,0,,91.84616011296953,-3.7665908024774346,-0.1985491567496032,2275.9366664131708,189.14066482037194,12:15,7.291755225290949,0.5619955775032589,5.999999999999997,-16.455717420014306,16.617094993573335,1.676993675930947,2.4257215519577056,0.5177927083148212,83.83503357559184,-6.8490443877226275,0.11837010934871145,0.4139111124354834,,,,,,,,,,,,-0.9664133751632071,10.099005746346435,-0.5473225890550277,49.99999999999998,6.9864609046819215,0.4075066932019463,-133.41447606317922,-9.321238474966691,-1.734697010803834,29.802499186663077,-14.046490996158091,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,f6cdf705-8898-4f3b-8a6a-a9656c817102,92.03754940262762,7.292148702349758,0.563226039458308,-3.772074701502916,-0.2135218245606928,83.9962512608477,2.4258371385881583,0.5168477676219383,-6.846688610170017,0.1037347798338223,0.4137801749596728,1.8173533279810308,15.503424182930244,-27.52016898986275,88.80323175259474,2018.4104125531899,-1051.6211846576493,88.68482336699479,-0.8755864208796695,-0.46206082980111335,-0.14088367234934177,,,,,,,,,,,,,,,,,0.9954085809037422,0,,,medium,high,10.077091422664765,4.46218285359003,54.5,Michael Fuhrman,fuhrmmi44,Uc san diego
3,02/27/2023,12:04:27 PM,1,3,Michael Mitchell,mitchmi57,Right,Uc san diego,Cadyn Schwabe,schwaca46,Left,North dakota state,Windup,1,Top,0,1,1,Fastball,,InPlay,,Bunt,Out,1,0,,90.67740884265403,-3.620754962455208,-0.8137488995599976,2261.232354276,187.59988116440698,12:15,6.710823878793049,0.6388671722612993,6.304359232855709,-16.243734679388883,16.723941920417257,1.441864153134589,3.042299943905877,0.2353984113406876,83.38939945523077,-6.2636829337293545,0.0853212492213021,0.41680197851949563,,,,,,,,,,,,-1.0139380671193023,10.335228473481097,-0.5799586827201391,49.99999999999998,6.437288008846963,1.828707111382571,-131.78819132497034,-8.845518923064228,-1.7750553700874323,29.2046928699734,-14.080634023593099,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,76332962-70cb-4655-bf04-c1d52e27546f,90.8584939200916,6.7112314924705725,0.6398653165040198,-3.6265071557474915,-0.8261716617484615,83.54938972951766,3.0423508065631726,0.23457632329835218,-6.262306414446852,0.07260622080113728,0.4166615696411418,1.5646576816789444,15.60953849209138,-24.514850314803457,79.43384248561453,2057.390749985433,-938.2510654931117,90.98537556721664,-0.9018614315579098,-0.41492908224087405,-0.12033210286147125,,,,,,,,,,,,,,,,,0.9961025579458311,1,,,high,high,18.509541762946935,-6.716623130914781,54.19564076714429,Michael Fuhrman,fuhrmmi44,Uc san diego
4,02/27/2023,12:05:03 PM,2,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Davis Hamilton,hamilda51,Left,North dakota state,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,90.1601493416171,-3.460929145339296,-1.3463102113481544,2253.2063105397765,189.68848777976655,12:15,7.535931526845544,0.4889205318882197,5.999999999999997,-17.524229117008435,16.796666326385765,1.8542004162864998,2.864309019222893,-0.6041204359940663,82.28564546766201,-6.745705935834451,-0.9960252926581263,0.42164876006263685,,,,,,,,,,,,-1.3956868525273025,10.109332148363869,-0.3841804146150916,49.99999999999994,7.254080460713412,3.018611375052377,-130.97296674172375,-8.485519976321225,-2.4140537497021457,28.756754928945096,-14.688414369510886,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,7e8c9221-1498-467b-be2f-8797e272dad0,90.35067622921864,7.536204876444,0.4902586885250215,-3.464987686846656,-1.3624899328170392,82.44574315813227,2.8645459433956484,-0.6051536515009462,-6.741465805390774,-1.0118340675293216,0.4215126430045705,2.0057265528250805,15.620041328712526,-28.175609375580603,52.32722264824552,1986.2115774898555,-1063.9089469036023,88.15045334282061,-0.8689319014637977,-0.4721755579713129,-0.14834956377754663,,,,,,,,,,,,,,,,,0.9954480403491003,0,,,medium,high,42.905499616579036,42.99435812618626,54.5,Michael Fuhrman,fuhrmmi44,Uc san diego
5,02/27/2023,12:05:23 PM,2,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Davis Hamilton,hamilda51,Left,North dakota state,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,82.59563322468321,-2.627479958671837,-0.4028282880872558,1758.1088352109916,199.21306293873414,12:45,6.598998838601376,1.2795686647595659,6.424644904854552,-25.58346275009899,13.293531120058422,3.0581607027369984,2.4968905805460544,1.3520974406819206,77.04797539957896,-8.234080435194105,0.5034469906955009,0.4557187105024644,,,,,,,,,,,,-1.8896079794045662,8.17713961978859,-1.2523930351812944,50.00000000000001,6.399787814515826,0.7576629389323837,-120.20037046147465,-6.237488061573133,-2.7561635013486527,23.958099587263337,-20.246954648247293,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,ef28921a-9485-42a9-8294-065ace6b3f52,82.76006279331841,6.597352436346808,1.281746820958715,-2.60804806324835,-0.4297399559591102,77.18703147611005,2.4987000485254494,1.3504262071275137,-8.205945782756585,0.4775747727512127,0.45556454232542126,3.307225310291604,11.810162731878956,-36.916071656809834,80.88930511697502,1405.6365016054954,-1055.998438351693,79.95162036921361,-0.7549842440551146,-0.600644520522509,-0.2631063495904508,,,,,,,,,,,,,,,,,0.9686476493232631,1,,,high,high,17.19962539472252,-16.20872714251535,54.07535509514545,Michael Fuhrman,fuhrmmi44,Uc san diego
6,02/27/2023,12:05:41 PM,2,3,Michael Mitchell,mitchmi57,Right,Uc san diego,Davis Hamilton,hamilda51,Left,North dakota state,Windup,1,Top,1,1,1,Fastball,,StrikeCalled,,,,0,0,,91.67104044348457,-4.585576661999797,-0.11735395113234832,2300.018006002741,191.31807955220836,12:30,6.675145006947474,0.6706484171785502,6.307100715167347,-16.29466633529014,16.563247325182953,2.157774936249392,1.9450376242585719,0.7659718152606744,83.89010535123951,-7.576336127464839,0.5067126578421415,0.4125641761032298,,,,,,,,,,,,-1.2162449150497812,10.402659379246808,-0.6631016751122439,49.99999999999997,6.330991060898206,0.20626968011859062,-133.09220563263636,-11.175558978821108,-2.173411414804047,29.56023808488629,-13.584653355514638,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,f403d706-35bd-4e23-ab6e-616f918696ab,91.85319836236961,6.675517311527032,0.6720023727131921,-4.590754326754779,-0.1336674619577723,84.04760149410214,1.9451543010578278,0.7649086234229617,-7.573994679918765,0.49025713332316834,0.41242535547080533,2.3065600582974835,15.477192471993343,-27.05792327793759,73.20378302819405,2048.274375459617,-1046.2575738183884,89.0547104463484,-0.8732284384414079,-0.4548910361083241,-0.17477482531953953,,,,,,,,,,,,,,,,,0.9689428414830487,1,,,high,high,24.116595274625332,52.38596813483898,54.19289928483265,Michael Fuhrman,fuhrmmi44,Uc san diego
7,02/27/2023,12:06:04 PM,2,4,Michael Mitchell,mitchmi57,Right,Uc san diego,Davis Hamilton,hamilda51,Left,North dakota state,Windup,1,Top,1,1,2,Fastball,,StrikeSwinging,Strikeout,,,1,0,,92.30338564638733,-4.212228690657068,-0.1784134428181523,2358.7293184316236,195.8782043258519,12:30,6.673530532021107,0.8156990056263779,6.400687971394779,-15.330443935473827,16.95488220052945,3.7834386092721237,2.485591961267526,0.8887086871956548,84.7271179199032,-6.779887579894725,0.8289746264934954,0.4089536713310645,,,,,,,,,,,,-2.132676172592398,10.554338816727432,-0.8046839788573422,49.99999999999996,6.364524306232012,0.3026726697831119,-134.08984198325052,-10.341221094134998,-3.8646482147734607,30.267339208383383,-13.04840491928127,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,e0690b58-91dd-437e-8c36-f9e7637c9632,92.4849375434263,6.6741711759306375,0.8173350020054189,-4.220758537178223,-0.19875073114884145,84.8876998019527,2.4854426910026213,0.8873508102903054,-6.781624184352055,0.8079078865177733,0.4088170265354107,3.9681375360220414,15.893500871793774,-20.334595239796563,78.66631976676295,2211.73161495815,-819.6628947460807,93.76792825167341,-0.9019025568553329,-0.3475018894033566,-0.25654281279917046,,,,,,,,,,,,,,,,,0.9966065456737405,1,,,high,high,19.20031220991332,57.481957197510155,54.09931202860522,Michael Fuhrman,fuhrmmi44,Uc san diego
8,02/27/2023,12:06:36 PM,3,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Peter Brookshaw,brookpe43,Left,North dakota state,Windup,1,Top,2,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,90.25860780210914,-3.383009891543135,-1.2121150907438456,2266.708060927505,189.45196019959198,12:15,7.42407824683013,0.37098859313679877,5.999999999999997,-17.64645220636198,16.588705522208148,1.703376428648584,2.8149033222228956,-0.6102300355064983,82.37921597651544,-6.691282619562234,-0.8903057397463653,0.4211217661361508,92.54400963460647,5.2708370799003825,20.65256822376483,,,,,117.41669540642384,,20.70792085052291,0.9464375566926992,-1.2747696785902791,9.973186924285676,-0.27671060983912255,50.0,7.148316856752924,2.719877938349433,-131.13401504665563,-8.32047855175291,-2.210461485150399,28.812735001145313,-14.880458476492127,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,022f24b4-c463-4925-bb64-833d109aa3de,90.44911957357004,7.424293162227143,0.37235189348077835,-3.386359292316235,-1.2285519099282833,82.53910720193475,2.8151856291837523,-0.6112725517617189,-6.686363478918027,-0.9062999318407239,0.4209858767779261,1.8573299488534034,15.409792097213272,-30.535334875055337,50.98448732739583,1952.3518980964402,-1151.645561565257,86.13159902460335,-0.8496224538142663,-0.5080696457637425,-0.14144582365036498,32.502285445533296,86.23062485072728,8.501440932003558,0.6738848242594914,1.6508660463254548,2.838952711930429,41.51903204161982,109.8310080919403,,,,,,,,,0.9640483216762886,0,,51.39752564340525,medium,high,44.11396140534373,49.62998958079426,54.5,Michael Fuhrman,fuhrmmi44,Uc san diego
9,02/27/2023,12:08:56 PM,1,1,Tristen Roehrich,roehrtr42,Right,North dakota state,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,0,0,Fastball,,BallCalled,,,,0,0,,90.82913058422021,-0.813189952566958,-2.042389500174087,2074.294918496665,206.72944773958633,1:00,5.894330873517214,1.9095663466448674,6.218623531059467,-18.75338834595325,14.732257722038913,6.300690900709894,4.70238917937258,0.8280465393401161,82.27834460233912,-3.6445170270924483,-0.18214059790375403,0.41648643764801374,,,,,,,,,,,,-4.045944366335653,8.291021443534282,-1.7600397146179074,49.99999999999996,5.824136311742867,4.5175773090177875,-132.15890387549157,-2.4586506491925255,-7.113563002294586,29.714468745228807,-17.596809255487848,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,2e94fbe8-7bf4-416f-bef4-12dea15b7a03,91.01541509240984,5.894241961487997,1.9121003815391875,-0.8127467283813221,-2.073300455093096,82.4401457686214,4.702932333125999,0.8259425759034573,-3.6354825909447075,-0.21473407995353064,0.4163426844706363,6.5829014817843925,13.498737966041986,-22.245234209376505,92.90255122456198,1919.9092859595764,-785.2692166303704,92.55719950136219,-0.8266656847894945,-0.3785716339697203,-0.4163020100179821,,,,,,,,,,,,,,,,,0.9981153632097384,1,,,high,high,6.387703897894107,-32.44778501269508,54.28137646894053,Will Busch,buschwi43,North dakota state
10,02/27/2023,12:09:14 PM,1,2,Tristen Roehrich,roehrtr42,Right,North dakota state,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,1,0,Fastball,,BallCalled,,,,0,0,,89.43973771782827,-0.2710083641276142,-2.6548541177154084,2132.848964974718,208.82933040939463,1:00,5.855138822667095,1.9875220658524815,6.165625192775623,-20.019367389319044,15.133525293035767,7.172260300345089,4.997407048575021,0.5978309673966214,80.53992539693445,-3.526781700314717,-0.5688467810002074,0.4236542233153364,,,,,,,,,,,,-4.669015851045242,8.32323285359309,-1.7901815435490513,50.00000000000006,5.824616463913359,5.812168931920193,-130.07556638808478,-1.2182598291440725,-7.947703619086387,28.930491859529507,-18.006055733892698,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,cd59932f-d340-4de7-bcfb-17ca876deca0,f08e7e82-56be-4033-93f6-b27d2e5fb406,89.62761476242214,5.855039514599773,1.990379447273804,-0.270585803384855,-2.6893481817126657,80.70117940134368,4.998020518254483,0.5954697664083141,-3.516656314121162,-0.6052174968678118,0.42350544253046624,7.513724435183995,13.78939470332232,-21.115244853447322,82.86670046530362,1989.6446123835638,-768.3482438365979,93.2857715223707,-0.8172392830242787,-0.36024503209288694,-0.44982604541573395,,,,,,,,,,,,,,,,,0.993519004965057,1,,,high,high,15.419969581226788,87.95930461877151,54.33437480722438,Will Busch,buschwi43,North dakota state
