PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/27/2023,3:31:17 PM,1,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,74.79197833731554,-0.8978010102977306,-2.6662669992474775,,,,5.621962867336988,1.3053456048549636,6.606518966995434,,,,0.9408910829378534,-1.1384344556798984,69.27158271980973,-9.621022394409348,-2.6662669992474375,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,33479f4e-c075-4022-98ca-4999be84bacd,74.90508680990656,5.616064258957472,1.3053456048549574,-0.8258828258827744,-2.666266999247439,69.3591896990287,0.9473035700900031,-1.1384344556798875,-9.534861718524885,-2.6662669992474393,0.5005484436817075,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.89348103300456,Emiliano Gonzalez,gonzaem47,Uc san diego
2,02/27/2023,3:31:59 PM,1,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,0,1,Curveball,,StrikeCalled,,,,0,0,,73.79463417366755,1.6875149394006341,-1.6791345877442425,2361.9069501826316,26.847646043314015,7:00,5.663830520486241,1.3362522771077934,6.728271071622366,-61.25099476667898,-11.669577145270992,-8.419482612684867,2.6239154379076512,-0.6076607557392659,67.96619563787965,-10.695913525004515,-2.7600061559661087,0.5096980585832251,,,,,,,,,,,,4.10810597163369,-7.078492350114596,-1.2224095547769986,49.99999999999996,5.75069113514691,3.335401294347664,-107.39427871659998,1.7763268855784184,4.723930296639389,21.271238867055086,-40.3136410907291,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,06cbca27-543f-4ae0-9da6-81e8a4492e64,73.86093092807205,5.65130090305828,1.3372949354868306,1.8422223228616805,-1.6923766850431456,67.98286535745946,2.634049316180539,-0.6082526753456019,-10.542671241886271,-2.768972166719568,0.5096299300759779,-8.30500729423151,-15.282634848302123,-37.09439903159127,36.50348308842499,1883.958281685497,-1424.5369894073124,79.76428883194667,0.7116654152284296,-0.6031300213995144,0.3602311952820968,,,,,,,,,,,,,,,,,0.9971469487968753,1,,,high,high,57.14686522041752,65.4029224764806,53.771728928377634,Emiliano Gonzalez,gonzaem47,Uc san diego
3,02/27/2023,3:32:21 PM,1,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,0,2,Fastball,,BallCalled,,,,0,0,,88.62707532312709,-0.9641156354244994,-2.130643350539506,1965.9058674808477,202.43947389276227,12:45,5.813144940560304,1.3776775238246097,6.343401314555805,-20.059613662932335,14.618795710912025,5.045975897986559,4.322616551825671,-0.036084845629985415,80.96909089210021,-4.367586003690903,-0.5421288284853405,0.4257193740851465,,,,,,,,,,,,-3.393160335333592,8.376196445639426,-1.2254273825737994,49.999999999999964,5.733547187121937,4.6493964506481,-128.9738043485238,-2.769768688744042,-5.684955313513718,28.158819805076092,-18.14043555520559,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,551fc532-31f2-4b3b-9819-c507b487a507,88.80754302576285,5.812795611070844,1.379814202124349,-0.9604864818781853,-2.15729146713659,81.12726469840497,4.323376510233225,-0.03790305237779381,-4.355329194274405,-0.570038501457881,0.4255736131931972,5.308107191276065,13.318090438776474,-24.59438246554205,83.82758466591667,1787.5528265067376,-818.1936031547776,90.92769171076053,-0.8404294477431333,-0.4161916481806058,-0.3470775926948941,,,,,,,,,,,,,,,,,0.9833066488753895,1,,,high,high,14.555173800675052,-52.269559006808436,54.156598685444195,Emiliano Gonzalez,gonzaem47,Uc san diego
4,02/27/2023,3:33:04 PM,1,4,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,2,2,Curveball,,BallCalled,,,,0,0,,73.97455489848542,2.1790669130449416,-1.6985938226273092,2346.4608683101674,24.57251894321391,6:45,5.72762315915956,1.2319231205324355,6.729747221818584,-62.18885660250357,-12.541590612043045,-7.854535490965684,3.1622411828818446,-0.47936563190554393,67.84038974311055,-10.492947538152631,-2.144322435056137,0.5086078288819222,,,,,,,,,,,,3.7842387450178223,-7.677863085269656,-1.1170681059411864,49.99999999999999,5.846631934534073,3.3662391403319574,-107.6238397997817,2.6925715537152484,4.369901295980894,21.37150843748155,-41.04016668573539,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,37ba2b48-05d2-4585-9211-9d2534c73ec7,74.04051307073159,5.7150583426104395,1.2327904899488145,2.3355478572814956,-1.709737668723948,67.85453442079637,3.172678711140381,-0.4798361134598882,-10.335794045587173,-2.151403970603522,0.5085425984121149,-7.763804598202456,-16.1772194260345,-33.19820363986118,92.17741196950956,1963.474992579351,-1284.7741280187824,83.6781477627356,0.7609989214571482,-0.5475369929966181,0.3479710948358768,,,,,,,,,,,,,,,,,0.9900964564460908,1,,,high,high,7.040329227441166,1.063021179562891,53.770252778181415,Emiliano Gonzalez,gonzaem47,Uc san diego
5,02/27/2023,3:33:38 PM,1,5,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,3,2,Fastball,,Foul,,,,0,0,,90.0327639467676,-3.0497881031984555,-1.3002323993550435,2113.595206838717,200.60281051801928,12:45,5.712958761961414,1.2961013465149196,6.774207134830161,-17.841446466606453,15.523448865962767,4.78504509174496,2.492857035388495,0.31267381988771004,82.31130483604908,-6.076934860619403,-0.24436197381353783,0.4157348251002833,80.65079308712353,79.53637533101015,70.31138772623632,1201.4614172943818,,,,104.79254099720353,,48.09287107738684,6.118581390101572,-3.0464183104754596,9.54344398013938,-1.2133905517711487,50.00000000000007,5.507486214269608,2.842706916647388,-131.00824959230107,-7.469574136499086,-5.2698201875695325,28.882855852010618,-15.66540611686715,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,c6ca8a7a-cffa-4894-8bb4-a62f1b598cf2,90.20837825919949,5.71300686489057,1.2980095377820329,-3.051041619818227,-1.324236986793107,82.46716805151773,2.4932381198853926,0.311041980477923,-6.070463194575124,-0.2696769282999455,0.4155967291020228,5.0014596552143535,14.36171284711725,-19.752534080892033,84.2601987104928,1989.2335219624624,-714.3071422521383,94.11610678932884,-0.8809665478825817,-0.3379583469630026,-0.33118287581015093,13.790786169628591,4.934724187952441,79.30960307298498,-0.3339655181583487,1.8823076253125453,2.497930390056382,77.9895900042615,69.99357470238091,-16.296895527140332,34.20195583328464,-0.17531409129147768,-0.8263707164306153,-0.14019417473003637,0.5453962159730442,,,0.9980913169882032,1,0.9152272761722907,32.2806188302377,high,high,14.165821160556558,-49.13076649206258,53.725792865169836,Emiliano Gonzalez,gonzaem47,Uc san diego
6,02/27/2023,3:34:34 PM,1,6,Anthony Eyanson,eyansan42,Right,Uc san diego,Druw Sackett,sackedr42,Right,North dakota state,Stretch,1,Top,0,3,2,Fastball,,InPlay,,FlyBall,Double,0,0,,89.0062260789575,-2.165462336965329,-2.2082184815648853,2057.7845322215608,198.37511248443266,12:30,5.71119386693468,1.3919932677491136,6.4831611806133145,-19.052610328536105,15.471508644705565,4.106926489146385,3.212737162705894,-0.1756242761701929,80.56127672474399,-5.39163077799989,-1.3500399081141916,0.42577792691458655,90.11591976353492,27.133090346701884,-34.44571772933496,2507.257752817708,,,,300.1348340290169,,-45.828829032136674,3.589821731051063,-2.9186784762557765,9.069900945340796,-1.2969673471989558,50.000000000000036,6.265927392246828,4.691267133257581,-128.608608477837,-4.370571501703219,-4.8644643198644015,27.891714264753762,-17.057547411387645,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,0ab8d7dd-9310-41fe-87f6-c209ea320836,89.18530618188453,5.71107716243217,1.3938477851753461,-2.1647466915249476,-2.231200835369154,80.71717578526871,3.213320325054454,-0.17717794779868531,-5.381914823167538,-1.374244094874288,0.42564021856864137,4.315758358497744,14.239400726309547,-24.683072935605413,84.14905178063992,1869.7680272582497,-859.3280545246388,90.86315879921935,-0.8623032167554915,-0.41759865577224353,-0.28643415485997303,-45.362362567022345,66.13679200606805,41.09817271256677,0.12405179468076447,2.884519960735857,3.3520842003146645,-215.27510229505975,209.13524076414538,-44.62523103962197,-42.70173211631679,0.1667518318542398,0.3775935747044528,-0.13280292354219045,0.9163986446086441,,,0.9976014173279315,1,0.9946017993593661,48.37316536582478,high,high,14.265853397423953,-54.36988207884358,54.016838819386685,Emiliano Gonzalez,gonzaem47,Uc san diego
7,02/27/2023,3:35:21 PM,2,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Peter Brookshaw,brookpe43,Left,North dakota state,Stretch,1,Top,0,0,0,Curveball,,BallCalled,,,,0,0,,73.49817957566442,2.2612652509938913,-0.5692568211776123,2409.3720663285026,27.85637610948546,7:00,5.679890155527501,1.5542858705978404,6.711657661524348,-62.66165092584272,-11.558679776512584,-8.68039687021283,2.919022141128189,0.5842247447777374,66.9483390101937,-10.727356232820565,-1.85272420087233,0.5116219814810804,,,,,,,,,,,,4.504839413955659,-7.175742663276004,-1.5133118083216577,50.000000000000085,5.804858680334426,1.2517712195513333,-106.97078981804195,2.82847026416605,5.1458328459456295,20.890749120920518,-40.37082840487367,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,fcd6b507-6567-46f2-89bc-168c23bfd31b,73.56578350375688,5.6672707842598085,1.5555596976123502,2.4174001290782337,-0.5854741783569021,66.96166266873585,2.929340932445171,0.5834336227366298,-10.570320902966117,-1.864848877714775,0.5115543826932409,-8.53269889438205,-15.250430412946185,-39.85591336281259,83.53947047384645,1849.5749188218522,-1544.0681246853123,76.76584885622536,0.6787034868887802,-0.6408591459426294,0.35869364637068046,,,,,,,,,,,,,,,,,0.9971864610124125,1,,,high,high,14.814476573538181,-9.014832978089338,53.78834233847565,Emiliano Gonzalez,gonzaem47,Uc san diego
8,02/27/2023,3:35:43 PM,2,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Peter Brookshaw,brookpe43,Left,North dakota state,Stretch,1,Top,0,0,1,Curveball,,InPlay,,GroundBall,Out,1,1,,73.65248585489906,1.0043984466271831,-0.7957846526824377,2456.6485159851286,25.537574956378997,6:45,5.566942288995109,1.412875856503953,6.772411055060141,-64.48588998678653,-13.223041084632207,-8.830466008944448,1.3540479416812738,0.44726106275896943,67.07733560154907,-12.558763504136854,-1.7917680089144747,0.51043193948821,,,,,,,,,,,,4.517939771301451,-7.6922021656232475,-1.3578192116933037,50.00000000000006,5.607949651081018,1.6791107614419172,-107.24846922037797,0.47435624915575186,5.16928543023246,21.601353098008126,-40.975226802602094,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,d8aa473a-0b6f-4d3b-b70e-229d45bd3bfb,73.71063209068001,5.553748645205924,1.4133468839600456,1.1672308895625363,-0.8018638966366128,67.07818906134605,1.3647636185482512,0.44708364253175487,-12.398029009295993,-1.79435226075048,0.5103703916260308,-8.783573034177104,-17.152871219636552,-31.59896769608735,79.84666756583354,2092.4168945905935,-1287.211509552253,85.17363721246561,0.7685240778385454,-0.5239705644403406,0.36718604192218984,,,,,,,,,,,,,,,,,0.9751621068437722,1,,,high,high,18.137999190749817,-35.555726327511664,53.72758894493986,Emiliano Gonzalez,gonzaem47,Uc san diego
9,02/27/2023,3:36:18 PM,3,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Stephen Lund,lund-st42,Right,North dakota state,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,0,0,,73.44803890309517,0.17921694670903882,-1.4983014006744584,2453.1467660052035,18.88144123299085,6:45,5.6124612354448455,1.3389489075374454,6.815993108836778,-63.932620273657314,-13.408114876115938,-6.8209508258112495,0.9376283718775857,-0.46357131814410724,67.03524656625876,-12.931059188570725,-2.387357383934305,0.5115906019834346,,,,,,,,,,,,3.3236647710400544,-7.568638223459439,-1.2400297306707828,49.999999999999986,5.599999757703071,2.9464064465770554,-106.94563351468271,-1.0629634534921335,3.779130780768597,21.580180988915185,-40.779873472933936,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,1cba6c63-ac5f-4695-84c4-b6b0377ae172,73.50248154544545,5.59944569314663,1.3405615903632042,0.34050602737724667,-1.5186560324624319,67.0349078964627,0.948460458572228,-0.46470468597102177,-12.770066059015596,-2.404755778265708,0.5115304374050184,-6.634180165838006,-17.126858877292726,-34.96974861392845,48.629438753880216,2010.2428126817033,-1406.0060062543625,81.94547674598607,0.7753600947339192,-0.5731438598530962,0.2651845384009071,,,,,,,,,,,,,,,,,0.9960819537706699,1,,,high,high,46.23350512150779,7.115742526042297,53.68400689116322,Emiliano Gonzalez,gonzaem47,Uc san diego
10,02/27/2023,3:36:34 PM,3,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Stephen Lund,lund-st42,Right,North dakota state,Stretch,1,Top,1,0,1,Fastball,,InPlay,,LineDrive,Out,1,0,,88.55522561813407,-2.2782633773194854,-2.181114019110929,2022.2124790596638,195.37656453265362,12:30,5.737841675554802,1.4356577186655815,6.545820559359825,-19.827853867806315,14.94742729591562,3.025695924932499,3.120575489920696,-0.049216119775814166,80.66142533621051,-5.527167253350496,-1.0320838810326256,0.424430756302258,101.12428566948316,8.426385131998648,-15.88508037144493,963.3476321797516,,,,164.7264023484152,,-17.828295125852716,1.2951191298583111,-2.305251114233914,8.923958677190882,-1.2863686102420153,49.999999999999964,5.571830239925828,4.8211275612982565,-128.8337148778073,-5.690443414630127,-3.8583899776906274,27.805993688701424,-17.237666946904667,UC San Diego,North Dakota State,tri01,NCAA D1,BWC,63b6aec2-d42c-4d71-9baa-dd16408662e2,27fa521e-e477-4273-88f3-8eefca58ea6f,88.73448000947204,5.737477147529443,1.4374286014528617,-2.274600339238283,-2.2024416729002945,80.81510261142266,3.1213309800350606,-0.050620940194719875,-5.51481095634308,-1.0540080728285939,0.424285080498065,3.2194070122954015,13.697832631533574,-31.36510325062049,84.80538726039055,1726.7024526117943,-1052.5407120910074,85.38679641689865,-0.8233028578169743,-0.5204896730636549,-0.2264131280303609,-27.379812614590886,96.21265942190628,14.818609257193957,0.0689051570751604,1.4334123890140649,3.121405699938868,-50.43353643038819,156.81596230542564,-1.6635380184941106,-16.304878005335034,-0.13768714628310086,-0.39614924154773856,-0.13900918966203968,0.9076024590153194,,,0.9975749735593464,1,0.9924101738761518,58.810315524878206,high,high,13.675151465648417,-38.6818087440518,53.954179440640175,Emiliano Gonzalez,gonzaem47,Uc san diego
