PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/04/2023,2:03:49 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Michael Ohara,oharami44,Left,Santa clara,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,1dcbf9a7-411a-4355-a9fd-1b4ad66c4a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
2,03/04/2023,2:03:53 PM,1,2,Ryan Forcucci,forcury42,Right,Uc san diego,Michael Ohara,oharami44,Left,Santa clara,Windup,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,b066dc44-5f5e-469f-bd28-6701c2ce2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
3,03/04/2023,2:04:07 PM,1,3,Ryan Forcucci,forcury42,Right,Uc san diego,Michael Ohara,oharami44,Left,Santa clara,Windup,1,Top,0,0,2,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,5bef04f5-2c2a-4f84-9be9-37ff709cf6cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
4,03/04/2023,2:04:37 PM,1,4,Ryan Forcucci,forcury42,Right,Uc san diego,Michael Ohara,oharami44,Left,Santa clara,Windup,1,Top,0,1,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,f361c082-509a-4342-a682-1fab49eb073d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
5,03/04/2023,2:05:36 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Dawson Brigman,brigmda42,Right,Santa clara,Windup,1,Top,1,0,0,Fastball,,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,718e55a9-cb74-4fb0-9774-1037c52d5e30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
6,03/04/2023,2:05:53 PM,2,2,Ryan Forcucci,forcury42,Right,Uc san diego,Dawson Brigman,brigmda42,Right,Santa clara,Windup,1,Top,1,0,1,Fastball,,Foul,,Popup,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,b1ce9f9c-e14c-4ca8-86d9-4db8c1cc1f2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
7,03/04/2023,2:06:36 PM,2,3,Ryan Forcucci,forcury42,Right,Uc san diego,Dawson Brigman,brigmda42,Right,Santa clara,Windup,1,Top,1,0,2,Fastball,,HitByPitch,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,26f20311-3514-46b6-a773-70eecfead6ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
8,03/04/2023,2:07:14 PM,3,1,Ryan Forcucci,forcury42,Right,Uc san diego,Efrain Manzo,manzoef42,Right,Santa clara,Windup,1,Top,1,0,0,Fastball,,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,86f0e93a-42ea-4854-b2bd-140142e9ee58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
9,03/04/2023,2:07:26 PM,3,2,Ryan Forcucci,forcury42,Right,Uc san diego,Efrain Manzo,manzoef42,Right,Santa clara,Windup,1,Top,1,0,1,Fastball,,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,7218f791-777c-4db2-bbb0-3c2a21b41a98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
10,03/04/2023,2:32:07 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Johnny Tarantino,taranjo45,Left,Santa clara,Windup,2,Top,2,2,2,Fastball,,Foul,,,,0,0,,92.62643320685022,-1.2568810319060608,-0.49140460260154756,2270.5509124762884,229.25850480144769,1:45,6.0311528954245714,0.46894581167788585,5.999999999999997,-20.317153610854827,12.195837228455904,12.205558219082699,3.1733532030688774,1.0307885344887733,84.15615528710697,-5.088389530695703,1.8192144540299338,0.4103930366537447,,,,,,,,,,,,-6.769703195635785,6.995327393556239,-0.4370314477652445,50.0,5.921296466158623,0.7541210821537394,-134.7661765714111,-3.6256501970667783,-12.348622110722724,31.51561352188268,-19.41386615882979,UC San Diego,Santa Clara,tri01,NCAA D1,BWC,e39841c1-e39d-4cc1-83e0-75c8541405cd,0f7b286f-4c2e-49a0-bfb4-2a0a5e412f3b,92.8133394823032,6.030362634031904,0.4733510612740107,-1.247925376757295,-0.5450699539185396,84.3089625031817,3.1744079753671683,1.027306730513578,-5.071771266352275,1.7653706973995555,0.41026716801498364,12.707600224380618,10.851164600663745,-7.43285235361475,23.837667939269387,2251.471814149427,-293.7279629820689,99.15971501797095,-0.6471631975557728,-0.12936418266072963,-0.7512953506936596,,,,,,,,,,,,,,,,,0.9972533721317339,0,,,medium,high,68.54609885465752,-43.34303773809247,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
