PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/08/2023,3:19:33 PM,1,1,Joe Soberon,soberjo44,Right,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.66940925001501,0.22738768126717743,-1.1865218674564915,2111.5200856999313,226.63526865738692,1:30,5.994873060447071,2.598824672664459,5.999999999999997,-23.017065309576505,11.624575606858226,10.245718731401642,4.287500373212621,2.353189913898014,81.44594301405289,-4.1203184966321755,0.7519334931345786,0.42361443464289195,,,,,,,,,,,,-5.908851426574184,6.236435733026055,-2.511237801646132,50.00000000000006,6.000120353942029,2.3756284975116957,-130.48426806370372,-0.21646372789927693,-10.119763613359394,29.155891260501893,-21.493250416757416,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,42c748af-7f85-4093-91fc-7a8cf42824c5,89.8585033822202,5.993713331492402,2.6031351115116386,0.24047563933415908,-1.2383167583403212,81.59905637013459,4.288874226995228,2.3498901370504632,-4.098487226430069,0.7007380148594547,0.4234794642997627,10.730496592261542,10.198146292256608,-28.377071381583004,37.460435169154884,1857.7973734625027,-1003.5467061726979,87.98388355593956,-0.6041326564532222,-0.4752721572336074,-0.639640610003216,,,,,,,,,,,,,,,,,0.9850979529884105,0,,,medium,high,123.71439165223939,4.827527541948056,54.5,Bradlee Preap,preapbr43,Uc san diego
2,03/08/2023,3:19:44 PM,1,2,Joe Soberon,soberjo44,Right,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,31c98053-3de8-4672-9c8f-25af71d48b95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradlee Preap,preapbr43,Uc san diego
3,03/08/2023,3:19:52 PM,1,3,Joe Soberon,soberjo44,Right,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,,1,Top,0,2,0,Changeup,,BallCalled,,,,0,0,,76.1667306122258,-2.0688554868137055,-2.756043559296365,1453.6882515344566,244.29355934336647,2:15,6.162985583781775,1.9237833016873356,5.999999999999997,-40.0128847611949,8.022125216690242,10.921945861491611,0.9087732433240985,0.2785579842526259,70.05832178698337,-9.54206990064497,-0.6945992893691678,0.4988275887320339,,,,,,,,,,,,-6.713941427306581,4.944709312032624,-1.7131583851442072,50.0,5.9782530554377695,5.0318248547480176,-110.68214266275378,-5.0884991009449925,-8.29857675388093,20.420210730736944,-26.062281975898273,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,cecfcf12-db83-4d19-9e0f-aa30467f64d4,76.31329048151818,6.158389710247018,1.9282996981073204,-2.014477491497123,-2.8104975344602936,70.16814936078126,0.9129853087901628,0.27505624424089475,-9.478274095022238,-0.7482639910111891,0.49868226303751534,11.432564635621667,5.856512529620006,-24.0881173377056,19.777516635314356,1327.0993928423381,-593.3099815162414,91.29188403645031,-0.39598801627150265,-0.40814114091516285,-0.8225656813056507,,,,,,,,,,,,,,,,,0.9870736390839812,0,,,medium,high,107.79976497178293,-9.26761721624225,54.5,Bradlee Preap,preapbr43,Uc san diego
4,03/08/2023,3:20:10 PM,1,4,Joe Soberon,soberjo44,Right,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,3,0,Fastball,,BallCalled,Walk,,,0,0,,89.92138959240242,-1.1591015054634095,-3.7657865149717855,2136.655326369155,232.00617225145834,1:45,5.398261502579887,2.805174960509576,6.350767655240226,-23.429947228725574,11.044122156650936,11.51686698230334,3.140775569988009,1.3696092255622772,81.36874580216366,-5.888395685915352,0.3719810113429784,0.4201406351829206,,,,,,,,,,,,-7.446387878327593,6.464997570094627,-2.5375331877032994,49.999999999999986,5.303293134019599,8.254896192528319,-130.65994925134575,-3.334171183916501,-12.806441273032789,28.8538640640341,-21.055422264331202,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,e5e23591-50ec-4f9e-921b-92dc5f316640,90.09530351331598,5.397026775863396,2.809451372830301,-1.1447310234573171,-3.8178630439382526,81.51251193964585,3.1423153659328857,1.3661072938071241,-5.864241870362315,0.3178955115987525,0.4200056917491778,12.028709523807795,9.628505384190447,-21.591075645804395,13.316129976200436,1986.7343675050265,-786.2458500215324,92.98338122139283,-0.5723839203413813,-0.367979729963096,-0.7327807080368031,,,,,,,,,,,,,,,,,0.9959768083206967,1,,,high,high,78.0154830214196,-49.76788458557562,54.149232344759774,Bradlee Preap,preapbr43,Uc san diego
5,03/08/2023,3:21:03 PM,2,1,Joe Soberon,soberjo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Stretch,1,Top,0,0,0,Changeup,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,a967931a-6c4c-4f88-9047-296bd0b1e555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradlee Preap,preapbr43,Uc san diego
6,03/08/2023,3:21:14 PM,2,2,Joe Soberon,soberjo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,88.4663560693135,-0.7006717831870533,-4.062584053718623,2073.687476055304,241.24818619871758,2:00,5.08523318469052,3.1674730273162823,6.5600604024529074,-25.88087883861849,9.047901822640146,12.663353566361481,2.7457216666177175,1.4519507281885875,80.49449358640543,-6.427940532432299,-0.21345904881337951,0.4253664521515208,,,,,,,,,,,,-8.195782569767676,5.210635865406782,-2.8930821329563057,50.000000000000036,5.025806668748761,8.774781541238216,-128.5622790199465,-2.3044121713208243,-13.64735289417715,27.91600245548044,-23.49746673952774,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,d1fea3c9-3460-4015-b1b0-eaa9a7098be7,88.63278840835243,5.083240045528813,3.1721683904987965,-0.6770275450910204,-4.119819430473957,80.63008012410513,2.7478501877408443,1.4481434159412905,-6.39471882673864,-0.2723968000584102,0.42523466934755766,13.184269278838988,7.598573183211055,-21.833308429770273,11.185546187361174,1924.9414111627516,-771.2200152611268,92.8269777095097,-0.4465131006267358,-0.37190754352637023,-0.8138248153238382,,,,,,,,,,,,,,,,,0.9920274708177015,1,,,high,high,79.93300843137494,-25.766216959052777,53.93993959754709,Bradlee Preap,preapbr43,Uc san diego
7,03/08/2023,3:21:37 PM,2,3,Joe Soberon,soberjo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Stretch,1,Top,0,2,0,Fastball,,StrikeCalled,,,,0,0,,90.98077902235043,-1.9887761645554793,-4.139836495772215,2052.3404517231643,232.00725766037655,1:45,5.273396817997075,2.8674070546975927,6.497077038354878,-22.957182439160864,10.595333038586976,10.72438003897826,2.225979558470666,0.37215966041327503,82.45220734759356,-6.645124383731484,-0.7791868765067148,0.4141805744392672,,,,,,,,,,,,-7.133937182760858,6.455010771839358,-2.582439503359961,50.00000000000001,5.124084127355179,9.247953218313068,-132.1286838656148,-5.259109224376328,-12.561481848302812,29.193073182902733,-20.80802566908078,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,68e58a1a-8e31-40af-98e1-22bb9e80229f,91.1527157841084,5.272125806381989,2.871392735169332,-1.973789081396693,-4.188648637356155,82.59479492603917,2.2275164447137774,0.36889777520502004,-6.620898274956435,-0.8298231933168846,0.41405151814852265,11.20170405706233,9.265718591190103,-24.643114309746554,21.267826769131077,1865.4186283039603,-855.7538611983083,90.89226043065796,-0.55949790076485,-0.41696486588266063,-0.7163116637743525,,,,,,,,,,,,,,,,,0.9698177543526183,1,,,high,high,70.85895590778205,6.336542682062748,54.00292296164512,Bradlee Preap,preapbr43,Uc san diego
8,03/08/2023,3:21:57 PM,2,4,Joe Soberon,soberjo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Stretch,1,Top,0,2,1,Slider,,BallCalled,,,,0,0,,78.03648293554765,-4.969210881916298,-3.2526940230989827,2564.5607622990974,214.45951557162837,1:15,6.5050620912756285,1.6797794022224137,5.999999999999997,-27.943176239348826,18.205168814389236,11.919161643980658,-0.44643093307534915,-0.3437511946691406,71.56537932527321,-10.163431764250221,-1.002534620951766,0.4889332674440368,,,,,,,,,,,,-7.413874309919907,11.328615718631276,-1.4305800401803177,49.99999999999997,6.097832669791201,6.091320637819662,-112.98430456797513,-10.612519884561229,-9.535000828614233,21.55696848147349,-17.60429081363036,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,1dfc2682-28d6-4ba5-9a39-b697170bfdd2,78.20051517243498,6.50357683250441,1.6831246641983855,-4.9522410105903765,-3.2930937384545755,71.69765795515056,-0.444651019317214,-0.346443137041899,-10.135942557484517,-1.0438860068563813,0.48877747741827554,12.297337806670471,16.39652412660652,19.070600493403866,67.77049910547763,2423.809174438883,837.9266014574463,94.51166882339601,-0.7792734695222214,0.3267329882666751,-0.5347694962104029,,,,,,,,,,,,,,,,,0.9617708071681396,0,,,medium,high,29.006550805070123,-85.82120028137697,54.5,Bradlee Preap,preapbr43,Uc san diego
9,03/08/2023,3:22:22 PM,2,5,Joe Soberon,soberjo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Stretch,1,Top,0,3,1,Fastball,,InPlay,,FlyBall,Out,1,0,,89.52517752210679,-1.2156888650622697,-5.561615565905609,2130.1786153740386,238.10413249525635,2:00,5.107398925557356,3.0352760404675956,6.545294146767496,-24.074460238838764,9.800388892295775,12.453866361355148,2.373338700012129,0.35447398385916024,81.9524636024221,-6.670808646209339,-0.5972400207817965,0.4212732223820214,88.27041330601344,48.937706251727036,-14.9391527968603,,-28.159285530014245,106.3346351779922,95.61588492730708,317.458487994306,,-14.902184569310926,5.255846111513351,-8.61664993174782,5.908561320925093,-2.6556716842737766,50.000000000000036,5.012595288984548,12.278011113126052,-129.79920258313774,-3.457967097074923,-14.63940541758864,28.217262358429803,-22.135597833073778,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,512cfbb9-b1bb-4b66-bb8a-6d62e6ffa6cb,89.69477136827254,5.1057609680927625,3.039885518237165,-1.1963648507581137,-5.6174683483241985,82.09138707632228,2.3751257437360036,0.3507843049373896,-6.642832144409374,-0.6543654726724901,0.4211437035799069,12.985237954147498,8.403920382542676,-18.89641575651604,7.899590865413924,2015.3739580609915,-689.8758892485146,94.61056192732042,-0.4999005440811169,-0.32385823623873866,-0.8032529420100101,-14.947616666317899,56.023180131213124,66.55552500879922,-0.44583530010450617,2.9106337512395686,2.8496618054647067,-81.64068471834638,306.7811764081207,,,,,,,,,0.9964372091413249,1,,45.78033681033514,high,high,97.10963177887253,-35.00467626671707,53.954705853232504,Bradlee Preap,preapbr43,Uc san diego
10,03/08/2023,3:23:09 PM,3,1,Joe Soberon,soberjo44,Right,Uc san diego,Patrick Hackworth,hackwpa42,Left,Uc san diego,Stretch,1,Top,1,0,0,Changeup,,StrikeSwinging,,,,0,0,,75.42632608736626,-0.572399039492722,-4.210328384005505,1525.824311220131,252.17869220256785,2:30,5.0082309376174035,2.9356590948921086,6.985509353044882,-40.77175734300872,6.432635666440973,11.851954709106666,1.8014664459200387,1.3452459687943914,69.28288239293178,-8.77461227532074,-0.42403853467289826,0.49449594110035305,,,,,,,,,,,,-7.875258256301942,3.7787990841597265,-2.681057131926178,49.99999999999994,4.958840439031994,7.8161446887388495,-109.67954884742511,-1.986600590856453,-9.556722439606189,20.084407732498896,-27.588430571734115,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,e19930ca-b388-49fb-9f39-3fc59f6ed642,66848908-977c-4457-ba61-f9eb2c1e6eec,75.56030502709837,5.003816623342053,2.94008567667807,-0.5171931523929812,-4.2664310450547465,69.38540261583599,1.8058867698740215,1.3414854546339625,-8.706947982258134,-0.48215354611034156,0.4943533691198903,12.35998198709905,4.335872408816662,-24.082089933871195,6.588041525979015,1393.0192653489094,-622.6051357619626,91.29617709623308,-0.27941137700865176,-0.40804510138136035,-0.8691538860505685,,,,,,,,,,,,,,,,,0.993631747262484,1,,,high,high,95.92923737338114,-13.095893408774169,53.51449064695512,Bradlee Preap,preapbr43,Uc san diego
