PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/10/2023,12:02:30 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Hayden Heinze,heinzha42,Right,Northern colorado,,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,93.5391285728301,-1.3380764263984388,-3.0082502624880676,2178.524174696024,227.90150117254677,1:30,5.205560718655302,1.1052297056919298,6.6099027008117925,-19.290257646731906,11.858017379775411,11.424009398503705,3.2476081535717136,0.9160378960477534,85.26793065692183,-5.103227411708274,1.813300391092159,0.4007306287191723,65.12790170619726,8.680570730070592,1.6636189720048853,1581.913987571618,,,,102.49512734180236,,3.7789413585132814,1.1618633322735454,-6.396972329269065,6.971125942010011,-0.27840673038483793,50.000000000000014,6.063693416695394,0.5163829171053874,-136.47373261833718,-4.003069675417567,-11.973344265172846,32.1555200743366,-19.12605023204618,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,afb3c42b-6260-4679-82cd-8385a022ea4f,93.71823328551133,5.204791082562029,1.10915757479152,-1.329394821652886,-3.0552644231651906,85.4187788630081,3.2486034134272876,0.9129045044029155,-5.087470519241428,1.7646236763300815,0.4006103683223984,11.85014596564813,10.648885951180961,-3.1300490010956397,83.40584955230379,2175.274189429362,-118.95285006011291,99.85081711259342,-0.6694070458756995,-0.05460249256894785,-0.7408864789812453,1.869105395996759,64.35473238648578,9.829468202021243,-0.8840773475517919,3.1207807667886556,3.4218013486181524,6.755162895925279,102.27227827256903,4.93512337178914,5.268807347810924,0.06513633804750718,0.34883702320866805,0.1005080888634085,-0.9317783294925572,,,0.9971304323018085,1,0.9964523009618299,30.301219099376357,high,high,14.93473540292663,-72.7430193430503,53.890097299188206,Emiliano Gonzalez,gonzaem47,Uc san diego
2,03/10/2023,12:03:08 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jake King,king-ja68,Left,Northern colorado,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,92.8833594142441,-2.5735535409840207,-2.8399571331215188,2276.1114873587408,228.8941612179367,1:45,5.092076796911833,1.0954028508420315,6.73503491515488,-19.49016185156386,11.977816964410874,12.11071933603457,2.236658649327739,-0.1329185763507405,84.16872000195485,-5.867785447944147,0.5868978582970512,0.4037438750756625,,,,,,,,,,,,-7.582235938190893,7.430378655433221,-0.9134137462705298,49.99999999999998,4.914950757839025,6.355966423915564,-135.06174014960266,-6.6318415772164006,-13.92253683424151,31.04547460138097,-18.530353799435773,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,a8a5af54-4b90-41f6-96eb-c94a748a9359,93.05555542938392,5.091208750126119,1.0993352747520704,-2.563494354253825,-2.8879219561795444,84.3134550466823,2.2377343766151707,-0.13607955703448463,-5.85056459139571,0.5371568843361715,0.4036193613316318,12.544963158154214,10.753465311105593,3.7055126807169056,83.79908854515058,2271.3530593277324,147.10126705426518,99.79094046766002,-0.6560775688403258,0.0646283224135762,-0.7519211418803001,,,,,,,,,,,,,,,,,0.9940260432831396,1,,,high,high,14.580820309364528,-78.34013605353158,53.764965084845116,Emiliano Gonzalez,gonzaem47,Uc san diego
3,03/10/2023,12:04:28 PM,3,1,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,92.85749992396276,-2.141220066949907,-3.5720407523642823,2283.515271471245,228.63762476738222,1:30,5.138569150128606,1.2642487971588634,6.7889317892099905,-19.01632844468776,11.969729799979365,11.758140056639556,2.6216127954742925,-0.10625401666657167,85.03823771017306,-5.373029830939229,0.5131928102979207,0.40352664088671875,,,,,,,,,,,,-7.681812879142838,7.391820253848318,-1.037154497715565,50.000000000000014,4.992121884593589,8.092985243882438,-134.98417485152711,-5.59855261258753,-14.093932573672937,30.917906322165997,-18.612170652797854,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,1ba80a55-f718-4394-8af7-05175bc741e2,93.03178135607395,5.137876193731125,1.2682974756967869,-2.1333093079868024,-3.621406784856685,85.18700069315119,2.622531464666941,-0.10954670719910899,-5.35841695068549,0.4621509803071658,0.40340061130697297,12.230089773080605,10.749942858617935,-6.0428915929495615,66.7221978053585,2270.8266143659894,-240.39235122917782,99.44433666532562,-0.6571472130974056,-0.10527293346030288,-0.7463746711933461,,,,,,,,,,,,,,,,,0.9977091902813632,1,,,high,high,29.950021975177307,-64.70216892122183,53.71106821079001,Emiliano Gonzalez,gonzaem47,Uc san diego
4,03/10/2023,12:04:48 PM,3,2,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Stretch,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,,,,92.885105903862,-1.4522311452953138,-3.6761793684681425,2225.2374902179,226.87163332497104,1:30,5.17284970365904,1.2765980334257778,6.722404666112026,-18.8606579836956,12.137155671286205,11.249164204139355,3.300741371216345,-0.2981527733685591,85.03870707561786,-4.689608420920536,0.08216633697959443,0.4038528162435285,,,,,,,,,,,,-7.412854147902532,7.2626187164567675,-1.0384067977660096,50.000000000000014,5.069254432632156,8.352474166943317,-135.04391142358844,-3.977880990845011,-13.611185722208932,30.97185052274028,-18.838720142447663,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,a900b978-c0f1-4142-99d1-38abb76d5152,93.06160676876264,5.172220467532839,1.280414741295997,-1.4450509203447264,-3.723194609602826,85.19001172669896,3.3016103575241167,-0.30128507304977475,-4.675636189636929,0.03341716969239063,0.40372620408038684,11.700996975069804,10.924721644641377,-6.116000960101527,64.66612122807335,2212.5719478904402,-237.0807104754862,99.43082289494325,-0.6797440923690587,-0.10654175633732953,-0.725669913284216,,,,,,,,,,,,,,,,,0.9975511434390663,1,,,high,high,31.800490894734025,-52.019794753754226,53.77759533388797,Emiliano Gonzalez,gonzaem47,Uc san diego
5,03/10/2023,12:05:08 PM,3,3,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Stretch,1,Top,0,0,2,Slider,,StrikeSwinging,Strikeout,,,1,,,85.13353515535245,-1.6227630319534956,-3.8573248665971027,2408.254603705279,115.85248373371307,9:45,5.135555602951486,1.0210843292211553,6.798145265237362,-32.826303434432134,4.451988118337475,-4.144332478157726,1.450448847601911,-2.3169134308036727,79.3044806513199,-8.358061200067375,-3.6022575969924873,0.4394399359820236,,,,,,,,,,,,1.211007478715803,2.9459140947082085,-0.7698970881714678,49.99999999999995,5.017849434161337,8.452291041736098,-123.77679440374243,-4.359334068957306,1.8742872209583248,25.251679125481594,-27.614631713859524,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,37f57c85-5436-40b7-a22c-edc317f2c021,85.2638121494603,5.131543547303252,1.0233984078915448,-1.5725131142878412,-3.8870203185297516,79.40886476979635,1.4543194156130457,-2.318567930238311,-8.298627866042711,-3.627516871773987,0.4393272162585356,-3.8713983535797722,2.7904218850507827,-83.66864238972293,69.16531085438413,265.578151529777,-2393.5660596059797,11.027827004718075,-0.0480874595525117,-0.9939007511594913,0.09924158945918024,,,,,,,,,,,,,,,,,0.9975625883972852,1,,,high,high,27.751220231054255,57.1790880049144,53.701854734762634,Emiliano Gonzalez,gonzaem47,Uc san diego
6,03/10/2023,12:05:38 PM,4,1,Ryan Forcucci,forcury42,Right,Uc san diego,Craig Kenny,kennycr43,Right,Northern colorado,Stretch,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,92.93214784741136,-2.5814893230039297,-4.399943499093362,2258.8414799681937,229.70954427173137,1:45,5.112656653391608,1.155367967325034,6.745674653086091,-19.61589475689081,11.880701214195522,11.9348558112061,2.2065230509967044,-1.1590772358214017,86.03393651964828,-5.754809680140689,-0.6731925050349026,0.4039274168204543,,,,,,,,,,,,-7.931719889186249,7.3715648112972145,-0.8711831211429909,50.000000000000036,4.935178733088961,10.04248317285805,-134.91080493779617,-6.656432998454424,-14.54944784884973,30.643881142209406,-18.652114963395956,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,263c189c-4376-4cf0-8030-d79be964277f,93.10451481653122,5.111893729527469,1.159393618580096,-2.5725903502169634,-4.449440204695398,86.18316347475326,2.2074422050300933,-1.1623476359011107,-5.740035510532434,-0.7241505246429838,0.4038032852820047,12.383699816187505,10.7043639998891,-8.519942446092184,81.96932132470364,2233.913710706578,-334.6555912308457,98.89643565151962,-0.6395263867357909,-0.1481536416781039,-0.7543583360221982,,,,,,,,,,,,,,,,,0.9968881347616367,1,,,high,high,16.22761080776675,-82.41525643119786,53.75432534691391,Emiliano Gonzalez,gonzaem47,Uc san diego
7,03/10/2023,12:05:56 PM,4,2,Ryan Forcucci,forcury42,Right,Uc san diego,Craig Kenny,kennycr43,Right,Northern colorado,Stretch,1,Top,1,0,1,Fastball,,StrikeCalled,,,,0,0,,94.46342154458883,-3.6212222373407257,-3.4906805502513856,2252.9733381570604,222.34039042542506,1:30,5.179749295185916,1.0551367377935852,6.7942920254613055,-17.303196922986672,13.107116664724032,10.515974739012648,1.45120064163946,-0.8397914328587267,86.67842157624739,-6.550437031557615,-0.33707928397211867,0.3969007976583029,,,,,,,,,,,,-6.882303514093702,8.367790058416974,-0.8331263351713951,49.999999999999915,4.938152008745966,8.067153407098472,-137.16228465987112,-9.189724396722552,-13.053102633226349,31.5941498567936,-16.303546022457105,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,2629dda5-2788-42d2-90c3-16bc64fa0dd2,94.64181329491906,5.179430017632302,1.0587763427075896,-3.6178840826001992,-3.533845290692611,86.82899684409112,1.4517702632577594,-0.8425750426279407,-6.5410656488338965,-0.3808514896890812,0.396776647579506,10.906868063337667,12.023989045454796,-2.8307080539012373,81.33614843342053,2250.2242882716027,-111.26326850819132,99.87798125086974,-0.7382545643363307,-0.04938507998465931,-0.6727119087034831,,,,,,,,,,,,,,,,,0.9976727812236499,1,,,high,high,16.79746640992158,76.82541936710692,53.70570797453869,Emiliano Gonzalez,gonzaem47,Uc san diego
8,03/10/2023,12:06:16 PM,4,3,Ryan Forcucci,forcury42,Right,Uc san diego,Craig Kenny,kennycr43,Right,Northern colorado,Stretch,1,Top,1,0,2,Slider,,BallCalled,,,,0,0,,83.90447960883105,-2.2547515119491464,-3.5200781948495248,2406.1973377744243,71.75423639891807,8:30,5.1489316923205815,1.0981269800959865,6.597902994653046,-36.97781974909358,1.0671319701837305,-7.347434508609424,0.638799950252251,-1.9785078898711688,77.95956755536508,-9.567010649605068,-3.3606225398394187,0.4482857721779637,,,,,,,,,,,,3.01557754811427,1.5816033924806174,-0.8550061050244485,50.00000000000004,4.9793335698557035,7.6938218198137,-121.92826240436054,-5.792270417203415,4.514387303067838,25.217668562302585,-29.806353793209542,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,a2b2177f-0735-4875-b7bd-d72fbc7e0490,84.02332228525603,5.143157681865369,1.0996725130919767,-2.1844596171330117,-3.5394496502142796,78.04873172120871,0.6439946852057774,-1.9794976986714157,-9.48841962781651,-3.375478919106059,0.4481769769694967,-7.165851847645737,-0.9361060007035592,-76.22568745460228,57.09491565467468,572.9108525987392,-2336.997814138326,23.80980327775794,0.07454696683522272,-0.9712411270057744,0.22612700623371257,,,,,,,,,,,,,,,,,0.9962215058578937,1,,,high,high,38.61457591079278,-78.84595136183539,53.90209700534695,Emiliano Gonzalez,gonzaem47,Uc san diego
9,03/10/2023,12:06:35 PM,4,4,Ryan Forcucci,forcury42,Right,Uc san diego,Craig Kenny,kennycr43,Right,Northern colorado,Stretch,1,Top,1,1,2,Fastball,,Foul,,,,0,0,,94.35331914873522,-1.33285363881074,-2.851227795670558,2249.1879952079476,227.56774440617752,1:30,5.133940569178972,1.0829784017618225,6.773517440603374,-18.016572067954765,11.866135784099004,11.319438718096949,3.356900682527008,-0.15095382300928492,86.47758005007823,-4.337068441393319,0.31206170128984406,0.3969271238754911,76.62895916091924,66.15286050277578,-60.150664757015655,,-94.32118677599507,56.599591209573774,129.10279939648987,193.16211415976412,,-59.51431298902326,5.643947970416369,-7.220873559819032,7.084438211862735,-0.9018092689769911,50.000000000000036,5.039998600456345,6.511198815471846,-137.3052101493054,-3.7257758292499394,-13.697894579606848,32.19347149064828,-18.734970923574807,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,e279927b-0826-483e-90bd-2f7484a777a0,94.53098481651102,5.133383239794616,1.0868140912033541,-1.326584509681875,-2.898418916936484,86.63097013937258,3.357691914616507,-0.1541169697952169,-4.324387393183081,0.2630770222556347,0.39680183237248845,11.771061996071513,10.69837060313104,-5.44246560565511,67.7832183705962,2239.0485237686644,-213.32685249848663,99.54919413313222,-0.6716763378328144,-0.09484616357236231,-0.7347483259260299,-26.870913098768423,15.419858647858483,70.08694151269785,0.17348566310927807,2.3624189702297547,3.4292429487719955,-166.45859560876914,97.99560344538938,,,,,,,,,0.9963501217957123,1,,28.690213481007277,high,high,28.99510346646347,-63.9563806133673,53.72648255939662,Emiliano Gonzalez,gonzaem47,Uc san diego
10,03/10/2023,12:07:01 PM,4,5,Ryan Forcucci,forcury42,Right,Uc san diego,Craig Kenny,kennycr43,Right,Northern colorado,Stretch,1,Top,1,1,2,Slider,,Foul,,,,0,0,,82.87856012509872,-1.5776255759018805,-2.695316366558389,2487.887876198598,65.67359444138549,8:15,5.161157634303564,0.9343971815757443,6.735218679091995,-38.90220471360467,0.5574335505036458,-7.649312051253868,1.262143034538331,-1.371729015333221,76.37912111768716,-9.069295843050266,-2.597547729583564,0.45211412160573444,,,,,,,,,,,,3.464284230236755,0.7759528866750146,-0.7541436040312575,49.99999999999998,5.041998276638976,5.871795992373838,-120.60534604091198,-4.312357174941288,5.072950735591376,24.726335738930747,-31.037777125188303,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,0741b8c4-b8cc-4d69-a0b2-5ae4924e8ada,83a0ce19-9ac5-4be5-8794-66a46d9f8e1a,82.99166971311026,5.15495428390119,0.9360668009628894,-1.5009343853675916,-2.7166478675513424,76.4609901343195,1.2677139403493325,-1.3728801743203356,-8.98341453591118,-2.6151480087000545,0.45200808482058635,-7.451786636746931,-1.5239525655611799,-74.67930663312085,60.08564066101177,657.3531882642175,-2399.473456909836,26.422138817149154,0.10884186520914596,-0.9644620562949742,0.24076210321615008,,,,,,,,,,,,,,,,,0.9967331249025403,1,,,high,high,35.92292340508942,51.55857544608621,53.76478132090801,Emiliano Gonzalez,gonzaem47,Uc san diego
