PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/12/2023,3:10:30 PM,1,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Hayden Heinze,heinzha42,Right,Northern colorado,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,90.69769000740305,-2.0331652612662494,-3.614541316893694,,,,5.588417572109731,1.4969096509631583,6.668180003515981,,,,2.8009721275601414,-1.197380977518161,82.4003420584696,-6.1935844287451225,-1.9971836467747652,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,f66001d1-d267-4415-8676-c95c6d50b68f,90.83724440413708,5.584333244714807,1.4969096509631634,-1.9840777396346154,-3.614541316893729,82.51410803825762,2.8046425637948924,-1.1973809775181596,-6.1367815699739445,-1.997183646774772,0.4167506763305473,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.831819996484015,Emiliano Gonzalez,gonzaem47,Uc san diego
2,03/12/2023,3:10:43 PM,1,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Hayden Heinze,heinzha42,Right,Northern colorado,Windup,1,Top,0,0,1,Curveball,,BallCalled,,,,0,0,,76.11677041333323,0.045241266132642205,-2.4475404745268845,2446.0921568516283,27.76728013505274,7:00,5.552429993940621,1.1281710149110102,6.6848098319527445,-59.178265830807085,-11.318537952309228,-9.184335481717792,0.935750717942846,-1.9113681549691064,69.64329080670505,-12.300600560570249,-4.198245767833255,0.49494737555913687,,,,,,,,,,,,4.138858987165752,-6.348213922093924,-0.961541729744146,49.99999999999995,5.531933466973286,4.9409228121299495,-110.7496981456036,-1.282346695807099,5.053322911140268,22.908345401050266,-39.924875346629406,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,a9bcedc3-2e67-4d46-87b7-53f955ba4bbb,76.18500359145213,5.540525820859875,1.1290460073809612,0.19233961838587643,-2.458738120631981,69.66112342118652,0.9457253929754345,-1.9118591337651873,-12.151912939055038,-4.205560471864488,0.4948747151945647,-9.08419097967147,-14.903540977328973,-38.89701918532479,59.90382873037363,1903.7343631538474,-1535.9564819220193,77.82758134526497,0.688655151081156,-0.6279225734074357,0.3625842311722531,,,,,,,,,,,,,,,,,0.9813007840625974,1,,,high,high,36.08655414266376,31.652936836674137,53.81519016804725,Emiliano Gonzalez,gonzaem47,Uc san diego
3,03/12/2023,3:10:56 PM,1,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Hayden Heinze,heinzha42,Right,Northern colorado,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,0,0,,90.93958507930897,-3.900070067340849,-2.07653477602166,,,,5.5598229613442935,1.3487215672775335,6.648000095218813,,,,1.444689970841075,0.21256480886048587,83.01453246045578,-7.410223513137526,-0.45772020392025037,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,8c869813-95d8-454c-84a2-657b97d812a5,91.07513798482357,5.555716581595237,1.3487215672775315,-3.851029192465151,-2.076534776021636,83.12593158793113,1.4483203936572442,0.21256480886048404,-7.354416648662937,-0.4577202039202602,0.41461626223821696,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.85199990478119,Emiliano Gonzalez,gonzaem47,Uc san diego
4,03/12/2023,3:11:10 PM,1,4,Anthony Eyanson,eyansan42,Right,Uc san diego,Hayden Heinze,heinzha42,Right,Northern colorado,Windup,1,Top,0,1,2,Splitter,,StrikeSwinging,Strikeout,,,1,0,,81.21937947776381,-2.266296059366763,-1.5318162418996017,244.19383384573015,214.69610338344557,1:15,5.518166612225798,1.1230599691576566,6.769433117211601,-37.921267633412,3.978141764080654,1.5156510471143694,0.7459806017350145,-0.7383599356551773,74.32391016935567,-10.159361580418018,-2.454387828018749,0.45963721561817367,,,,,,,,,,,,-1.251421144158735,2.7769830101925774,-1.0238779286300113,49.999999999999936,5.356073894201057,3.1261148890620687,-118.27858668313081,-5.598569609959871,-1.7732969914108991,22.497890246484495,-28.238990920770153,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,a6063d19-d535-4850-ba78-5603d3e5fbeb,81.3465617837571,5.513839925869828,1.1233730963327972,-2.2124283162594853,-1.5357590748500094,74.42125662818984,0.7502124396442137,-0.7386319562624402,-10.095190517387188,-2.458609133209898,0.45951245972062543,1.5536921341484902,2.1684979676732072,8.686003756169162,16.60219546832948,241.39312768102675,36.877993392368666,98.85308071846207,-0.8127529825919786,0.15101934726028501,-0.5626950737663521,,,,,,,,,,,,,,,,,0.9970789148291623,1,,,high,high,75.05802407850348,-34.77643791883966,53.730566882788395,Emiliano Gonzalez,gonzaem47,Uc san diego
5,03/12/2023,3:11:36 PM,2,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Jake King,king-ja68,Left,Northern colorado,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,90.4485706592165,-3.5753092522737067,-3.0816607104838427,1969.010693388164,199.64625702430067,12:45,5.555533326226004,1.3645606326930544,6.690264949567584,-18.716176691564463,14.521527208219766,3.907614403333633,1.8542828482341873,-0.05392613018021739,82.8847499279229,-6.505950771467387,-0.7444538802431115,0.41494165014453493,,,,,,,,,,,,-3.0558261378914273,9.09598299142774,-1.1610360845002807,50.000000000000036,5.309579252846408,6.963789523883787,-131.38035824397784,-8.744509333500222,-5.324509560428451,28.64095341911151,-16.32509541978875,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,01ba1f4c-271d-4841-9dc7-0f2862665ca3,90.62396612099205,5.555223138635561,1.3663656958878017,-3.572131016879059,-3.103910639235226,83.03707086796248,1.8549624933270104,-0.05541758477845176,-6.494866862647907,-0.7676999098974344,0.4148066712888046,4.1096335257506595,13.372502852212104,-27.59703148453909,79.34951770302288,1744.9915809725862,-912.144447448831,88.622757958206,-0.8346370137045749,-0.4632501237864095,-0.29796036341464216,,,,,,,,,,,,,,,,,0.9978899566520968,1,,,high,high,18.585434067279408,-30.57288642632302,53.809735050432415,Emiliano Gonzalez,gonzaem47,Uc san diego
6,03/12/2023,3:11:49 PM,2,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Jake King,king-ja68,Left,Northern colorado,Windup,1,Top,1,0,1,Curveball,,StrikeCalled,,,,0,0,,76.06050407780754,2.5016903474728927,-1.7572836455358198,2452.8801076589834,30.172529932448718,7:00,5.550339318584776,1.4367557910553808,6.758341000602215,-59.05231874520631,-11.862919814456625,-9.170951351924927,3.2033568952340876,-0.507405858489141,69.39129563355843,-9.96621802936947,-2.8451921749230964,0.4944173986229715,,,,,,,,,,,,4.555982751271994,-7.431090462421431,-1.3184103280911614,50.0,5.691023883906281,3.6051146671221064,-110.63797160897208,3.4791284430261604,5.56215896433939,22.511643243900576,-41.24627586228133,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,71eb789b-56f4-47b7-9452-e59892aca602,76.13521027691134,5.537807821308949,1.4370236248937065,2.6542180815915133,-1.760839098314425,69.41299401925728,3.213450528206614,-0.5073845480851708,-9.813467531219775,-2.8446222180188925,0.4943469651823768,-9.13638766126562,-15.243242527981963,-33.97346943528474,54.69546530013672,2034.164673756325,-1370.691395825833,82.92964125742459,0.7169399113176659,-0.5588089656505936,0.4168089532007815,,,,,,,,,,,,,,,,,0.9951449135706951,1,,,high,high,40.774081229876955,7.212741858142674,53.741658999397785,Emiliano Gonzalez,gonzaem47,Uc san diego
7,03/12/2023,3:12:03 PM,2,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Jake King,king-ja68,Left,Northern colorado,Windup,1,Top,1,0,2,Splitter,,InPlay,,GroundBall,Out,1,0,,81.55144734695071,-1.7755269093059804,-0.6506935361312808,396.8050474346349,184.6477346080979,12:15,5.360323836254965,1.5217843511420062,6.738564197459129,-35.66345102212848,5.868161180224725,0.23229647354938068,1.1357200766751165,0.5954417377691055,74.4618636692709,-9.426289112291755,-0.875900277034153,0.45782210080912467,,,,,,,,,,,,-0.31647778237765245,3.680825869315753,-1.4791614859975686,50.0,5.229963315423306,1.343404360301142,-118.82546185459597,-4.555247902664289,-0.4525060773459229,22.757198696763837,-26.91113329846764,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,4e4cc719-78f9-4225-a34b-ee7e13ac97e5,81.68981469989815,5.3563338946262,1.5220069512157455,-1.7273561379996558,-0.6534273728190745,74.56872632362276,1.1395521479915687,0.5952678886264304,-9.367847004273392,-0.8785908857522461,0.45768968711010705,0.2584264565246898,4.118607001637151,-13.003920020796746,8.03582443319883,386.6288516468802,-89.28816687455026,97.43546715104954,-0.971150717332485,-0.22501771953709476,-0.07895131486508007,,,,,,,,,,,,,,,,,0.992186135077457,1,,,high,high,97.23224198987896,-26.93393039132728,53.761435802540866,Emiliano Gonzalez,gonzaem47,Uc san diego
8,03/12/2023,3:12:37 PM,3,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Windup,1,Top,2,0,0,Fastball,,Foul,,,,0,0,,90.82659158226753,-2.97975676461583,-2.720406557426757,,,,5.557058003597127,1.3626544171690274,6.732268112971052,,,,0.21912563060545168,-1.1248463657977659,83.85518309098015,-8.887169998586305,-2.7204065574266916,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,dc7fdfbf-5285-4bf1-b737-f37720a6f591,90.9630291133869,5.553039216850237,1.3626544171690216,-2.9310841391249447,-2.7204065574267284,83.97201795037455,0.22344749071010453,-1.1248463657977732,-8.828649664607395,-2.720406557426729,0.4116899633771353,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.767731887028944,Emiliano Gonzalez,gonzaem47,Uc san diego
9,03/12/2023,3:13:02 PM,3,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Windup,1,Top,2,0,1,Curveball,,BallCalled,,,,0,0,,75.4035273540381,1.8516641010439108,-2.206669722190572,2345.05168680285,27.941102641840722,7:00,5.5887400287616575,1.2041261571399886,6.818645170847289,-58.340674354861854,-11.331507457505708,-8.408975020971656,3.058985705095669,-1.2603628175723418,69.55520445494624,-9.817645280109385,-3.3001512624551146,0.49802329839229525,,,,,,,,,,,,3.989861563307795,-6.973832932043535,-1.0591183547516752,50.000000000000014,5.6855696085822105,4.416217424012666,-109.71244392333666,2.217478348938181,4.790330590889862,22.118963923353633,-40.54701308361751,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,68202af7-71df-4625-8ad5-f2c3b28d1519,75.47538685539983,5.57690621113063,1.2048701247883251,1.9991054060276388,-2.2163026631280904,69.5807330727036,3.068650528019674,-1.2607385966870133,-9.670501483105108,-3.3057640626892173,0.49795197420763465,-8.328009615199306,-14.734358845762129,-36.27288471750545,45.714170282763575,1890.6002732123284,-1387.4069412779943,80.62083594370142,0.7122284259578467,-0.591631710757527,0.3777599609325078,,,,,,,,,,,,,,,,,0.6343771241499697,1,,,high,high,48.85724674551277,-3.5425721863602257,53.68135482915271,Emiliano Gonzalez,gonzaem47,Uc san diego
10,03/12/2023,3:13:19 PM,3,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Caden Wagner,wagneca45,Right,Northern colorado,Windup,1,Top,2,1,1,Curveball,,StrikeCalled,,,,0,0,,74.7741965969285,2.225997800322494,-1.7512182914738743,2417.3759239478877,27.262942461719344,7:00,5.5805669119869075,1.2067454567024551,6.735229760165125,-60.892436958260724,-12.033803175426236,-8.448264499580086,2.9785442110518074,-0.6876885067847933,68.69933775605902,-10.09545947855168,-2.67677701178498,0.5030859420623047,,,,,,,,,,,,4.149786598313131,-7.43315107969979,-1.0883324883748018,49.99999999999997,5.703125850218924,3.5178206629553395,-108.78341849415668,2.847498490012874,4.897110901680319,21.789127811770758,-40.945817561016234,UC San Diego,Northern Colorado,tri01,NCAA D1,BWC,a31b2a3d-affc-4042-ae8b-293d7beb75ba,12ce1141-bc90-4648-8118-b68414f4fa24,74.84370247682062,5.568106429638395,1.2075601050822202,2.3802300987365865,-1.7616665064291415,68.71856688569171,2.988657865603993,-0.6880980022717393,-9.941844452792107,-2.6829169417519023,0.5030181334611449,-8.35103548079165,-15.502493997072385,-35.57739655067144,49.24195054754672,1966.1251935666376,-1406.4345277706518,81.33303447300413,0.7229804781842015,-0.5818021573879838,0.37256607175537476,,,,,,,,,,,,,,,,,0.9950650145376839,1,,,high,high,45.682244507207976,6.452654162062443,53.764770239834874,Emiliano Gonzalez,gonzaem47,Uc san diego
