PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/14/2023,6:16:34 PM,1,1,Nolan Mccracken,mccrano42,Right,Uc san diego,Alexander Rivas,rivasal47,,Uc riverside,Windup,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,93.8382334558854,-2.767052842031143,-2.6426472029093975,2214.9270673651527,196.8764052509459,12:30,5.718735528595877,1.200147312872504,7.182274997215743,-15.1890233224551,15.584247166032785,3.8816949203486484,2.855097647309087,-0.3787975304931594,84.81428858808314,-5.362506516592561,-1.2338759935611134,0.39587197491821857,71.07963407876213,54.6054612204095,-38.66427657499618,,-68.095666033173,86.38854245496705,88.01016197410218,216.30989391504747,,-38.45203147462169,4.699266920719713,-2.954288184483083,9.601751655237102,-1.048219668331272,50.00000000000005,5.553621000194788,6.203700122678505,-136.5618019244481,-6.986403981045947,-5.552385782808382,31.409676768864568,-14.128203665953597,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,e1fb9121-4944-4bd2-bb41-0e94fc11924a,94.01844574736138,5.719256570137632,1.2016946071533088,-2.7742227008290463,-2.6622163976261475,84.97183712343174,2.855084968946725,-0.3801140100187646,-5.362106970506009,-1.2546694974306793,0.3957444017156482,4.075112310291883,14.558764221539613,-20.81750272754388,96.60873543585687,2070.3303235488843,-787.1685112736454,93.47171534689498,-0.894461891577458,-0.35539251963273466,-0.27135600510173336,-25.720934188425435,32.14602812746694,57.94290984126975,1.4805043021956232,-1.8888564638340009,0.48365268741769313,-134.51430021816256,169.39856328303708,,,,,,,,,0.9979179155107014,1,,28.998401180638698,high,high,3.0521381077288905,-15.418342284882197,53.31772500278426,Michael Fuhrman,fuhrmmi44,Uc san diego
2,03/14/2023,6:17:14 PM,2,1,Nolan Mccracken,mccrano42,Right,Uc san diego,Troy Anderson,andertr66,Right,Uc riverside,Windup,7,Top,2,0,0,Slider,,BallCalled,,,,0,0,,82.20343061353297,-3.4777040797518275,-2.3319389769803767,2564.4739689392395,104.45102676497515,9:30,5.360188247602044,1.6361904374086045,7.362235313078806,-34.84576031737439,4.33296926661621,-7.968085097222034,-0.17723012248354011,-0.18356147529379874,75.67506855205298,-10.835594994977882,-2.057097443767118,0.45246275826169174,,,,,,,,,,,,4.564311237921244,3.264496526160245,-0.8915838089929619,50.000000000000036,6.216954623894017,1.1325409829209698,-119.05550396987704,-9.142037000459215,6.524208596998074,23.733188695506218,-27.507791044318026,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,9e93f336-ecd4-47b9-939a-654ae08ecb4a,82.3191118304457,5.355346298265601,1.6373485292369123,-3.4170390668141724,-2.347050388824604,75.76025694179157,-0.17252645880622522,-0.1843205085252414,-10.763820205363597,-2.068597259935517,0.45235884422036765,-7.82898030727855,2.449812557713719,-76.37164084586645,56.484420375968945,604.2494477120545,-2492.2699176266306,23.56231550917221,-0.058800322462290056,-0.9718444982529985,0.22816834419723614,,,,,,,,,,,,,,,,,0.9912640360423713,1,,,high,high,39.164021661627956,-33.399014020751544,53.137764686921194,Michael Fuhrman,fuhrmmi44,Uc san diego
3,03/14/2023,6:17:46 PM,2,2,Nolan Mccracken,mccrano42,Right,Uc san diego,Troy Anderson,andertr66,Right,Uc riverside,Windup,7,Top,2,1,0,Fastball,,BallCalled,,,,0,0,,88.46255469763103,-1.5244213228012022,-2.2952607216550907,2126.1147400750283,199.61803430482394,12:45,5.375426020099643,1.545102961868428,7.407537994958801,-18.015509174875078,15.468937950881156,4.6938991445033595,3.5340096950177924,0.5996650919603213,80.8074619604538,-4.5304650338995645,-0.36485611707134485,0.41775612256739325,,,,,,,,,,,,-3.3556404398781696,9.351458471785735,-1.4224363057347436,49.99999999999996,5.288117162867044,5.059997436129563,-128.91972473813664,-3.8469845912932636,-5.615238634206454,28.230108559937676,-16.525570007283584,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,e52c29c2-1eee-4d8d-b002-e38aa0ba55c7,88.63750779998094,5.375529496887006,1.5469581980817548,-1.526352017781414,-2.3187676861441977,80.96094466799518,3.534359769030643,0.5980978917114435,-4.52432937329254,-0.3895721059248241,0.4176164948435372,4.922612797558767,14.266972312473863,-18.532314557878916,84.54823816530701,2015.8640930418105,-675.763158472718,94.81445450919892,-0.8931064799280831,-0.31783945886611514,-0.31833770417304286,,,,,,,,,,,,,,,,,0.9973080575546319,1,,,high,high,13.906585651223768,-6.553516057294471,53.0924620050412,Michael Fuhrman,fuhrmmi44,Uc san diego
4,03/14/2023,6:18:04 PM,2,3,Nolan Mccracken,mccrano42,Right,Uc san diego,Troy Anderson,andertr66,Right,Uc riverside,Windup,7,Top,2,2,0,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,8cda1cff-3ecf-4aa7-9f87-d6613f8eb6bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Fuhrman,fuhrmmi44,Uc san diego
5,03/14/2023,6:18:02 PM,2,4,Nolan Mccracken,mccrano42,Right,Uc san diego,Troy Anderson,andertr66,Right,Uc riverside,Windup,7,Top,2,3,0,Fastball,,BallCalled,Walk,,,0,0,,92.16143391194534,-3.2360428492526143,-3.9090202726415444,2279.555123042249,199.90160251396517,12:45,5.559131153195279,1.174172853365912,7.3285953015263,-15.39116401149983,15.883477976582645,4.688419451598108,2.415199777942419,-1.5719350378617736,84.02783064918405,-5.7175147951470215,-2.270535223319435,0.40250167857613833,,,,,,,,,,,,-3.8045066295478516,9.978990468949817,-0.9588116678388765,49.99999999999994,5.374986919351102,9.037685098298576,-133.92971928840655,-7.963954140045429,-6.880129563189193,30.1015493715912,-14.127886437543514,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,43fe2f47-748f-4553-9e40-9acf77c3de29,92.33867140466965,5.55962359585871,1.1760056987423186,-3.242733630858121,-3.9321162407520713,84.1834012286713,2.4151903108285424,-1.5734659558912882,-5.717011577281466,-2.294793896014988,0.40237241783431876,4.895623804891907,14.866227562066923,-21.24289026885489,83.5155329450692,2124.665815413318,-825.9338543746856,93.20528351943432,-0.8763893410773558,-0.3623223873930325,-0.3172762368029023,,,,,,,,,,,,,,,,,0.9948940615292573,1,,,high,high,14.836020349437751,2.8750227782313824,53.1714046984737,Michael Fuhrman,fuhrmmi44,Uc san diego
6,03/14/2023,6:18:51 PM,3,1,Nolan Mccracken,mccrano42,Right,Uc san diego,Dominic Martinez,martido52,Left,Uc riverside,Stretch,7,Top,2,0,0,Fastball,,StrikeCalled,,,,0,0,,88.63034458125833,-3.1086254822483257,-2.8740824798371736,2058.402981117793,208.39140526097748,1:00,5.426846719357401,1.7638741108767533,7.466362834733105,-18.690050192417203,14.318139212373069,6.518473758194233,2.022977258458372,0.5639065796079674,81.60682931000662,-6.349897146598249,-0.3578782213025233,0.4168193006228222,,,,,,,,,,,,-4.59050084127073,9.204303375465415,-1.6133074365380191,49.999999999999964,5.2568646885066075,6.327622851521372,-128.98360766735044,-7.441808467814472,-7.702265438781298,27.835937213210876,-16.730421487833564,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,bf262868-cf33-4994-aa2f-fac4f04a90ae,88.80101396617137,5.426550101391635,1.7663452627900318,-3.1056050559189217,-2.9044536059760855,81.75392242704163,2.0236111465622915,0.5619111759102661,-6.339491102931086,-0.3890844208913897,0.4166846947466307,6.804676365388463,13.14313593495152,-16.411920063295813,81.13220103317153,1974.5337911411577,-581.583304709088,95.92552135097031,-0.8438759097980808,-0.2825410330455631,-0.45611842048749507,,,,,,,,,,,,,,,,,0.9939044518821599,1,,,high,high,16.981019070145607,-22.058226958674403,53.033637165266896,Michael Fuhrman,fuhrmmi44,Uc san diego
7,03/14/2023,6:19:22 PM,3,2,Nolan Mccracken,mccrano42,Right,Uc san diego,Dominic Martinez,martido52,Left,Uc riverside,Stretch,7,Top,2,0,1,Slider,,BallCalled,,,,0,0,,78.43244749963633,0.7746777571650136,-0.25503342188055345,2557.8931708015725,80.71420098391305,8:45,5.3933935358890235,1.9214488902884417,7.029138367045434,-42.63878338049115,0.36557815683180195,-12.13518297547791,3.083692284945913,1.2441172503546696,72.24572978588346,-7.913883377239314,-1.5417874020793536,0.4747536660206786,,,,,,,,,,,,6.717915791317946,0.1600764667763564,-1.9019127407505692,49.99999999999996,5.425825945628877,0.778988002868133,-114.33692542567431,0.5878865013826067,8.82184117227489,22.65587931724725,-31.96384016849807,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,b2028bce-4e4b-4dd3-acdb-02878626bb28,78.54268164606103,5.385894199559243,1.921201463153958,0.8665235828344334,-0.2524692929354551,72.32091414111414,3.090176054947526,1.2445889078389238,-7.814455096152739,-1.534063309616399,0.47464358134840506,-12.163798421305243,-2.0822667752017465,-60.753561729094685,39.97898133818802,1249.702178745299,-2231.8292805841074,48.85669945135657,0.07883478919059522,-0.8725263846279844,0.48216468570530224,,,,,,,,,,,,,,,,,0.9953760664661695,1,,,high,high,54.01891679563076,-39.217665105657424,53.470861632954566,Michael Fuhrman,fuhrmmi44,Uc san diego
8,03/14/2023,6:19:39 PM,3,3,Nolan Mccracken,mccrano42,Right,Uc san diego,Dominic Martinez,martido52,Left,Uc riverside,Stretch,7,Top,2,1,1,Slider,,Foul,,,,0,0,,81.17460397026063,-0.6657334148630578,-2.168352072739321,2530.922547669787,100.40301197327275,9:15,5.350202170222683,1.9763229457466365,7.167359807263851,-36.035945312286586,4.337809400078676,-9.035013078010875,2.334801496407773,-0.005167048394269807,75.29165727696126,-8.04132780245382,-2.5191415792887963,0.45732094529724077,,,,,,,,,,,,4.471481243991397,2.650260794390444,-1.8472981094918701,49.99999999999996,5.300117828541581,4.681246341963297,-118.29436637050983,-2.1822921943888574,6.2991178986601275,23.794488184791913,-28.440542880924312,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,c5a676bb-4e57-4713-ab17-d60dcceb8e98,81.29788466530191,5.344952825849648,1.9770126427605301,-0.6013974555283157,-2.1773306759166795,75.38435821584314,2.3394756810544743,-0.005443717153922633,-7.968632669233371,-2.523143218963626,0.4572027642079291,-8.950482100537105,2.3337751442788006,-70.53633374126908,50.96648158091045,843.3262012216046,-2386.2878830175673,33.32090118672547,-0.06016783457476947,-0.9428529866370725,0.32773171538948664,,,,,,,,,,,,,,,,,0.9975453275088983,1,,,high,high,44.13016657718061,-30.081475404293656,53.33264019273615,Michael Fuhrman,fuhrmmi44,Uc san diego
9,03/14/2023,6:19:57 PM,3,4,Nolan Mccracken,mccrano42,Right,Uc san diego,Dominic Martinez,martido52,Left,Uc riverside,Stretch,7,Top,2,1,2,Fastball,,BallCalled,,,,0,0,,89.89021295914185,-0.9082961888313168,-4.678687748404243,1994.6661704564506,203.65659064393097,12:45,5.60485892012314,1.4819810653912735,7.249980193985129,-18.203495749894092,14.536226934148186,5.464678288960799,4.335970925658166,-1.5141630990638673,81.99473215021088,-3.7384865571120582,-2.789266757074699,0.41325949861063993,,,,,,,,,,,,-4.4742057971648315,8.582754458973636,-1.2176396470262403,49.999999999999986,5.547663626703123,10.561555208770189,-130.66801931288495,-2.521769053143688,-7.69654845507999,28.83174738526624,-17.409957685398755,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,5b0f7852-809a-42f5-a88d-0cdd4d68062f,90.06871408195077,5.604772698230385,1.484028893491508,-0.9078978360705144,-4.7041626864591475,82.15057042841116,4.336447368347631,-1.5158588860024205,-3.7303180145393386,-2.81597772347332,0.4131223425299126,5.712220338001209,13.357970526023477,-18.03759989092481,79.70064618077423,1896.6353509012893,-617.6305346037749,95.08535207509293,-0.870950314379615,-0.30964105360168565,-0.3815337046795311,,,,,,,,,,,,,,,,,0.997946214169733,1,,,high,high,18.269418437303163,10.612638892276438,53.25001980601487,Michael Fuhrman,fuhrmmi44,Uc san diego
10,03/14/2023,6:20:20 PM,3,5,Nolan Mccracken,mccrano42,Right,Uc san diego,Dominic Martinez,martido52,Left,Uc riverside,Stretch,7,Top,2,2,2,Fastball,,BallCalled,,,,0,0,,89.79955416779899,-4.378735538242849,-3.0823594563631196,2117.3285873374184,206.7067190894749,1:00,5.24185944939917,1.595239026384163,7.501263158991136,-17.813232167448497,14.896576755169889,6.189262787786514,1.06684239962252,-0.382382493838769,81.98605295091397,-6.970239022592181,-1.4886365302193632,0.41163332395844016,,,,,,,,,,,,-4.428796709257143,9.788432719837864,-1.4353589413444052,49.999999999999986,5.007301858352501,6.886865963305394,-130.48326013712773,-10.407579715330879,-7.6108497765620795,28.28193662562542,-15.352710547575986,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,eb6b8b2d-71f1-47b2-bdb7-03366c1bfecc,d081716a-0809-4552-b306-594784b7220c,89.96884294096445,5.241754442191484,1.5975368346508112,-4.3780156188662485,-3.110854746374237,82.13264255063834,1.067323402609217,-0.38426016683682984,-6.962080504316014,-1.5182464277112693,0.4115037469743252,6.443759937238151,13.800811336754931,-16.63496752670425,89.39280622303421,2028.7142361776482,-606.1343866556398,95.81480400870588,-0.8559315524190461,-0.28627317945858627,-0.43061449615194514,,,,,,,,,,,,,,,,,0.9977899649888536,1,,,high,high,9.546474399269195,-17.905521158557143,52.99873684100886,Michael Fuhrman,fuhrmmi44,Uc san diego
