PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/18/2023,2:02:14 PM,1,1,Nic Gregson,gregsni43,Right,Uc san diego,Nick Marinconz,marinni49,Right,Long beach state,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,90.52811092341238,-3.5210402382118464,-3.9815348539935265,2340.5404958240515,208.6290423927476,1:00,5.231412479311857,1.6316421738544336,6.580364572862441,-18.30440249388415,14.974599824387841,6.250621009136734,1.3468777610162797,-0.48927172094753796,82.79327291502108,-7.02027970231171,-1.759949639890493,0.41594116079628973,,,,,,,,,,,,-4.6356930637307086,9.398147684962264,-1.3615088843480116,50.00000000000003,4.9818694190584125,8.961760821492478,-131.34922436070767,-8.624726051483947,-8.069936206655527,28.740532277896573,-15.813507324960742,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,d29f82b3-ab0a-43ea-a151-a436fa27f1d6,90.70847240539644,5.231408303269313,1.6344910060053577,-3.521530933976302,-4.015611721605016,82.94699445267855,1.347351509441135,-0.4915237858831179,-7.012319829095302,-1.7947356170941222,0.4158024868888219,6.577500892196952,13.832329656158288,-32.45982041561363,42.71930929512145,1974.8732331119802,-1256.1868992033521,84.37680256485679,-0.7406091330900247,-0.5367080387819041,-0.4042803397279222,,,,,,,,,,,,,,,,,0.9741118221728194,1,,,high,high,51.55262163439069,68.5711661217432,53.91963542713756,Emiliano Gonzalez,gonzaem47,Uc san diego
2,03/18/2023,2:02:28 PM,1,2,Nic Gregson,gregsni43,Right,Uc san diego,Nick Marinconz,marinni49,Right,Long beach state,Windup,1,Top,0,0,1,Curveball,,Foul,,,,0,0,,77.16334053342591,0.9149871616099815,-2.3820561974602605,2748.3211900444044,18.14556901639274,6:30,5.148119743747541,1.7786957257330953,6.498984044263252,-58.62379023192896,-12.326568648127399,-6.435176193494456,1.5533714048970282,0.062034660346872904,70.7011779461571,-11.01812993403847,-1.9009984997235865,0.4897212921959836,,,,,,,,,,,,2.791588843072155,-7.1155243625735745,-1.6094378935441946,49.999999999999986,5.18637766301876,4.82771529081849,-112.2361342621822,0.3470574568520425,3.5063507201750697,23.215790215805153,-41.111441650397296,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,7516cd1d-fd77-4b07-a59c-3dc6e8ae768d,77.23501983688948,5.136172810968088,1.7816020421366503,1.0629098748698143,-2.4185902064382554,70.72219965566865,1.563506668990108,0.06002804229350018,-10.866242880826325,-1.9316642375784345,0.48965166634652124,-6.098634617472057,-15.645521050067904,-46.302308574929285,79.32407577834083,1898.686695781293,-1987.022444490803,69.08532753228222,0.6564959957740404,-0.7229949875177067,0.2151540275173167,,,,,,,,,,,,,,,,,0.9951005052913906,1,,,high,high,18.608331799493303,14.417248817772322,54.00101595573675,Emiliano Gonzalez,gonzaem47,Uc san diego
3,03/18/2023,2:02:55 PM,1,3,Nic Gregson,gregsni43,Right,Uc san diego,Nick Marinconz,marinni49,Right,Long beach state,Windup,1,Top,0,0,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,84.06348118562032,-1.6011748673437682,-3.9188717321364743,2582.716931451335,352.74228320544165,5:45,5.049476296224381,1.9726630056592194,6.576301118247718,-39.0683699299217,-0.9652449079458663,-1.9360374431929341,1.173797422253347,-0.5451857123974565,77.88542590584662,-9.111887659013858,-2.6430862992906135,0.44693943050958423,,,,,,,,,,,,-0.07579361153028297,0.3019926585869494,-1.7030721329597278,49.99999999999998,4.922934726164999,8.419382435993462,-122.17241966721718,-4.460487080729997,-0.11433561829319,24.502206354635575,-31.718489854217758,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,476ee7fc-8d82-4fc5-9406-a0ad9233f087,84.18101632115616,5.043832923644888,1.977242382620234,-1.5327868455777243,-3.9753649636382007,77.9716071045365,1.1789674562534085,-0.5486054038638453,-9.032999052127932,-2.6953979151734293,0.44683788102633304,-1.3992022295745878,-2.8615585692584546,-81.5722458358543,56.621669779711645,378.5286853691153,-2554.827348835559,14.656220384028087,0.1453879392214862,-0.9892014559256775,-0.018515580559341837,,,,,,,,,,,,,,,,,0.9909706699844957,1,,,high,high,39.04049719825955,-80.907559439738,53.92369888175228,Emiliano Gonzalez,gonzaem47,Uc san diego
4,03/18/2023,2:03:21 PM,2,1,Nic Gregson,gregsni43,Right,Uc san diego,Joey Walls,wallsjo46,Right,Long beach state,Windup,1,Top,1,0,0,Fastball,,Foul,,,,0,0,,91.9691737699122,-1.8823854844084498,-3.350894925052776,2329.1028353242436,210.69004795908273,1:00,5.274161367328658,1.675649656058767,6.428666882699868,-17.881051752904952,14.57755662841793,6.9688065242813035,2.8633045638433714,-0.6308275081798658,83.86344480079963,-5.275730604163631,-1.9283980230638444,0.4100496735568726,90.2369588985603,61.77753251225227,42.028078767541764,,73.3517789142756,81.97265721022141,143.50228256542468,268.61040323714684,,41.944180584145066,6.164140843407058,-4.815738621151104,8.575815257567246,-1.440451646521332,50.00000000000005,5.131959848293997,7.616866714105655,-133.67073133914766,-4.9387049466614945,-8.67099505412606,30.11537301589633,-16.732835364599847,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,1c21feb2-cb6d-42e0-9af9-fdf03b1d2f77,92.15476301378668,5.274211103451887,1.6786594327164166,-1.8836068589659878,-3.387135020660373,84.02294738174814,2.863704833251597,-0.6332522813004067,-5.268940268662125,-1.9655301867428445,0.4099111325837121,7.298942986759651,13.436400855350403,-31.75439555810857,70.06712121428764,1980.4637415553332,-1225.7582901616786,85.0311850348001,-0.7312179700341074,-0.5262791627622727,-0.4339936902092479,28.56916419234185,31.6980180624329,79.50941616893655,0.697434444947659,1.554114441813377,3.0083327948704355,179.5408838936171,199.79144060224738,,,,,,,,,0.9977829871665611,1,,43.207814779506045,high,high,26.939590907141113,26.84412022442901,54.07133311730013,Emiliano Gonzalez,gonzaem47,Uc san diego
5,03/18/2023,2:03:43 PM,2,2,Nic Gregson,gregsni43,Right,Uc san diego,Joey Walls,wallsjo46,Right,Long beach state,Windup,1,Top,1,0,1,Curveball,,StrikeCalled,,,,0,0,,77.63192921926914,2.278916437477302,-1.484963920611256,2762.743227948387,25.52790341889785,6:45,5.152770802283496,1.9868819542650509,6.457235283065069,-58.048292790476786,-11.732591778109558,-8.207615392241712,2.819131714137045,-0.08161225870864136,70.4828108052633,-9.702174806108278,-2.7433170536702236,0.4868785645734385,,,,,,,,,,,,3.8831773826228004,-7.210822706663209,-1.8785513967594245,50.000000000000036,5.287978505925179,3.1246877780296325,-112.9049115666746,3.0521765701532906,4.943904101680944,23.18099605043491,-41.35457688189387,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,b5dc92d8-9265-410a-b99f-ec09b141d326,77.71043653472618,5.140735255607564,1.9890491211860404,2.427087969839784,-1.5122668278715492,70.50931641043431,2.8291767529467755,-0.08308337958684577,-9.549722121755387,-2.765744557204189,0.48680648116212216,-7.951824350651759,-15.140429439969479,-46.27062344525064,86.09223301995947,1909.7545252312316,-1996.393697879631,69.1252993007756,0.6237697759797498,-0.7226128283235909,0.2978958994621335,,,,,,,,,,,,,,,,,0.9974882733017187,1,,,high,high,12.516990282036483,36.27046081270167,54.04276471693493,Emiliano Gonzalez,gonzaem47,Uc san diego
6,03/18/2023,2:03:56 PM,2,3,Nic Gregson,gregsni43,Right,Uc san diego,Joey Walls,wallsjo46,Right,Long beach state,Windup,1,Top,1,0,2,Slider,,BallCalled,,,,0,0,,84.0279708618749,0.21573272190597217,-4.019234002314468,2727.975008248036,15.193200246442503,6:30,5.074120991516971,1.8281830051899375,6.46787570581168,-40.07091877479831,-1.2963551824727375,-2.994137730128744,2.6211425447721846,-1.8372687833634544,77.49476587569602,-7.71069118195842,-4.288169167472675,0.448172270002314,,,,,,,,,,,,0.4969325365826219,-0.7762981660113253,-1.543524008231011,50.000000000000064,5.071337745091414,8.662693429355011,-122.12396133382528,-0.6331895802200095,0.7482782672166496,24.70923469408158,-33.34299507405587,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,fa85ee9b-dffa-4d18-a1d8-4e01f90fc790,84.1479814062951,5.06778340626335,1.832733184001913,0.2918440396423568,-4.074918735968124,77.58117949808212,2.6265737965814258,-1.8404814967536514,-7.626466844104028,-4.33757412100306,0.4480710964222654,-2.4802305607367074,-3.259302715532388,-78.96075459328756,64.34715565475318,522.3562427949714,-2677.4972644690024,19.1481315340363,0.18478858453915165,-0.9814962587170286,0.05018239879173105,,,,,,,,,,,,,,,,,0.9946479215384235,1,,,high,high,32.087559910722135,-74.48095448878078,54.03212429418832,Emiliano Gonzalez,gonzaem47,Uc san diego
7,03/18/2023,2:04:12 PM,2,4,Nic Gregson,gregsni43,Right,Uc san diego,Joey Walls,wallsjo46,Right,Long beach state,Windup,1,Top,1,1,2,Slider,,Foul,,,,0,0,,83.83091776989511,-0.23597574619584202,-2.4224791586070515,2621.739284258905,22.464499499014803,6:45,6.0494848931169445,2.117008849217915,5.999999999999997,-38.98350565781769,0.5188869635197619,-2.85697149954365,2.582035903253321,-0.36678637190655305,77.0323033118518,-7.539485492850656,-2.9604747840363386,0.45235898719998685,91.83279731795373,-14.78243268926305,-53.60806141633413,,,,,11.34450092617819,,-42.76700300248601,0.07736599971041894,0.8641117359717653,0.3476109052134213,-1.9250615827446813,49.999999999999964,6.0094745317095954,5.244625024517636,-121.9481538076282,-1.6700850961177025,1.2994675578698642,24.287386105550087,-31.651305737857914,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,a3ebd44d-e653-44ed-9c49-373218e59c62,83.95646574877188,6.043503721673443,2.1215017755720122,-0.16423269617013594,-2.4776163744223143,77.12356668715155,2.5871262891849254,-0.3700079507451364,-7.46160999660236,-3.009382664096591,0.4522592849184445,-2.335421643120629,-1.411816867691284,-84.20294283095707,71.29642427243877,264.8092609158877,-2608.331445571973,10.100518480453793,0.09334055443432672,-0.9948858993083585,0.03859518435363864,-71.47657693420562,52.6815559785192,-23.431074936739563,0.3240960346955913,2.4034263804520246,2.721850137188818,-7.703127499567538,8.32823678754778,,,,,,,,,0.990183463246537,0,,48.66164353953274,medium,high,25.8332181548051,-65.31781615127464,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
8,03/18/2023,2:04:35 PM,2,5,Nic Gregson,gregsni43,Right,Uc san diego,Joey Walls,wallsjo46,Right,Long beach state,Windup,1,Top,1,1,2,Fastball,,InPlay,,FlyBall,Out,1,0,,91.06165178482374,-3.326813463727446,-3.1455732969425587,2467.319242692893,208.59381919221656,1:00,5.205580550369245,1.7399187575088435,6.576790645098561,-18.257875406985775,14.684774974943622,5.870151230198147,1.5529645058711028,0.44013385700787877,84.70589945859977,-6.625190003913069,-0.5221618314348397,0.4130958109787647,99.78245273472268,49.36780311254743,-28.957897567026812,3626.1817659224007,,,,319.4488274216912,,-30.553073327952003,6.8523576745231765,-4.156524430108887,9.087833500931835,-1.5268210898654488,50.000000000000036,4.96939037049876,7.099431687333701,-132.2685884532721,-8.22745898629743,-7.336559332048593,29.175562499558936,-16.13338128235703,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,f9965af4-9d2e-4aab-b373-6d8e91cbffc4,91.24131759053515,5.205521848817643,1.7427721804765843,-3.326728075724813,-3.1803607034621235,84.8613001464796,1.5534047303739227,0.43790025377310215,-6.617805047785637,-0.5568869975296203,0.4129593535457504,6.186380153971536,13.555745734677059,-39.473291122724596,64.55284618931107,1904.5755580395069,-1568.5203821057387,77.19210084710426,-0.6777733611737109,-0.6357184570869787,-0.3694391887743392,-31.460389124383056,56.85453216705326,75.7254512166489,-0.46215561079101924,2.046568528761207,1.637058929412123,-162.38742727669128,275.09612284354495,13.829101321230654,-44.52780172344595,1.0761024902274041,0.9737781597112196,-0.007043633366872789,-0.2273905954484999,,,0.9976237273395637,1,0.9905891967253829,53.431212728306,high,high,31.902438429620062,13.44152976718695,53.92320935490144,Emiliano Gonzalez,gonzaem47,Uc san diego
9,03/18/2023,2:05:07 PM,3,1,Nic Gregson,gregsni43,Right,Uc san diego,Rocco Peppi,peppiro42,,Long beach state,Windup,1,Top,2,0,0,Curveball,,HitByPitch,,,,0,0,,76.58073666068377,2.510514529846408,-0.07625349878003664,2645.2309516121427,26.071431624016398,6:45,5.155547109712253,1.9717547807016351,6.4395755947257465,-59.55124058444578,-12.499887090527736,-8.097381083255263,3.0573373279199787,1.2836560911662784,70.48450725789904,-9.323764205106489,-1.3139361924946884,0.4936936973708831,,,,,,,,,,,,4.444735771277316,-7.698456510851047,-1.9626990694026103,50.00000000000002,5.306719114462007,0.34934368633106566,-111.38982314534063,3.404920112706246,5.5069723289641965,22.5974177831294,-41.71234143564296,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,d6b2ff25-4cac-4f33-98bb-615c4420033f,76.65479280410129,5.143147239261789,1.9732583435042272,2.6641671280569383,-0.09534383582299492,70.51026803468108,3.0675647176428975,1.2827174874088483,-9.16916473483484,-1.3281310807477553,0.4936245743790358,-7.920428818132072,-15.851189906015692,-41.54978403009641,84.23978080881778,1979.6371100903136,-1754.5038329169174,74.83796864254211,0.6722296758549142,-0.6632705669225708,0.3289063969493579,,,,,,,,,,,,,,,,,0.995502772111112,1,,,high,high,14.184197272064027,33.879178680904445,54.060424405274254,Emiliano Gonzalez,gonzaem47,Uc san diego
10,03/18/2023,2:05:40 PM,4,1,Nic Gregson,gregsni43,Right,Uc san diego,Jonathon Long,long-jo65,,Long beach state,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,0,0,,90.6728991222803,-4.18985194151212,-4.397351237252155,2463.183518240138,207.32547752859554,1:00,6.361070310895519,1.9202458029113705,5.999999999999997,-18.602170829399782,15.525940846768137,5.568853962220598,0.9106644509392174,-1.697754355069572,82.87497801975839,-7.6636082852080305,-3.3504758002256465,0.4204628716066893,,,,,,,,,,,,-4.276618402097801,9.615165760338314,-1.57726107046282,50.000000000000014,6.020210270763971,9.915086504383998,-131.26773515116452,-10.24368535742956,-7.441537977607903,28.498802522930752,-15.443162132619857,UC San Diego,Long Beach State,tri01,NCAA D1,BWC,eea90e7e-421e-4d1c-aa15-5c059363d099,75f2704f-d509-43f1-97d8-1cd232a54cf7,90.86173089713472,6.361042405289643,1.9231576450446037,-4.190129215213614,-4.432278588164827,83.03146917797451,0.9111276206933306,-1.6999745249406943,-7.65567960722324,-3.384750738897283,0.4203324413312941,5.897897916323159,14.378719243974965,-39.50129738169933,40.16063423938519,1900.6174684562804,-1566.8204374237343,77.16101761732345,-0.6855086646849476,-0.6360956972232321,-0.35420352146181444,,,,,,,,,,,,,,,,,0.9949961616045206,0,,,medium,high,53.85542918455336,69.36696423830021,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
