PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/26/2023,1:02:29 PM,1,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Matthew Kurata,kuratma42,Right,Cal state bakersfield,Windup,1,Top,0,0,0,Fastball,,BallCalled,,LineDrive,,0,0,,89.54646959772741,-1.5737950088276558,-1.2592760965638965,1791.890460217742,205.2614390938663,12:45,6.688389187298926,0.951712942991613,5.999999999999997,-20.876852100776794,13.818347833460223,5.40162809525367,3.48984434622379,0.23496795787454114,81.6318949575823,-5.503463048864453,-0.238517336674902,0.4239417807163598,,,,,,,,,,,,-3.2938190967355805,7.9473402149074115,-0.8557597906850438,50.00000000000002,6.553258959555627,2.691288374669954,-130.27302672090931,-4.246327720235791,-5.635467738958127,28.493817679638394,-18.57676993089614,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,d3722576-3d53-44d1-8b8e-02bc613da6e0,89.73346709562057,6.687696374003255,0.9539808539456845,-1.5660655508430512,-1.286945189834254,81.78798779478669,3.4908630052689893,0.233168205792907,-5.487238592079718,-0.26628488294140845,0.4238072302853242,5.660586048582899,12.509405210600686,-20.697342708038025,69.80628608368255,1676.242606651055,-633.3104649909295,93.54604223113985,-0.8460023075544875,-0.3534314619399071,-0.3992070857631445,,,,,,,,,,,,,,,,,0.9947576628837584,0,,,medium,high,27.174342524685652,-5.240306158650412,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
2,03/26/2023,1:02:41 PM,1,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Matthew Kurata,kuratma42,Right,Cal state bakersfield,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,88.50076514882394,-1.7224984151299305,-2.093529286897414,1385.2436367346006,204.5512362500657,12:45,5.587189332246628,1.437453344699086,6.5926000662922295,-24.74547076323009,9.91771770563619,4.418199263832327,3.2840141745603755,0.9864904823100209,81.20600223235931,-5.173334936264191,0.5557986276745197,0.42374616101366963,,,,,,,,,,,,-3.040176637883266,5.978714054160918,-1.2964915517620008,50.0,5.459109295697191,4.585455913288592,-128.83071861304373,-4.57123229917161,-5.098664956580457,27.29384889679422,-22.147178300458656,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,6de3267e-e391-4c47-8640-b1378634457b,88.66297169345405,5.585140971109898,1.4378809158547554,-1.6978292542930866,-2.0987585686239436,81.3469714255407,3.285988121713949,0.9860897201303015,-5.142038475472046,0.5494609888122068,0.4236133286320315,4.4645760437240645,8.552021528691437,37.32973501313832,22.431659627738156,1101.4887760177062,840.0133388349958,79.51588780542733,-0.7232686205722554,0.6064011532405503,-0.330393922226238,,,,,,,,,,,,,,,,,0.957545089218808,1,,,high,high,110.18849366496434,18.071387711857064,53.90739993370777,Emiliano Gonzalez,gonzaem47,Uc san diego
3,03/26/2023,1:02:54 PM,1,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Matthew Kurata,kuratma42,Right,Cal state bakersfield,Windup,1,Top,0,2,0,Fastball,,Foul,,FlyBall,,0,0,,88.42688415348935,-1.7165802295707038,-1.7006235726257846,1784.8978635397395,205.86447899193405,12:45,6.2276847508931015,0.9280394182286744,5.999999999999997,-21.500683280309875,14.095484587260852,5.695512670166167,2.844408584898901,-0.1733892892488823,80.63512625586458,-5.761692836447891,-0.6246314114079919,0.42941098041199194,81.82869281735358,44.599969894578805,63.71089063942415,,98.35898723472917,49.24946324722015,79.63979104862962,292.80198466713955,,63.594978904709635,4.649584732888721,-3.58104877131635,8.138680011378463,-0.7975611785762329,49.99999999999998,6.080958087893785,3.6390096860498597,-128.61008898939764,-4.533433086904313,-5.971928186962861,27.75213820539938,-18.601597584248516,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,ed0cfb64-fa7c-4cad-b328-8fd0226e7150,88.61311756470253,6.226916341306414,0.9303666978957151,-1.708088652844697,-1.728747934737777,80.78919006934863,2.8454911352557257,-0.1752181093639866,-5.74454957856534,-0.652706387103227,0.42927322223614817,5.958599226589824,12.749634755201997,-17.429225845520815,91.03790930857653,1702.9490378793644,-534.6259979223547,95.40876666758638,-0.8585151833988969,-0.29952750173732934,-0.4162150352600834,52.23796235861489,25.805255597677345,57.456235870054094,0.30374180934699035,0.9818755468009642,2.888490666436849,262.25477092080195,130.21304602186967,,,,,,,,,0.9668378286360574,0,,36.97410099230892,medium,high,8.065881622281085,-73.39343732776078,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
4,03/26/2023,1:03:15 PM,1,4,Anthony Eyanson,eyansan42,Right,Uc san diego,Matthew Kurata,kuratma42,Right,Cal state bakersfield,Windup,1,Top,0,2,1,Fastball,,InPlay,,GroundBall,Single,0,0,,90.09360228771807,-1.3600686281195655,-1.6488337408628084,1806.7321219860316,212.94245108041355,1:00,6.283297188555886,0.9443909263684631,5.999999999999997,-21.11276506985294,13.176681965285816,7.202252210127833,3.2630662936484875,0.016547063166669117,82.07908846472591,-5.336435946875608,-0.28779223783375985,0.4214555363550261,96.27298155689891,-0.34883368721290986,16.279160242439364,2329.390326147515,,,,57.45502760168979,,17.57670831181388,0.4233407534694766,-4.384773252799102,7.539120438033876,-0.8188099273026951,50.00000000000002,6.16482293432488,3.541354128255876,-131.05631167361156,-3.7905014281012015,-7.590233822934883,28.914035203495533,-19.123503150693548,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,eb76a5ee-3ee8-43d2-9ce6-1dc4897a988f,90.28123019647457,6.282460926714314,0.9472014366816637,-1.3507755719487378,-1.6825777537492919,82.23375686842022,3.2641788894964097,0.014349406077062,-5.318883742395214,-0.32151840032121076,0.4213215522253366,7.517628860803481,11.859729337649632,-16.305468525524745,77.15597190584676,1734.0626441306033,-507.25507079469315,95.9778498997656,-0.8054626150707266,-0.28075831752916325,-0.5219240776795222,26.986509783128895,92.41142631486511,-0.5861348243710917,-0.02017002524580511,0.9184038261906077,3.217622751539393,17.350405857613275,54.77265388208823,1.2228042975144207,-1.4729255551682652,-0.016276836328659616,-0.02721474561743434,0.10447808861859718,-0.994154759893842,,,0.9694977850744356,0,0.9670323354731266,54.62084401639709,medium,high,20.559625284737955,-77.85358346285746,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
5,03/26/2023,1:03:49 PM,2,1,Anthony Eyanson,eyansan42,Right,Uc san diego,Kyler Stancato,stancky42,Left,Cal state bakersfield,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,89.59365726018567,-3.156007406594675,-0.9799036616344288,1862.5580770478791,210.3050750229641,1:00,5.442812034370107,1.8046674405408474,6.52213440778748,-20.833820555525826,13.789535878217414,6.788311439998459,1.8322647214763876,1.3853939597551825,81.1234037835823,-6.642415849767916,0.5267367479128664,0.4197889139324042,,,,,,,,,,,,-4.008909878161962,8.485250207976833,-1.739580660112855,50.000000000000036,5.214554500034443,2.034977965129907,-130.31924923579163,-7.771213413578322,-6.8648291401541695,28.475872550703063,-17.643966680787514,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,35dc3cdd-bf37-4533-a59b-67f81da32d62,89.76582390070688,5.442168403461925,1.8070667969562055,-3.1486496338747276,-1.0097469609242005,81.27182357595832,1.833286238763577,1.3833670814920165,-6.626123624848546,0.4951590415445815,0.4196518203374221,7.082549526287269,12.491077632490411,-13.85153996119921,85.24826508335161,1808.3936135126876,-445.90932820789715,97.091931564301,-0.8382440244533735,-0.23940693914610994,-0.48992986534493166,,,,,,,,,,,,,,,,,0.9940470344534896,1,,,high,high,13.276561424983564,-42.187396510825074,53.97786559221252,Emiliano Gonzalez,gonzaem47,Uc san diego
6,03/26/2023,1:04:07 PM,2,2,Anthony Eyanson,eyansan42,Right,Uc san diego,Kyler Stancato,stancky42,Left,Cal state bakersfield,Stretch,1,Top,0,1,0,Fastball,,StrikeCalled,,,,0,0,,88.4423106033751,-1.9943687886553523,-3.233119029334668,2016.4445955139179,209.96489855053903,1:00,5.976457982730899,1.6375197849025969,5.999999999999997,-20.78199229694986,14.899781423049134,7.158650773111269,2.393191030421022,-0.7645260294138562,80.59139893378872,-5.902325446437918,-1.8827746867854862,0.42992701936376515,,,,,,,,,,,,-4.821553384106186,8.657222224394785,-1.3872520030426634,49.99999999999996,5.808096591675009,7.031419358314602,-128.46293480572706,-5.134471193942814,-8.021075985260227,27.725301886946458,-17.77200282819419,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,030ae032-1997-4a6d-bc5d-4a2a32581a81,88.63089005963435,5.975989206638099,1.640433901504886,-1.9895073370012195,-3.2679390164543856,80.7458887332325,2.394023069757993,-0.7667443732447192,-5.888762586530704,-1.9172232289069207,0.42978941125145265,7.485429712118845,13.583408507723203,-18.520506960694668,79.53774732545291,1912.0129818846226,-640.5116422688674,94.82100257742616,-0.8214642700576472,-0.31764405711609667,-0.4736018433214578,,,,,,,,,,,,,,,,,0.9710020839963878,0,,,medium,high,18.41602740709242,-65.2301468407876,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
7,03/26/2023,1:04:47 PM,2,3,Anthony Eyanson,eyansan42,Right,Uc san diego,Kyler Stancato,stancky42,Left,Cal state bakersfield,Stretch,1,Top,0,1,1,Curveball,,BallCalled,,,,0,0,,74.78149252406112,2.202674566669779,-0.7106238545356947,2271.386242376388,31.29620530469203,7:00,6.7222830994082985,1.8106098660070935,5.999999999999997,-60.88088775412023,-10.71430479592047,-9.032272539475656,3.6907701328607896,0.3995086506308266,68.22623219516433,-9.264079848319376,-2.4239495858069082,0.5097752927377306,,,,,,,,,,,,4.681139679058863,-6.517541877954742,-1.749871539107289,50.0,6.862195154469872,1.5871593902972112,-108.7070386709304,2.5717260727244944,5.527138918971463,21.41815662632892,-39.86947459773826,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,7237189a-1928-47b9-a848-3a0a60c19ca0,74.86164404666279,6.709095953947921,1.811368388150831,2.36007003222412,-0.7200930705567786,68.25398413270945,3.700872672360982,0.39908733092340276,-9.111596620416764,-2.430173086457951,0.5097023544100789,-8.941137882409103,-14.266887455657066,-38.96250271025927,38.1541622672291,1766.1337503049265,-1428.2741466856367,77.75576506341554,0.6644177530449773,-0.6288116569691539,0.4039120566390298,,,,,,,,,,,,,,,,,0.9921135768269329,0,,,medium,high,55.661253959493806,-7.149464815358785,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
8,03/26/2023,1:05:10 PM,2,4,Anthony Eyanson,eyansan42,Right,Uc san diego,Kyler Stancato,stancky42,Left,Cal state bakersfield,Stretch,1,Top,0,2,1,Fastball,,Foul,,FlyBall,,0,0,,88.9414759220286,-1.774685049719018,-1.1109228033798626,2023.1548095696155,210.0143478930736,1:00,6.121138335078093,1.2870375778347745,5.999999999999997,-20.3872756193117,14.821274842726908,7.2900231068931935,2.7771550554411406,0.8651639503626039,81.0038208587732,-5.613082626252606,0.2676045509363645,0.427066587918258,74.34355695852261,46.61432151126151,-73.18497176927474,,-105.03318994629036,32.680713114737415,78.84340271108199,257.70885772461344,,-72.98507641874141,4.469923222734886,-4.2790188673771725,8.55753609566063,-1.2037741747699353,50.000000000000014,5.970499916652898,2.2779996220585503,-129.37660586995125,-4.654902541301584,-7.212313058714497,28.39315854343833,-17.750268984400332,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,c9ca6499-a298-45d9-9c4b-d57c6af9e03b,89.1301270273996,6.12073189304149,1.2899122358135258,-1.7705738958436772,-1.1456800079087763,81.15971650343698,2.7779505534303057,0.8629127193000765,-5.600294798452635,0.23290097486504288,0.42692882680419497,7.6150841434211,13.491454838604291,-15.288649601458168,86.29148492728191,1951.5546985462386,-533.4694387373721,96.46096726336981,-0.8352556772449815,-0.26368196650796916,-0.48251401447887254,-48.88358670978576,14.772816621837539,54.02891171113401,-1.1288122497785393,1.6745491883377754,3.107769322536299,-246.42857269030839,75.41096678562369,,,,,,,,,0.9896154999036638,0,,29.009155673368326,medium,high,12.337663565446304,-84.90680086950495,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
9,03/26/2023,1:05:39 PM,2,5,Anthony Eyanson,eyansan42,Right,Uc san diego,Kyler Stancato,stancky42,Left,Cal state bakersfield,Stretch,1,Top,0,2,2,Splitter,,InPlay,,LineDrive,Triple,0,1,,78.96169914279523,-1.0912718582186804,-2.3074304023033827,303.96278974940685,209.77387116468987,1:00,5.5434080332066955,1.407259613942977,6.861926586252436,-41.17891698835146,2.822898427658039,0.23382661515834427,2.498888337667111,0.09800363480224084,71.92563642751503,-7.906288328696996,-1.3842035533573032,0.4717570108982425,94.78489774740267,15.275607871796316,36.5733168807567,1994.7700503984283,,,,255.60093164501004,,42.87623024020649,2.460776639216213,-0.7415829642136504,1.8520292497615043,-1.2607366039877508,50.0,5.459086247293267,4.6304890819314215,-115.02712684018451,-3.1419711582414007,-0.9942619586746945,21.197612757569804,-29.690979830826674,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,d3630e00-f88d-496a-a5af-88ac948e95e6,79.08349678227034,5.538606962295937,1.4079346878093573,-1.0309707098746363,-2.3160099612779534,72.01972208939979,2.503494767297872,0.0974322566471602,-7.8351295812132955,-1.3931008085494896,0.4716337133649321,0.3230558254974664,0.902114682186737,-74.23670969838619,30.174145789029488,82.57565066968955,-292.53143330028576,27.1663682050578,-0.23580190277927318,-0.9623922505167644,-0.13490225643387785,54.48229479558742,73.43189246864617,24.972255870575058,-0.22257626784586132,2.736284139379678,2.66192153752403,173.91519539329497,187.31081407411887,33.28006062485331,-5.4390514759248205,0.2600456895656911,0.5067635156166784,0.08618923208764989,-0.857765792924832,,,0.9968614547552093,1,0.9892343431313534,54.505954295690515,high,high,62.843268789873434,45.92647845339647,53.63807341374756,Emiliano Gonzalez,gonzaem47,Uc san diego
10,03/26/2023,1:07:10 PM,3,1,Anthony Eyanson,eyansan42,Right,Uc san diego,James Bell,bell-ja58,Right,Cal state bakersfield,Stretch,1,Top,0,0,0,Curveball,,BallCalled,,,,0,0,,75.11712730531343,-0.2656606619773808,-1.5020514093229314,2142.528744394418,25.91074217865573,6:45,6.725510652668751,1.5868298495445468,5.999999999999997,-60.48875233187813,-10.729749523020729,-7.925589450257447,1.4385656596123366,-0.46557386550515684,68.98444638325279,-11.583643556996051,-3.005713699126173,0.5077002258492449,,,,,,,,,,,,3.822902997796325,-5.745245699459564,-1.464518881299891,50.00000000000006,6.671720508229355,3.074494411427393,-109.23151179059427,-2.1113147297392563,4.548654727949187,21.966956338735663,-39.00999050031058,UC San Diego,Cal State Bakersfield,tri01,NCAA D1,BWC,cda74a1a-15aa-4d0d-a6f9-68b3bb13edd3,a2466735-e2ea-4e6d-956f-79eced1876d0,75.19034857991011,6.712961632516012,1.58790220758083,-0.11444130413735497,-1.5153491645247452,69.00842134407989,1.4483964487017005,-0.46624798743616236,-11.437381877664581,-3.0158538202296166,0.5076262571763913,-7.79860357844902,-14.285976066743526,-38.959590569302684,46.3146671108511,1666.0080905383093,-1347.1623743325147,77.75896098930535,0.6994230898946224,-0.6287721356631263,0.339783670496229,,,,,,,,,,,,,,,,,0.9875882807506889,0,,,medium,high,48.316799600234006,-1.3530765305360293,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
