PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/5/2022,6:03:16 PM,1,1,Cole Dale,dale-co42,Right,Uc san diego,Rj Teijeiro,teijerj43,Left,San diego,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.55667405,-3.722280109,-3.156430976,2118.292612,222.7085287,1:30,5.234501567,1.379415654,6.056555357,-23.92830939,12.86358681,9.015521451,0.905990119,-0.762300368,79.65113169,-7.917341638,-1.381436993,0.434178966,,,,,,,,,,,,-5.777455134,8.032742392,-1.139194282,50,4.93232305,6.72808317,-127.0167323,-9.002367413,-9.407584489,26.80928999,-19.09412062,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,5857d6ca-b545-11ec-b329-b3ce93e12968,87.7290805,5.233297339,1.383264205,-3.708674169,-3.202186812,79.79527987,0.907461265,-0.765355198,-7.894278648,-1.428447339,0.434036078,9.462619728,11.46712261,-31.63522565,69.7844882,1803.524121,-1111.064505,85.14046222,-0.62562373,-0.524509456,-0.577481411,,,,,,,,,,,,,,,,,0.996142574,1,,,high,high,27.19396062,-26.24164384,54.44344464,,,
2,4/5/2022,6:03:39 PM,1,2,Cole Dale,dale-co42,Right,Uc san diego,Rj Teijeiro,teijerj43,Left,San diego,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,85.84079378,-0.211022277,-2.113610503,1880.562054,227.9841522,1:30,5.239353111,1.500836579,5.836433178,-28.23792214,10.2160764,8.347365356,3.58759655,-0.055469174,77.83305073,-5.653032871,-1.133339927,0.443624955,,,,,,,,,,,,-5.115285093,5.46581378,-1.333621892,50,5.205771656,4.344110448,-124.8426085,-1.341233379,-8.040186843,26.08738142,-23.58290301,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,65b2c69c-b545-11ec-997f-e1f064610b66,86.01372808,5.237224499,1.504799958,-0.186104011,-2.16150354,77.97751807,3.589920965,-0.058709475,-5.617104435,-1.182751422,0.44347594,8.812504865,8.630436055,-42.90272436,48.21064069,1377.531499,-1280.203346,73.25105258,-0.490295762,-0.680755705,-0.544225814,,,,,,,,,,,,,,,,,0.921230791,1,,,high,high,46.61042338,-72.41248903,54.66356682,,,
3,4/5/2022,6:03:58 PM,1,3,Cole Dale,dale-co42,Right,Uc san diego,Rj Teijeiro,teijerj43,Left,San diego,Windup,1,Top,0,2,0,Slider,,StrikeCalled,,,,0,0,,77.26337395,1.125231349,-2.101168725,2027.189276,57.63783508,8:00,5.185191084,1.874468656,5.604212412,-50.12568686,-2.589939708,-10.04000417,2.535733412,0.02595858,70.8534221,-9.150549989,-2.326256504,0.496228478,,,,,,,,,,,,4.733873511,-1.726730927,-1.688441455,50,5.24942981,4.414046862,-112.2676968,0.733355374,5.989507771,21.96746417,-34.35878652,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,70ea39b3-b545-11ec-b27a-d1a8224f620d,77.36975396,5.176422501,1.875057635,1.231697746,-2.108779364,70.91766821,2.543388834,0.0257701,-9.035039569,-2.328814238,0.496116968,-9.965678729,-5.386230076,-57.77215666,77.34588618,1081.074538,-1714.868568,53.32874197,0.285452293,-0.845934116,0.450458057,,,,,,,,,,,,,,,,,0.9915183,1,,,high,high,20.38870244,-23.31916709,54.89578759,,,
4,4/5/2022,6:04:16 PM,1,4,Cole Dale,dale-co42,Right,Uc san diego,Rj Teijeiro,teijerj43,Left,San diego,Windup,1,Top,0,2,1,Slider,,Foul,,,,0,0,,78.50175061,1.742378951,-1.98209426,2070.348377,75.21678595,8:30,5.048068711,1.893638047,5.412581953,-45.68836251,0.619862187,-8.410773183,3.605781016,0.205164116,71.65723541,-7.072038095,-1.964221674,0.489580506,,,,,,,,,,,,3.833027834,0.08208653,-1.711868169,50,5.171941172,4.203408887,-114.036104,2.076315795,5.02059256,22.00999681,-32.06653066,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,7c1369f0-b545-11ec-89da-b1bcba6b8051,78.62530236,5.040766211,1.89507041,1.828777324,-1.999658472,71.74220957,3.612240444,0.204265708,-6.97427081,-1.977518495,0.489455557,-8.233544671,-1.882867752,-68.70935556,46.30517347,751.7415997,-1929.048203,36.30990842,0.092649269,-0.931750533,0.351079845,,,,,,,,,,,,,,,,,0.982871511,1,,,high,high,48.32534388,-47.84424897,55.08741805,,,
5,4/5/2022,6:04:36 PM,1,5,Cole Dale,dale-co42,Right,Uc san diego,Rj Teijeiro,teijerj43,Left,San diego,Windup,1,Top,0,2,2,Changeup,,InPlay,,,Out,1,0,,82.06873204,-0.728431299,-3.349242247,1436.606583,241.1131198,2:00,4.925233972,2.028914157,5.992053267,-33.57985636,7.791604146,9.787081514,1.976788182,0.47309688,75.17794503,-7.778529125,0.267638288,0.46293706,,,,,,,,,,,,-6.26470343,4.430281659,-1.770497099,50,4.84930397,6.69285052,-119.2624928,-2.502348706,-8.993910363,23.62571748,-25.81372358,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,885a2c30-b545-11ec-b348-05ec81af20e8,82.22461242,4.921803977,2.032782748,-0.687742499,-3.396015091,75.30182009,1.980197787,0.469947654,-7.726749066,0.219585175,0.462791384,10.21726619,6.00785984,-27.38261931,28.42437655,1275.641918,-660.7391098,88.79549441,-0.428954965,-0.459930448,-0.777471299,,,,,,,,,,,,,,,,,0.987064547,1,,,high,high,64.41806111,-12.06805527,54.50794673,,,
6,4/5/2022,6:05:12 PM,2,1,Cole Dale,dale-co42,Right,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,86.51390383,-1.985086433,-1.496271166,1989.322103,209.0879395,1:00,5.335210282,1.142222875,6.103033632,-24.00051346,13.02030588,5.398698279,2.200703782,0.422647396,79.2489053,-6.835243142,0.238228039,0.4371932,,,,,,,,,,,,-3.106821509,7.689690807,-0.632880563,50,6.160646788,1.524645032,-126.0422203,-5.846623254,-4.980889966,26.43306193,-19.84585382,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,9d61aeb3-b545-11ec-82a9-4537bb3f836a,86.6861559,5.334020906,1.145018727,-1.97104235,-1.531090296,79.39604784,2.202236728,0.420340657,-6.811184904,0.202537274,0.437054893,5.717573346,11.60619157,-40.42431719,87.43897976,1514.397637,-1289.962104,76.12631631,-0.665248523,-0.648443056,-0.370089186,,,,,,,,,,,,,,,,,0.992035023,1,,,high,high,11.30491822,-42.91914789,54.39696637,,,
7,4/5/2022,6:05:27 PM,2,2,Cole Dale,dale-co42,Right,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Windup,1,Top,1,0,1,Slider,,BallCalled,,,,0,0,,79.01902241,-1.684010889,-5.202577539,2227.549518,79.65268397,8:45,5.060393765,1.848787745,5.780881769,-42.47481559,2.980471579,-9.335412841,0.429967559,-3.437499069,73.11222943,-10.41395812,-6.638169401,0.485247968,,,,,,,,,,,,3.449290666,2.11525929,-1.413527057,50,4.895720338,10.69076491,-114.4326069,-4.613028132,4.535652475,22.75738443,-29.39258465,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,a600bc68-b545-11ec-a67f-f77b182ebe02,79.1367964,5.053897032,1.849773183,-1.60576262,-5.21497737,73.19636909,0.435715299,-3.437942458,-10.32778721,-6.644554525,0.485124018,-9.215995995,0.541265602,-70.6805633,67.90974499,736.9503043,-2102.113485,33.08345329,0.059422734,-0.943688779,0.325454185,,,,,,,,,,,,,,,,,0.83183345,1,,,high,high,28.88122951,15.67981815,54.71911823,,,
8,4/5/2022,6:05:49 PM,2,3,Cole Dale,dale-co42,Right,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Windup,1,Top,1,1,1,Slider,,BallCalled,,,,0,0,,78.81994822,1.956273928,0.398447473,1972.252849,67.19286441,8:15,5.231723989,1.579969582,5.528426454,-47.6817579,-1.542367156,-9.595401665,3.739400423,1.142068751,71.6245345,-7.4004874,-0.727032969,0.486336575,,,,,,,,,,,,5.145441053,-1.318895429,-1.608338158,50,5.370584353,-0.509552114,-114.5704581,2.480671915,6.801365897,22.2620297,-33.91739681,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,b34ccab0-b545-11ec-8edc-2505c88e9e64,78.94050935,5.222949664,1.580583601,2.055968525,0.390969984,71.70189596,3.746528911,1.141833407,-7.29317074,-0.730273059,0.486216982,-9.5230213,-4.159208989,-60.85228379,61.71804687,960.6111631,-1722.500361,48.70628852,0.188800377,-0.873366902,0.448981817,,,,,,,,,,,,,,,,,0.945260621,1,,,high,high,34.45375781,37.74764457,54.97157355,,,
9,4/5/2022,6:06:08 PM,2,4,Cole Dale,dale-co42,Right,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Windup,1,Top,1,2,1,Slider,,Foul,,,,0,0,,78.68556646,-0.552007781,-2.523515512,2182.692893,60.39248505,8:00,5.206622035,1.57092346,5.664968004,-46.32311042,-0.972313634,-8.915373365,1.577632902,-1.087514041,72.55022476,-9.599805249,-3.428885586,0.486459504,,,,,,,,,,,,3.974270857,-0.244769125,-1.352321966,50,5.130986305,5.300945435,-114.3398545,-2.480295017,5.22284723,22.5208519,-32.49571658,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,bece6d91-b545-11ec-aa62-730bccee05e4,78.79420309,5.198857145,1.572389515,-0.457575279,-2.541927133,72.62331403,1.584475764,-1.088411883,-9.497100568,-3.442186284,0.486346752,-8.738651818,-3.579401214,-68.03537494,57.0017363,816.4014852,-2024.262058,37.40340603,0.184793737,-0.927414967,0.325196484,,,,,,,,,,,,,,,,,0.907963608,1,,,high,high,38.69843733,0.771251086,54.835032,,,
10,4/5/2022,6:06:31 PM,2,5,Cole Dale,dale-co42,Right,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Windup,1,Top,1,2,2,Fastball,,BallCalled,,,,0,0,,88.8261684,-3.638495862,-2.181791451,2082.261642,219.4898029,1:15,5.352434034,0.963505562,6.027480783,-22.27649063,13.07478185,8.411439711,1.206680653,-0.269368974,80.67706116,-7.350403247,-0.814308922,0.427931295,,,,,,,,,,,,-5.193175169,8.145355945,-0.797681925,50,5.055721234,4.648678947,-128.9624268,-8.907097654,-8.712996056,27.75853972,-18.507949,UC San Diego,San Diego,tri01,NCAA D1,BWC,84630e5f-2b7c-4834-86a9-dbbf1c0a6a79,cc20bf7d-b545-11ec-831a-bb82b4ca7e17,88.99859009,5.351493325,0.966898224,-3.627641266,-2.223407075,80.82442918,1.20794799,-0.272188428,-7.330432197,-0.857806793,0.427791259,8.79298331,11.75479692,-29.16805503,81.67099323,1818.218254,-1014.837883,87.3193943,-0.673876752,-0.487372894,-0.555299726,,,,,,,,,,,,,,,,,0.916680518,1,,,high,high,16.4961061,-55.50637831,54.47251922,,,
