PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/19/2022,6:04:11 PM,1,1,Joey Soberon,soberjo44,Right,Uc san diego,Irvin Weems,weemsir42,Right,San diego state,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,85.86166695,-2.323023158,-5.009430559,1880.680593,228.1727406,1:30,5.214031306,2.612585912,7.075090967,-25.33005385,11.07062144,9.389121547,1.863425907,-0.680777864,78.85203706,-7.166818159,-2.157672668,0.434236417,98.32169538,5.631863693,5.763198251,911.9688228,,,,117.8927082,,7.611628366,0.920008443,-6.724737786,6.903679282,-2.315492512,50,5.066156911,10.69808804,-124.6425435,-5.689182203,-10.55042508,25.68619842,-21.34288362,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,cacd3dc2-c045-11ec-8dac-61915cddf157,86.02428716,5.212334583,2.616270907,-2.302815667,-5.054504053,78.98792139,1.865250215,-0.683711654,-7.137675119,-2.203828196,0.434101079,9.796986836,9.687476975,-27.99978956,12.11973348,1660.545641,-882.9199652,88.29493151,-0.588827479,-0.469468324,-0.657937454,9.825536416,97.35251773,9.648932981,0.649792081,-0.654650028,1.641630398,15.61578023,116.8539176,2.633938559,-5.795292026,-0.088133695,-0.171836643,0.241436492,-0.955081456,,,0.997108485,1,0.996943395,57.37213635,high,high,79.09223986,-12.63611124,53.42490903,Marc Filia,filiama42,Uc san diego
2,4/19/2022,6:04:47 PM,2,1,Joey Soberon,soberjo44,Right,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,87.4371063,-1.630810574,-4.220534819,1900.267266,231.1220554,1:45,5.21417641,2.681308363,6.802177574,-25.50780834,9.717326823,8.713384365,2.366116441,-0.221631906,80.15373931,-6.807993565,-1.928323424,0.428105287,,,,,,,,,,,,-6.120988278,5.941308344,-2.411794969,50,5.098824935,9.144632519,-127.06633,-4.302070825,-9.979315232,26.71935051,-22.48767442,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,e012ac3a-c045-11ec-b96b-094e471e1c51,87.60201577,5.212353921,2.685032778,-1.609014852,-4.266408009,80.29204434,2.368099229,-0.224674324,-6.776895564,-1.975383813,0.427970928,9.151792716,8.329763189,-38.49098968,29.1642433,1487.350666,-1182.71031,78.27060399,-0.491275962,-0.622391561,-0.609324769,,,,,,,,,,,,,,,,,0.996962585,1,,,high,high,63.75218103,-24.62045961,53.69782243,Marc Filia,filiama42,Uc san diego
3,4/19/2022,6:05:01 PM,2,2,Joey Soberon,soberjo44,Right,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,82.17552619,-2.090799569,-5.052850242,1458.10878,244.6754961,2:15,5.03399992,2.712432699,7.14494022,-32.91573836,6.65461924,8.093641346,1.370980058,-1.255796383,75.0373341,-8.189544424,-3.322506987,0.452747968,,,,,,,,,,,,-5.996128654,4.348620006,-2.41837148,50,4.900515453,10.36593452,-119.3245639,-5.123699211,-8.634398001,23.22578823,-25.91205655,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,e884cc7a-c045-11ec-a626-efd5dfb6725f,82.32083281,5.030590647,2.716092856,-2.049519145,-5.097798768,75.15402558,1.374250607,-1.258734622,-8.138022028,-3.368705386,0.452615399,8.499927755,5.036210439,-42.06338603,1.598188069,1082.505952,-976.8633876,74.24041107,-0.317559258,-0.669952339,-0.671058851,,,,,,,,,,,,,,,,,0.997382537,1,,,high,high,91.43836926,-8.062389187,53.35505978,,,
4,4/19/2022,6:05:16 PM,2,3,Joey Soberon,soberjo44,Right,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,1,1,1,Fastball,,InPlay,,Bunt,Single,0,0,,86.24539433,-1.980115784,-3.422765431,1969.058851,223.3303908,1:30,5.229241597,2.728451475,7.004540069,-24.72257344,11.35023704,8.210492797,2.202103052,0.762346796,78.84070667,-6.839316847,-0.490015265,0.432069797,31.95430956,-52.38365162,-48.83988829,2218.386212,,,,3.019388385,,-41.37551507,0.054702596,-5.631569432,7.047092372,-2.522236386,50,5.099730957,7.299004706,-125.4645538,-4.953482041,-8.945902038,26.19456502,-20.97955065,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,f167b03d-c045-11ec-b68f-cd3b728a6b8c,86.40981517,5.227813261,2.731896697,-1.962964671,-3.465832289,78.97933494,2.20382344,0.759477901,-6.812166576,-0.534716915,0.431932073,8.627750324,9.939833285,-34.79913454,11.81579452,1616.908087,-1123.744187,82.11578266,-0.597317498,-0.570701169,-0.563482016,-14.68403354,12.83685329,-25.31150442,-0.782534443,1.244364059,2.14229648,-1.995789304,2.265729744,0.001589351,-0.006924099,-0.009196035,-0.933233202,-0.165051385,0.319114135,,,0.996391419,1,0.994790809,-2.488482362,high,high,79.36578493,-16.11554813,53.49545993,,,
5,4/19/2022,6:06:01 PM,3,1,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Stretch,1,Top,1,0,0,Curveball,,StrikeSwinging,,,,0,0,,76.66955273,-0.732278302,-2.834985727,1648.203722,16.91387225,6:30,5.432400668,2.595012877,6.459599254,-52.61075705,-5.908798192,-4.046229811,1.415200648,-0.015131342,70.83332002,-10.38825742,-2.707877146,0.491857243,,,,,,,,,,,,1.375413344,-3.037838632,-2.393114489,50,5.357073872,5.623240832,-111.5220683,-2.73570889,1.717905241,21.59995343,-35.9683409,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,0c4b3433-c046-11ec-b08d-a519dd5fae5a,76.76063635,5.423458571,2.597478471,-0.623743293,-2.865370559,70.88643835,1.422514253,-0.016861969,-10.27476356,-2.735169674,0.491760314,-3.766284675,-8.626956342,-56.07604458,70.85669539,919.8494466,-1367.644875,55.80920819,0.533950789,-0.829779024,0.162367875,,,,,,,,,,,,,,,,,0.996376585,1,,,high,high,26.22897415,-59.94280745,54.04040075,Marc Filia,filiama42,Uc san diego
6,4/19/2022,6:07:06 PM,3,2,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Stretch,1,Top,1,0,1,Fastball,,BallCalled,,,,0,0,,83.92229462,0.151201529,-7.171602269,1872.363669,215.0195159,1:15,5.62581473,2.637479537,6.251458444,-25.30788998,13.60173576,7.522137505,4.271990907,-2.50295433,76.91022577,-5.041287208,-4.25905623,0.453326727,,,,,,,,,,,,-6.290255111,7.548997504,-2.106700016,50,5.624369433,15.04053576,-121.2632106,-0.40761595,-9.327949937,24.61839848,-20.97948441,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,32cbd1b8-c046-11ec-97aa-bf58dfeb8755,84.09912595,5.624596113,2.640614302,0.165411489,-7.21012823,77.06029227,4.273553197,-2.505538251,-5.016306311,-4.298901464,0.453170792,7.898884999,12.10442395,-29.22653741,86.68852028,1634.004325,-914.2076207,87.26960218,-0.71470019,-0.488263918,-0.500801343,,,,,,,,,,,,,,,,,0.985888132,1,,,high,high,11.98033175,55.83049271,54.24854156,Marc Filia,filiama42,Uc san diego
7,4/19/2022,6:07:46 PM,3,3,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Stretch,1,Top,1,1,1,Curveball,,BallCalled,,,,0,0,,76.85122886,2.201238604,-3.62701048,1734.939753,29.16246365,7:00,5.40557343,2.856341711,6.403000412,-51.08602596,-4.452157491,-4.973652184,3.990219301,0.096442138,70.57179042,-7.710544148,-2.881382266,0.491498554,,,,,,,,,,,,1.662015655,-3.102281396,-2.594346092,50,5.539794945,7.201440247,-111.6290036,3.010284756,2.08418283,21.25455576,-36.06433883,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,4af043c7-c046-11ec-9ba6-e7d9be1a36b7,76.95501135,5.397078802,2.85873095,2.30521961,-3.656822364,70.6356273,3.997566434,0.094760884,-7.597927398,-2.90711193,0.491396112,-4.697956785,-7.053518791,-60.05207614,77.2819007,866.10388,-1503.289731,49.92126549,0.435933209,-0.866479501,0.243260174,,,,,,,,,,,,,,,,,0.995573826,1,,,high,high,20.44628937,-42.91537142,54.09699959,Marc Filia,filiama42,Uc san diego
8,4/19/2022,6:08:07 PM,3,4,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Stretch,1,Top,1,2,1,Fastball,,BallCalled,,,,0,0,,85.95718186,-1.882971357,-7.093729944,1831.135176,227.9851822,1:30,5.331382792,2.657526369,6.900137562,-25.84589506,10.43097056,8.216912047,1.784794381,-1.761178005,79.10960151,-7.754947217,-3.054861025,0.433497304,,,,,,,,,,,,-5.911415946,6.646367818,-1.486786978,50,6.349573994,9.91918904,-125.2143061,-6.895137564,-9.367814511,25.71782543,-21.64155763,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,57ee0a73-c046-11ec-a72f-a7adb213a418,86.12043492,5.329652648,2.6609651,-1.861728179,-7.13675335,79.24469897,1.786780103,-1.764018965,-7.723686329,-3.098927738,0.433371559,8.631347027,9.039246844,-36.66077284,0.744373119,1468.908462,-1093.327016,80.21846128,-0.536920431,-0.597076081,-0.596000506,,,,,,,,,,,,,,,,,0.996968747,1,,,high,high,90.66993581,-1.980736863,53.59986244,Marc Filia,filiama42,Uc san diego
9,4/19/2022,6:08:40 PM,3,5,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Windup,1,Top,1,3,1,Fastball,,Foul,,,,0,0,,88.7841976,-1.911500781,-3.867495056,1891.695769,222.6377611,1:30,5.399623861,2.640072554,6.955271799,-22.29285282,11.82145353,8.821710391,2.932378748,0.440670933,81.07978371,-5.665506222,-0.569847714,0.420377821,,,,,,,,,,,,-6.067668912,7.185662607,-2.403555927,50,5.273170341,8.498876679,-129.0866174,-4.893666179,-10.19994624,27.80890996,-20.09472005,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,6ae8603d-c046-11ec-beba-5b930c55742d,88.95166615,5.398517416,2.643236677,-1.898197836,-3.907289768,81.22482356,2.933781273,0.437948349,-5.643334529,-0.612027999,0.420245615,9.181036693,10.53940501,-21.97346506,88.43019262,1754.277772,-707.8293451,92.73572424,-0.682211123,-0.374177157,-0.628155585,,,,,,,,,,,,,,,,,0.997242752,1,,,high,high,10.41282664,40.10595589,53.5447282,Marc Filia,filiama42,Uc san diego
10,4/19/2022,6:09:02 PM,3,6,Joey Soberon,soberjo44,Right,Uc san diego,Poncho Ruiz,ruiz-po42,Right,San diego state,Windup,1,Top,1,3,2,Fastball,,InPlay,,Popup,Single,0,0,,90.93238582,-3.196122222,-5.211135134,2080.763413,217.7417035,1:15,5.314108265,2.640900386,6.895772754,-20.01169041,12.73747454,7.468000551,1.608743979,-1.294355387,83.14947729,-7.046413314,-3.530129444,0.411907881,69.68394496,18.92238354,18.3600857,3376.602586,41.66995305,101.8018419,21.98697019,200.1829174,,25.19360647,2.603706728,-5.574450772,8.036704013,-2.295967387,50,6.026597236,11.21592389,-131.8120995,-8.010743574,-9.784615281,28.62447464,-18.06753755,UC San Diego,San Diego State,tri01,NCAA D1,BWC,fea6639e-d16d-4b4e-976d-d6b81302e590,7862dc57-c046-11ec-82b0-ddb4c1accedc,91.10658173,5.3134397,2.64399657,-3.188469848,-5.248778041,83.29710005,1.60970984,-1.29684068,-7.030825897,-3.568518451,0.411785212,7.810257126,11.59353229,-32.86718627,72.06208891,1747.697287,-1129.216797,83.99308042,-0.664198982,-0.542693509,-0.514123981,20.76341813,62.56261863,22.59759727,1.255169347,2.311790259,1.742346344,85.21352815,181.140429,31.30450203,20.22346788,0.578366009,0.78005417,0.088289724,-0.619451707,,,0.997736605,1,0.986458361,33.26567235,high,high,25.14411998,26.30891301,53.60422725,Marc Filia,filiama42,Uc san diego
