PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/29/2022,6:34:18 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,0,0,Fastball,,InPlay,,Popup,Out,1,0,,93.44973298,-1.656561589,-1.742623175,2416.921507,217.9235585,1:15,5.141628621,0.852647827,6.713130778,-16.60978399,14.50681905,9.985923209,3.194692794,0.180499483,84.85616754,-4.644551367,0.785839592,0.401163323,59.28763172,34.77825829,17.51637938,,32.60411184,105.0569935,35.87857579,180.053332,,17.34848893,2.967424113,-6.088942474,8.580848667,-0.741423786,50,5.025467801,3.851874288,-136.0547244,-4.411803501,-11.33041955,31.87304371,-16.20664377,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,a78b689c-c825-11ec-94cc-59bff4665def,93.63454861,5.141848879,0.856266701,-1.659864819,-1.785924588,85.0128991,3.194926514,0.177643896,-4.640399513,0.741348504,0.401029063,10.40008202,13.35595361,-8.125734565,80.17502724,2392.656271,-341.6219238,98.99602715,-0.780911787,-0.141345891,-0.608439085,14.65669486,46.43880228,33.81777954,-0.129449592,1.527348262,3.321325692,53.68880189,171.8624884,,,,,,,,,0.993493082,1,,23.78259378,high,high,17.84247548,87.5605597,53.78686922,Emiliano Gonzalez,gonzaem47,Uc san diego
2,4/29/2022,6:34:50 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,92.75000793,-0.143097865,-2.691296122,2430.17898,224.6010711,1:30,5.16264684,0.995617051,6.746625099,-18.22190845,13.30454628,11.44808507,4.431936633,-0.039493136,84.31864344,-3.520459673,0.159967234,0.404118833,,,,,,,,,,,,-7.18989851,7.457746151,-0.823669696,50,5.146122156,6.022533934,-135.0086498,-0.852885699,-13.16623381,31.548579,-18.51732977,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,bafca3c0-c825-11ec-ac77-49f5919de958,92.93226179,5.162495314,0.999661016,-0.141895208,-2.741292048,84.47522878,4.432474084,-0.042833368,-3.511518664,0.107821409,0.403986351,11.90015703,12.09631972,-12.34781647,73.97299179,2373.962739,-519.6833544,97.68674482,-0.695542244,-0.213845712,-0.685923463,,,,,,,,,,,,,,,,,0.995971681,1,,,high,high,23.42430739,-63.9366883,53.7533749,,,
3,4/29/2022,6:35:05 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,0,0,Fastball,,StrikeSwinging,,,,0,0,,93.99420094,-2.240382178,-1.440876918,2431.555721,219.7542431,1:15,5.086012863,0.846770649,6.790994732,-16.44040805,14.18564546,10.61783188,2.680500587,-0.110216813,84.03138257,-4.93573113,0.016003466,0.398306176,,,,,,,,,,,,-6.357109403,8.587959541,-0.757548311,50,4.934558994,3.140547278,-136.8379153,-5.821721275,-11.96567802,32.24886938,-16.00935078,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,c37a0ad4-c825-11ec-8c37-ebd1ac5708fe,94.1741181,5.086072066,0.850267254,-2.241649804,-1.483848512,84.18438351,2.680917174,-0.113115667,-4.928719803,-0.029151282,0.398178316,11.00570416,13.05237375,2.361030865,64.18981497,2429.491525,100.1706159,99.91510803,-0.768141831,0.041196101,-0.638953057,,,,,,,,,,,,,,,,,0.934821151,1,,,high,high,32.22916653,69.98374002,53.70900527,Emiliano Gonzalez,gonzaem47,Uc san diego
4,4/29/2022,6:35:20 PM,2,2,Ryan Forcucci,forcury42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,0,1,Fastball,,StrikeCalled,,,,0,0,,93.32760594,-2.83512178,-2.439655044,2422.558675,220.2855856,1:15,5.055295153,0.872678335,6.956621119,-17.29256717,14.22663637,10.75443359,1.829987744,-0.790577715,84.20784298,-6.14043458,-0.584861922,0.400069907,,,,,,,,,,,,-6.729362843,8.757844287,-0.725481472,50,4.873738057,5.49469991,-135.7702156,-7.184869195,-12.48203914,31.46972667,-15.92945738,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,cce53397-c825-11ec-8f72-19fb31e9356a,93.50206171,5.055281508,0.876107556,-2.83541212,-2.482693163,84.35742269,1.830431866,-0.793458226,-6.132918625,-0.630292725,0.399944066,11.17279647,13.08275792,-0.137391757,55.5885868,2422.55171,-5.809141274,99.99971249,-0.762828831,-0.002397936,-0.646596029,,,,,,,,,,,,,,,,,0.691616245,1,,,high,high,39.97027188,44.35696842,53.54337888,Emiliano Gonzalez,gonzaem47,Uc san diego
5,4/29/2022,6:35:38 PM,2,3,Ryan Forcucci,forcury42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,0,2,Fastball,,InPlay,,FlyBall,Out,1,0,,94.1432667,-1.572339921,-1.626072802,2426.135133,219.7274991,1:15,5.111201609,1.003913073,6.700138745,-16.45398219,14.17345475,10.44354266,2.301569858,0.387157025,85.55609407,-4.716974691,0.375617134,0.398315172,,,,,,,,,,,,-6.297351552,8.356438421,-0.900230833,50,5.000257386,3.588092854,-137.0733559,-4.241696602,-11.89134376,32.42316486,-16.39451417,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,d71b615c-c825-11ec-be86-119157d4f2ec,94.32641966,5.11136056,1.007535855,-1.574897474,-1.670362327,85.7239323,2.301891573,0.383574329,-4.711949596,0.326485813,0.398184221,10.84338452,13.0423622,-6.441977579,67.67361119,2410.81648,-272.2050454,99.3685985,-0.764236826,-0.112196984,-0.635101496,,,,,,,,,,,,,,,,,0.970788263,1,,,high,medium,29.09374993,-83.18036568,53.79986125,Emiliano Gonzalez,gonzaem47,Uc san diego
6,4/29/2022,6:36:16 PM,3,1,Ryan Forcucci,forcury42,Right,Uc san diego,Joey Nicolai,nicoljo48,Right,Uc riverside,Windup,1,Top,2,0,0,Fastball,,InPlay,,Popup,Out,1,0,,93.02406818,-2.230203038,-2.694658712,2375.724242,219.0633327,1:15,5.14855071,0.938378745,6.898079522,-16.9526066,14.20456296,10.30750942,2.70296509,-0.303840106,84.89130916,-5.209813275,0.124866895,0.401745038,63.97464483,63.7023292,29.62555027,,53.98704518,95.84048702,85.52306985,162.0242185,,29.46740212,4.798165789,-6.573066319,8.619065803,-0.772598916,50,5.00196121,6.087966579,-135.3511656,-5.741395181,-12.11647061,31.2874151,-16.28608308,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,ee58e1a8-c825-11ec-8249-59a1c7a2310d,93.20139335,5.148546942,0.941758075,-2.230739103,-2.736497891,85.04521341,2.703335724,-0.30665668,-5.203541975,0.081035437,0.401616305,10.68419695,13.07506873,-1.174305686,70.38848264,2375.225279,-48.68824927,99.97899746,-0.776286785,-0.020494066,-0.630046682,14.01077795,24.63784109,57.35355323,0.41238398,1.975161569,3.01496915,79.70429834,141.0640712,,,,,,,,,0.997102479,1,,22.15080887,high,high,26.65036562,76.64818372,53.60192048,Emiliano Gonzalez,gonzaem47,Uc san diego
7,4/29/2022,6:38:56 PM,1,1,Tyler Frazier,frazity44,Right,Uc riverside,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,0,0,Fastball,,StrikeCalled,,,,0,0,,89.91699985,-2.820138376,-1.597287449,1863.211724,214.9269095,1:15,5.371496619,1.314057795,6.801088266,-21.16840838,12.20916544,6.790606631,1.346458939,0.467636376,82.19052495,-7.993427804,0.073350758,0.417439756,,,,,,,,,,,,-4.065513474,7.976582249,-0.936009545,50,6.469235782,2.560030257,-130.3193625,-9.565439818,-6.971363664,28.12479804,-18.49615723,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,4d04d054-c826-11ec-afd0-87f156127399,90.0884565,5.37052444,1.316852384,-2.808898672,-1.631387779,82.33329342,1.347714948,0.465434283,-7.973548812,0.038862399,0.417315937,7.098256913,10.96795072,-27.83701669,15.77657531,1647.599882,-870.0416984,88.42794734,-0.725005771,-0.466958042,-0.506277413,,,,,,,,,,,,,,,,,0.986243941,1,,,high,high,75.80108222,-30.50048994,53.69891173,Mason Grace,gracema45,Uc riverside
8,4/29/2022,6:39:09 PM,1,2,Tyler Frazier,frazity44,Right,Uc riverside,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,0,1,Fastball,,Foul,,,,0,0,,90.76396826,-1.56460263,-2.189308263,2105.140855,207.73475,1:00,6.214875573,1.193251141,6,-20.20684407,13.58722874,5.551984382,3.079980869,-0.373419218,82.72270964,-5.368016826,-1.141003476,0.41840011,76.54406847,13.27366492,-60.5452333,2717.613267,,,,155.2413957,,-65.90791758,1.649362836,-3.64372147,7.817677491,-1.024268967,50,6.08077302,4.866063563,-131.9830332,-4.261130145,-6.400833859,29.16617877,-18.44093217,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,55188fd9-c826-11ec-9b03-0bd37e67fa62,90.95418445,6.214326222,1.196038657,-1.558616214,-2.223237499,82.88054677,3.08087004,-0.375582762,-5.353686249,-1.174544336,0.418268251,5.870348209,12.33710721,-37.4516483,76.98109504,1671.201404,-1280.1187,79.38667857,-0.702660649,-0.608091709,-0.369448894,-64.86970644,36.63393839,17.57470236,-0.152674363,1.772773867,3.225801516,-141.7184101,63.37020742,-2.978167172,-16.0744956,-0.080181365,0.427425628,-0.211637009,0.878929525,,,0.91249784,0,0.997103654,33.69825619,medium,high,20.71701446,-80.98655089,54.5,Mason Grace,gracema45,Uc riverside
9,4/29/2022,6:39:25 PM,1,3,Tyler Frazier,frazity44,Right,Uc riverside,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,0,2,Fastball,,BallCalled,,,,0,0,,91.27238747,-0.501497239,-1.123500711,2150.662771,212.8174439,1:00,5.2606927,1.408877325,6.647584519,-20.02039418,12.53229068,6.640755575,4.057386677,0.533909225,83.35739069,-4.232435316,-0.214095363,0.410643478,,,,,,,,,,,,-4.014907874,7.102121749,-1.336063227,50,5.218715242,2.418197923,-132.9712376,-1.735544801,-7.15032584,29.92213405,-19.52556891,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,5efc6f38-c826-11ec-81c9-b36f7178b08f,91.45354368,5.260111342,1.411875282,-0.495026509,-1.160578573,83.5142445,4.058286242,0.531451266,-4.217969258,-0.252103905,0.410506338,6.976751737,11.30303517,-37.85818081,83.24299429,1698.017567,-1319.881319,78.9532227,-0.663524178,-0.613709102,-0.427898122,,,,,,,,,,,,,,,,,0.991459791,1,,,high,high,15.08130514,43.61191755,53.85241548,Mason Grace,gracema45,Uc riverside
10,4/29/2022,6:39:39 PM,1,4,Tyler Frazier,frazity44,Right,Uc riverside,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,1,2,Slider,,Foul,,,,0,0,,77.16693401,0.948265095,-0.24766693,2448.584016,39.50095422,7:15,5.495433114,1.328050975,6.507633665,-54.3075694,-8.24569299,-10.03800597,2.589672406,0.439333071,71.51649727,-9.590149414,-1.932158412,0.488474993,,,,,,,,,,,,5.473776156,-4.856744205,-1.306398788,50,5.537738833,0.733937842,-112.3600816,0.516722331,6.913649642,22.63905065,-38.3083574,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,672b7491-c826-11ec-915a-2d4f12c6c3cc,77.25068325,5.484505202,1.328922472,1.08167914,-0.258817702,71.55929041,2.598615556,0.438931601,-9.455300876,-1.937994051,0.488389467,-9.933022318,-11.30629646,-49.69063065,68.11152854,1584.024458,-1867.198489,64.69144811,0.499168264,-0.762562558,0.411496525,,,,,,,,,,,,,,,,,0.995578267,1,,,high,high,28.69962432,-42.07145474,53.99236634,Mason Grace,gracema45,Uc riverside
11,4/29/2022,6:39:56 PM,1,5,Tyler Frazier,frazity44,Right,Uc riverside,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,1,2,Fastball,,StrikeSwinging,Strikeout,,,1,0,,91.14843685,-1.395506126,-0.520452632,1854.208688,217.2364967,1:15,5.319845286,1.35717183,6.769104158,-21.04304819,11.86439963,7.450217608,2.927469543,1.166256001,82.71418479,-5.853003672,1.006373851,0.410208363,,,,,,,,,,,,-4.319745109,6.974508221,-1.326184852,50,5.220911828,0.998995438,-132.805192,-3.809680255,-7.675930563,29.78175456,-19.7807626,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,71247fe8-c826-11ec-b3b9-61fe7b7ca330,91.32269282,5.318952298,1.360026292,-1.385096334,-0.555950172,82.86262651,2.928701028,1.163852621,-5.833706637,0.969360836,0.410074689,7.792054647,10.59454223,-24.50415091,13.78008278,1687.20238,-769.0500545,90.99312236,-0.724436862,-0.414759169,-0.550605181,,,,,,,,,,,,,,,,,0.890735797,1,,,high,high,77.5979255,-34.03968983,53.73089584,Mason Grace,gracema45,Uc riverside
12,4/29/2022,6:40:30 PM,2,1,Tyler Frazier,frazity44,Right,Uc riverside,Jalen Smith,smithjc66,Right,Uc san diego,Windup,1,Bottom,1,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,91.72838434,-2.511259444,-0.934672559,2127.813848,215.6710197,1:15,5.537792091,1.205918123,6.791716735,-19.31525096,12.76923588,7.459614859,1.634485558,0.974437968,83.77260684,-6.192794543,0.495749748,0.407679685,,,,,,,,,,,,-4.433640231,7.855650043,-1.148284692,50,5.367713298,1.971863636,-133.556662,-6.394413886,-7.970377307,30.03079234,-18.05190806,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,84f82f11-c826-11ec-a751-732c0a8d5c6f,91.90382797,5.537276245,1.208938597,-2.505578896,-0.972047536,83.93446611,1.635510836,0.971420236,-6.178243386,0.454418344,0.407546947,7.796597871,11.58914107,-29.84295682,93.15900461,1845.650001,-1058.852137,86.7392607,-0.704651173,-0.497624422,-0.505802984,,,,,,,,,,,,,,,,,0.994919607,1,,,high,medium,6.156895854,32.40246709,53.70828327,Mason Grace,gracema45,Uc riverside
13,4/29/2022,6:41:04 PM,3,1,Tyler Frazier,frazity44,Right,Uc riverside,Austin Smith,smithau85,Left,Uc san diego,Windup,1,Bottom,2,0,0,Slider,,BallCalled,,,,0,0,,74.85946353,-1.021764686,-1.279269383,2366.719967,34.29307185,7:15,5.551450082,1.185292473,6.487835458,-57.08492074,-7.998610586,-9.389121413,0.749732828,-0.626045509,69.33320004,-11.80252453,-3.178661691,0.504256745,,,,,,,,,,,,4.783975724,-4.097058219,-1.091553866,50,5.454690539,2.6589253,-108.9565589,-3.316555997,5.671819881,21.60036661,-37.03146894,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,9a298dd4-c826-11ec-a31f-4984546e73c5,74.93245133,5.540157712,1.186972105,-0.884838343,-1.30023397,69.3646729,0.758942897,-0.627117706,-11.66496847,-3.1948217,0.504172279,-9.194326384,-11.2808381,-52.66179656,63.90413687,1435.459827,-1881.706271,60.65186615,0.501085357,-0.795069251,0.341728477,,,,,,,,,,,,,,,,,0.997399679,1,,,high,high,32.48627682,-34.60272063,54.01216454,Mason Grace,gracema45,Uc riverside
14,4/29/2022,6:41:18 PM,3,2,Tyler Frazier,frazity44,Right,Uc riverside,Austin Smith,smithau85,Left,Uc san diego,Windup,1,Bottom,2,1,0,Fastball,,BallCalled,,,,0,0,,90.91405317,-2.014029386,-0.845565982,1887.489912,225.364044,1:30,5.267508217,1.476267245,6.8421629,-21.76526439,10.87805903,9.154670479,2.46705618,1.570784235,82.9809522,-6.164236248,1.842589331,0.410839254,,,,,,,,,,,,-5.37079791,6.703608253,-1.425712995,50,5.130759978,1.70525302,-132.4278481,-5.245982059,-9.488816485,29.62982644,-20.33050053,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,6388920c-8e54-4f89-8a97-1f85b168919c,a22c4beb-c826-11ec-ae9c-3b46ec695df1,91.08630202,5.266296292,1.479743606,-2.000046263,-0.887455511,83.12541478,2.468474223,1.56800345,-6.142105801,1.799572614,0.410706736,9.552261877,9.568258618,-20.70072526,8.85450247,1765.632724,-667.2025575,93.54395552,-0.657239595,-0.353486688,-0.665645007,,,,,,,,,,,,,,,,,0.970476982,1,,,high,high,82.03094778,-5.927120191,53.6578371,Mason Grace,gracema45,Uc riverside
