PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,4/30/22,2:03:21 PM,1,1,Noah Conlon,conlono42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,89.09873808,-3.796729779,-4.96696065,2251.717984,240.2212818,2:00,5.134902651,1.398117323,6.334340044,-24.78726213,10.1700878,14.18586526,0.665176969,-0.604505054,81.77499777,-7.916560207,-0.13794162,0.425540376,,,,,,,,,,,,-9.22920514,6.68829363,-1.042849595,50,4.845604859,10.79118021,-129.0027462,-9.327351961,-15.48428087,27.93647157,-20.95277803,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,f8758397-c8c8-11ec-a6cc-5b88c1dc16f1,89.25948947,5.133055774,1.40298401,-3.774643343,-5.026217662,81.91015713,0.667117622,-0.608538897,-7.886859788,-0.199566969,0.425414451,14.72926743,8.766535226,-9.119307192,89.18077751,2223.257293,-356.8765677,98.73604553,-0.490374157,-0.158490793,-0.856979495,,,,,,,,,,,,,,,,,0.9388819,1,,,high,high,9.737300237,31.70826982,54.16565996,Marc Filia,filiama42,Uc san diego
2,4/30/22,2:03:35 PM,1,2,Noah Conlon,conlono42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,1,0,Sinker,,Foul,,,,0,0,,89.76924262,-1.819129976,-3.097686204,2413.647961,233.8085069,1:45,5.185119531,1.461285914,6.191489726,-22.75476395,11.65782844,12.88989789,2.204359579,0.62345374,81.60542814,-6.741162645,1.255545697,0.422211655,,,,,,,,,,,,-7.955482782,6.904466966,-1.23464537,50,5.036559307,6.662906541,-130.4474228,-4.849242624,-13.62276167,29.03591621,-20.35102005,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,0110c170-c8c9-11ec-b477-8b4f48b265da,89.944656,5.184042587,1.466254109,-1.806906051,-3.15729321,81.74945435,2.205762792,0.619474855,-6.719386242,1.194451552,0.422075398,13.43590246,10.28496034,-22.5435146,88.93865995,2229.217806,-925.3563917,92.3588627,-0.545366015,-0.383384987,-0.745380347,,,,,,,,,,,,,,,,,0.997589061,1,,,high,high,9.955206047,89.51045911,54.30851027,Marc Filia,filiama42,Uc san diego
3,4/30/22,2:03:55 PM,1,3,Noah Conlon,conlono42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,1,1,Sinker,,StrikeCalled,,,,0,0,,90.24894237,-2.973580874,-3.7678383,2329.085785,233.8648635,1:45,5.215167947,1.380616876,6.210068827,-22.50027852,11.59369958,12.80140253,1.636892248,-0.584688728,81.96883897,-6.970301318,-0.372987495,0.420252554,,,,,,,,,,,,-8.096756526,7.205690452,-1.104533992,50,4.980531745,8.229904025,-130.9554709,-7.510343082,-13.98861174,28.97364385,-19.7249157,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,0c47f3f5-c8c9-11ec-ab93-7939b370dc48,90.42002086,5.214034622,1.385301832,-2.960394755,-3.824569275,82.11203724,1.638283316,-0.588479635,-6.948323814,-0.431937118,0.420120473,13.32084869,10.26554311,-18.39020124,90.54777751,2210.139326,-734.7957225,94.89299794,-0.559576174,-0.315486758,-0.766382809,,,,,,,,,,,,,,,,,0.996945748,1,,,high,high,8.507000244,-48.07299952,54.28993117,Marc Filia,filiama42,Uc san diego
4,4/30/22,2:04:11 PM,1,4,Noah Conlon,conlono42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,1,2,Changeup,,BallCalled,,,,0,0,,80.71820087,-0.889769117,-1.840465124,2253.964775,187.8502243,12:15,5.301488815,1.394204188,6.041438002,-39.08347177,4.739726006,-2.003086641,1.626648389,-0.22507899,73.3508795,-9.110565438,-1.618048768,0.46906852,,,,,,,,,,,,0.303473385,2.870120619,-1.250120353,50,5.211818133,3.817758762,-117.4676601,-2.903591512,0.423912325,22.30876242,-28.16486934,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,1636cb2e-c8c9-11ec-a1cd-bb27f3243ca6,80.85299762,5.296866798,1.398308242,-0.834677542,-1.890344928,73.44755056,1.631075357,-0.22816989,-9.04317781,-1.665239295,0.468939136,-1.50482644,2.808595418,-84.92569226,45.62657478,199.3578546,-2245.1311,8.844763539,-0.087618748,-0.996080828,-0.012080531,,,,,,,,,,,,,,,,,0.994680477,1,,,high,high,48.93608269,38.59593214,54.458562,Marc Filia,filiama42,Uc san diego
5,4/30/22,2:04:28 PM,1,5,Noah Conlon,conlono42,Right,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,0,2,2,Sinker,,InPlay,,FlyBall,Out,1,0,,88.50300156,-2.350400887,-2.866584947,2116.712984,232.960791,1:45,5.247051595,1.366336131,6.194845476,-24.26881335,10.98290491,12.00121375,2.355843643,1.206478711,80.70881259,-6.085761107,1.640325933,0.428098299,83.52414761,49.13817591,-40.95219688,,-71.48268327,83.60757138,92.47535827,296.1001653,,-40.79525479,5.055850923,-7.393646807,6.81363707,-1.156835707,50,5.057899442,6.075298955,-128.5994733,-6.017984257,-12.31618158,27.98456459,-20.82403605,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,20ab8194-c8c9-11ec-b4ba-f9f722c0aebb,88.67566868,5.24546506,1.371015834,-2.332690703,-2.920929573,80.85225481,2.357555231,1.202839898,-6.05927482,1.584499297,0.427958244,12.52048205,9.483662162,-17.67764631,88.52195351,2016.76185,-642.7639516,95.2780025,-0.573917918,-0.303661364,-0.760531393,-35.81565718,41.27069299,63.16844019,-1.333847358,3.191681338,2.825474525,-193.4593845,224.1623841,,,,,,,,,0.859706648,1,,40.48091636,high,high,10.33024184,-52.47334024,54.30515452,Marc Filia,filiama42,Uc san diego
6,4/30/22,2:05:03 PM,2,1,Noah Conlon,conlono42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,89.16174527,-2.993507187,-2.565476223,2267.312044,229.9531053,1:45,5.131927548,1.354267912,6.242052449,-23.1650715,12.15467262,11.81115745,1.298585862,0.795046444,80.8047231,-7.43126891,0.991332331,0.424695227,,,,,,,,,,,,-7.209050717,7.550775308,-1.169336926,50,4.897824333,5.446471859,-129.5296421,-7.465171463,-12.18055153,28.44204212,-19.41611358,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,354dc0c7-c8c9-11ec-a056-91fd96f8d44f,89.33187344,5.130883932,1.358575733,-2.981293084,-2.618499095,80.94786492,1.300007392,0.79141434,-7.409255573,0.935552238,0.424559909,12.32991781,10.72969321,-20.01900554,72.71969009,2130.319048,-776.173086,93.95791168,-0.604538712,-0.342331832,-0.719264807,,,,,,,,,,,,,,,,,0.994362466,1,,,high,high,24.55227892,14.34138974,54.25794755,Marc Filia,filiama42,Uc san diego
7,4/30/22,2:05:18 PM,2,2,Noah Conlon,conlono42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,1,0,Sinker,,Foul,,,,0,0,,90.53168504,-2.32947289,-1.888659381,2209.987236,234.1609331,1:45,5.098477793,1.411797512,6.202732896,-23.91512374,10.73711892,11.8153529,2.037253391,0.197730678,81.48342831,-6.502685459,0.191545532,0.418218182,,,,,,,,,,,,-6.945973528,6.47073611,-1.275990932,50,4.911891884,3.97828035,-131.6405904,-6.076214413,-12.11890347,29.4363729,-20.88431087,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,3ddbe95e-c8c9-11ec-b197-b542347dbfb1,90.70499281,5.097112974,1.416375004,-2.313849474,-1.943408079,81.62683673,2.038867187,0.194038788,-6.477463528,0.134598343,0.418083222,12.35104321,9.317791034,-25.74660731,86.08585051,1990.588457,-960.0006135,90.0723961,-0.52738339,-0.434391927,-0.730185192,,,,,,,,,,,,,,,,,0.985761806,1,,,high,high,12.52273454,58.11051979,54.2972671,Marc Filia,filiama42,Uc san diego
8,4/30/22,2:05:36 PM,2,3,Noah Conlon,conlono42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,1,1,Sinker,,StrikeCalled,,,,0,0,,89.84076045,-2.565403038,-2.123282396,2266.642919,242.8736467,2:00,5.179251471,1.578837514,6.270301632,-25.30129535,8.936305518,13.42631951,1.845627961,0.96656207,81.28879449,-6.926952177,0.944854028,0.421136792,,,,,,,,,,,,-7.981651692,5.654850588,-1.428589691,50,4.977231515,4.43500242,-130.6033617,-6.622915244,-13.69785278,29.15038469,-22.46937769,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,48b084f3-c8c9-11ec-be0f-430e874ec2f5,90.00517648,5.177386664,1.583818508,-2.543207458,-2.184387225,81.42439817,1.847668894,0.962433282,-6.895388424,0.881180329,0.421007377,13.98405172,7.48106666,-23.23849116,80.21130399,2082.75127,-894.3250362,91.88704812,-0.41896296,-0.394559297,-0.817797652,,,,,,,,,,,,,,,,,0.995404022,1,,,high,high,17.80982641,-62.25992265,54.22969837,Marc Filia,filiama42,Uc san diego
9,4/30/22,2:05:53 PM,2,4,Noah Conlon,conlono42,Right,Uc san diego,Andrew Rivas,rivasan44,Left,Uc riverside,Windup,1,Top,1,1,2,Fastball,,InPlay,,GroundBall,Out,1,0,,87.34515082,-1.769110966,-2.192957329,1673.743045,237.4429138,2:00,5.14478434,1.460167333,6.276648241,-28.0731346,8.002534108,8.921775881,1.70438355,0.945097978,80.16529,-7.35349819,1.039120793,0.432293512,,,,,,,,,,,,-5.512951704,4.888348418,-1.302807143,50,5.000509647,4.602079968,-127.0631137,-4.756713876,-8.983833198,26.81836011,-24.20806164,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,533a6ee1-c8c9-11ec-a1cc-252ce172d965,87.51028589,5.142148464,1.464130411,-1.738697462,-2.239678739,80.29842436,1.706931841,0.942064904,-7.314199957,0.992238684,0.432156496,9.348651699,6.496900531,-37.11332139,9.281857852,1334.715774,-1009.925534,79.74436566,-0.429136048,-0.603393416,-0.672129926,,,,,,,,,,,,,,,,,0.98920923,1,,,high,high,98.35367207,-28.88655659,54.22335176,Marc Filia,filiama42,Uc san diego
10,4/30/22,2:06:41 PM,3,1,Noah Conlon,conlono42,Right,Uc san diego,Anthony Mata,mata-an43,Right,Uc riverside,Windup,1,Top,2,0,0,Sinker,,StrikeCalled,,,,0,0,,89.18562078,-2.370035206,-4.154379784,2384.787274,234.0471693,1:45,5.250221994,1.283558974,6.289520998,-23.34646764,11.4418527,12.18355983,2.090435875,-0.717439836,81.26225433,-6.767461048,-0.52843717,0.42451032,,,,,,,,,,,,-7.886558875,6.96021302,-0.983650882,50,5.064153708,9.036332166,-129.4361,-6.07118671,-13.31652989,28.20322497,-20.42166351,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,4fb7bc62-2003-4558-88f5-fef3ee008cf1,6f68fc00-c8c9-11ec-a27c-194fe63e5bdf,89.35646494,5.249094603,1.28821162,-2.356642734,-4.211770049,81.40549686,2.091881168,-0.721282125,-6.744636042,-0.587979244,0.424376894,12.70950297,10.09931858,-28.79204865,84.342583,2089.964432,-1148.590012,87.63735259,-0.514535567,-0.481632062,-0.709424913,,,,,,,,,,,,,,,,,0.996917114,1,,,high,high,14.0916753,74.94111092,54.210479,Marc Filia,filiama42,Uc san diego
