PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/1/2022,1:04:05 PM,1,1,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,88.56339983,-2.826833809,0.336845649,1947.755251,152.7047856,11:00,5.687548132,-0.795132293,6.172590886,-20.91807478,13.86500387,-6.884647705,2.214221492,0.014398563,81.46082876,-6.590418258,0.641946345,0.427535301,,,,,,,,,,,,3.863485917,8.515487361,0.773217914,50,5.46304175,-0.546501067,-128.7969738,-7.006539395,6.458592666,27.95140498,-17.93870218,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,db33ded9-c989-11ec-81af-45968feabe77,88.73768565,5.686622009,-0.796764361,-2.816492341,0.356352024,81.60896497,2.215386141,0.015714248,-6.572027618,0.662334918,0.427392497,-7.06783881,12.54666656,-24.81357363,56.74266687,1767.934749,-817.4088577,90.76780813,-0.806613154,-0.419667131,0.416238777,,,,,,,,,,,,,,,,,0.997433927,1,,,high,high,38.93159982,43.23993859,54.32740911,Marc Filia,filiama42,Uc san diego
2,5/1/2022,1:04:19 PM,1,2,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,0,0,,90.43084706,-1.412791632,0.342693757,1867.515103,147.9851635,11:00,5.615007185,-0.929756287,6.027511198,-22.17594758,13.13267984,-7.468136371,3.889756857,-0.828227104,80.71519307,-4.473870593,0.268928209,0.419650662,,,,,,,,,,,,4.140287192,7.479425908,0.907043475,50,5.49331984,-0.548573983,-131.5951081,-3.917831119,7.220255704,29.36107139,-19.13066272,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,e3b660fa-c989-11ec-898a-47e59d657e5c,90.60861667,5.613997792,-0.931598886,-1.401224625,0.364980064,80.86672667,3.891137338,-0.826712536,-4.452178275,0.292222316,0.419510666,-7.678642956,11.71686538,-23.69432935,57.76807654,1710.088003,-750.4743035,91.57023687,-0.776433971,-0.401857154,0.485449396,,,,,,,,,,,,,,,,,0.991735955,1,,,high,high,38.00873111,37.3175632,54.4724888,Marc Filia,filiama42,Uc san diego
3,5/1/2022,1:04:35 PM,1,3,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,0,2,Fastball,,BallCalled,,,,0,0,,91.8342303,-4.247434296,0.936193956,1965.98234,153.1179105,11:00,5.635149718,-0.92096103,6.117394899,-19.10217425,13.86313902,-6.859831378,1.338400243,-0.656317058,83.23826175,-7.074147945,-0.677774081,0.413237881,,,,,,,,,,,,4.003518906,8.773158907,0.852935028,50,5.299621023,-1.959502399,-133.3308129,-10.51410508,7.179936372,29.66509769,-16.44021038,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,ed3f1fae-c989-11ec-b63e-e165945aac82,92.00875352,5.634458644,-0.922619745,-4.239733511,0.956196905,83.38860049,1.339374024,-0.654947253,-7.058865538,-0.6566732,0.413104042,-7.041856875,12.65656471,-24.05237344,66.90985106,1795.282544,-801.2784463,91.31732811,-0.814494786,-0.407571538,0.4128967,,,,,,,,,,,,,,,,,0.99794663,1,,,high,high,29.78113405,30.2781425,54.3826051,Marc Filia,filiama42,Uc san diego
4,5/1/2022,1:04:52 PM,1,4,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,0,0,,91.0370326,-3.740071299,1.217789328,1980.417702,152.5811555,11:00,5.585459173,-0.87634084,6.212841682,-19.53446293,13.85723154,-6.986991266,1.658092674,-0.274665438,82.29032591,-6.802469064,0.322061097,0.415901754,,,,,,,,,,,,4.168265686,8.65199618,0.788717569,50,5.295328983,-2.594125701,-132.2615783,-9.255750718,7.354138933,29.25686807,-16.90919203,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,f72abcd1-c989-11ec-b6a1-8f5eb5f3754f,91.20951079,5.584736884,-0.877970461,-3.731817659,1.237819534,82.44000891,1.659161623,-0.273279231,-6.785697153,0.343407681,0.415767787,-7.168979343,12.62428877,-24.40585316,62.78016226,1803.450453,-818.3035715,91.0641453,-0.808343615,-0.413197464,0.419342886,,,,,,,,,,,,,,,,,0.99776874,1,,,high,high,33.49785396,25.00802971,54.28715832,Marc Filia,filiama42,Uc san diego
5,5/1/2022,1:05:12 PM,1,5,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,2,2,Slider,,BallCalled,,,,0,0,,78.57162664,2.263365911,-1.492273172,2383.598097,330.696532,5:00,5.471542849,-1.219740195,6.054634955,-53.96534958,-8.787709359,6.78560925,4.047515434,-0.646063348,71.74348047,-7.700118324,2.277067032,0.483381511,,,,,,,,,,,,-3.432845443,-5.066797883,2.043004286,50,6.478707492,-2.140293854,-114.3314338,3.163435631,-4.504094965,22.80175586,-38.82198618,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,02a2305c-c98a-11ec-ada4-c105e2fadd13,78.66481515,5.461283604,-1.22213638,2.390126032,-1.462003418,71.79673258,4.055996653,-0.644267885,-7.569979634,2.304525387,0.483296532,6.503778646,-11.64208134,56.05407755,34.44692044,1331.025432,1977.349536,55.84101757,0.486955814,0.829564992,-0.273305616,,,,,,,,,,,,,,,,,0.997388242,1,,,high,high,121.0022284,-5.967678226,54.44536505,Marc Filia,filiama42,Uc san diego
6,5/1/2022,1:05:28 PM,1,6,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Shanks,shankja42,Right,Uc riverside,Windup,1,Top,0,3,2,Fastball,,InPlay,,FlyBall,Out,1,0,,90.36191726,-3.065682894,1.174180797,,,,5.575775992,-0.775594239,6.148947935,,,,0.047586912,0.309358996,83.38857699,-9.098283704,1.174180797,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,0c30a4ee-c98a-11ec-879a-45c5154908c3,90.49982994,5.571604232,-0.775594239,-3.01556973,1.174180797,83.50653173,0.052098386,0.309358996,-9.037826002,1.174180797,0.418255928,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.35105207,Marc Filia,filiama42,Uc san diego
7,5/1/2022,1:06:04 PM,2,1,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,91.07223002,-2.400384474,1.254171676,1991.739353,150.4038548,11:00,5.637618356,-0.898274166,6.223960003,-20.07020647,13.90276476,-7.370108906,2.830794533,-0.340869894,82.71713485,-5.654589806,0.174023231,0.419506108,,,,,,,,,,,,4.0152755,8.319009618,0.856115135,50,5.449806666,0.326317685,-131.1748234,-6.232485859,6.957700195,29.16981157,-17.75880589,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,221cf20a-c98a-11ec-ba40-41d8f55f63d5,91.24929801,5.636883191,-0.900107922,-2.392165844,1.276207897,82.86850639,2.831804124,-0.339380589,-5.638472643,0.197214127,0.419365348,-7.572833497,12.59618459,-23.56880664,47.64302151,1825.589558,-796.3971481,91.6580553,-0.796992602,-0.399850084,0.452683889,,,,,,,,,,,,,,,,,0.996993351,1,,,high,high,47.12128064,20.46569103,54.27604,Marc Filia,filiama42,Uc san diego
8,5/1/2022,1:06:17 PM,2,2,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,1,0,1,Slider,,StrikeCalled,,,,0,0,,79.85610666,-0.077845066,1.295747938,2051.510768,328.6733148,5:00,5.422696712,-1.042813699,6.278234381,-47.55325094,-4.356328951,5.620768892,1.967448248,0.232568285,73.00757271,-9.478209829,2.122805997,0.473040063,,,,,,,,,,,,-2.694472412,-2.363010913,0.944581239,50,5.393772547,-2.781080853,-116.2564878,-1.439590607,-3.66403605,23.09749168,-35.38735291,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,29e56742-c98a-11ec-b048-0dc89ddf5871,79.95904519,5.4145232,-1.045332071,0.021870142,1.327103613,73.07182176,1.974568105,0.234389245,-9.370728881,2.150454549,0.472939194,5.330476765,-6.812619998,66.19189074,45.4135468,828.1431583,1876.932429,40.36747801,0.344825769,0.914902548,-0.209877386,,,,,,,,,,,,,,,,,0.997060927,1,,,high,high,130.8721921,-3.649397787,54.22176562,Marc Filia,filiama42,Uc san diego
9,5/1/2022,1:06:33 PM,2,3,Zach Ernisse,ernisza42,Left,Uc san diego,Jacob Badawi,badawja42,Right,Uc riverside,Windup,1,Top,1,0,2,Fastball,,InPlay,,GroundBall,Out,1,0,,90.40662732,-1.840161398,0.890013569,1825.913371,152.3925976,11:00,5.658644103,-0.951930429,6.121291606,-19.66909867,13.71358963,-6.605008978,3.199060027,0.849257998,83.06413029,-5.265367827,1.964349259,0.415845663,44.05123774,-19.76824266,-5.360712052,2484.136533,,,,8.626832315,,-10.4452778,0.115581164,4.528265971,7.916890672,1.330853264,50,6.148937852,-7.228394631,-132.5089055,-4.227280233,8.017465171,29.42341231,-18.15689697,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,34012c28-c98a-11ec-91d3-e59c981296d9,90.5873584,5.657978909,-0.953838261,-1.832926684,0.912773723,83.21988594,3.199999489,0.850775798,-5.250338267,1.987778069,0.415716988,-6.81757242,12.46925539,-11.55606837,41.58868386,1788.900533,-365.7793335,97.97291381,-0.868180819,-0.200326773,0.454016794,-3.872980696,41.27391245,-14.89884956,-0.893207317,1.552904241,2.985389462,-1.564013236,8.483872841,0.036745871,-0.090732089,-0.017225487,-0.756381857,-0.009846535,-0.654056215,,,0.997832783,1,0.994055482,13.41415817,high,high,52.57018452,-24.85444248,54.37870839,Marc Filia,filiama42,Uc san diego
10,5/1/2022,1:07:16 PM,3,1,Zach Ernisse,ernisza42,Left,Uc san diego,Anthony Mata,mata-an43,Right,Uc riverside,Windup,1,Top,2,0,0,Fastball,,Foul,,,,0,0,,89.79362441,-1.533985771,1.643023232,1941.574347,148.9877194,11:00,5.711544989,-0.873489738,6.191169255,-20.73168823,13.54941959,-7.562726104,3.297405028,0.16027185,81.78705718,-5.741907624,0.522823234,0.421404284,,,,,,,,,,,,4.60972531,7.845820651,0.753727497,50,5.585603491,-3.514249739,-130.6474674,-4.139509556,7.925858788,28.86515844,-18.68412071,UC San Diego,UC Riverside,tri01,NCAA D1,BWC,70620da9-fac4-42f0-9d1c-32390946b913,4d134d0f-c98a-11ec-a1f0-2baea73a24df,89.96921357,5.710697493,-0.875352842,-1.524132546,1.665995011,81.93680313,3.298561304,0.161862926,-5.723595947,0.547465634,0.421265234,-7.771801342,12.22593192,-21.47233754,60.20197716,1806.818225,-710.7171353,93.05944054,-0.797572346,-0.366051981,0.479462512,,,,,,,,,,,,,,,,,0.998054139,1,,,high,high,35.81822055,29.47129648,54.30883075,Marc Filia,filiama42,Uc san diego
