PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/6/22,6:33:51 PM,1,1,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,93.66991525,-2.228296617,-3.227841591,2205.216674,218.9085509,1:15,5.015676763,0.882761033,6.903907985,-17.55170508,13.30268596,9.189031883,2.329865107,-1.039781674,85.13990419,-5.582016485,-0.629801664,0.398880792,,,,,,,,,,,,-6.103948061,8.119748856,-0.683296423,50,4.869222227,7.429304819,-136.2366864,-5.788710177,-11.41498568,31.31916249,-16.98931735,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,c091009c-cda5-11ec-aff4-33de429357c5,93.84991577,5.015523495,0.886064493,-2.226964065,-3.268114961,85.29246359,2.330402965,-1.042452898,-5.573133611,-0.671333868,0.39875365,9.575425299,12.1866103,-14.93758305,55.93140673,2130.696239,-568.4312757,96.62072051,-0.751853578,-0.257766632,-0.606854645,,,,,,,,,,,,,,,,,0.983102267,1,,,high,high,39.66173394,-10.63554793,53.59609201,Emiliano Gonzalez,gonzaem47,Uc san diego
2,5/6/22,6:34:11 PM,1,2,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,0,0,,93.70836684,-3.878955444,-3.900059702,2324.321699,221.5489878,1:30,4.973317086,0.790387957,7.102962434,-17.08872041,13.47350752,10.27489493,1.153077776,-1.873113325,84.87471136,-6.587527069,-2.112087674,0.397890919,,,,,,,,,,,,-6.928911071,8.729843379,-0.562151193,50,4.736871627,9.004706184,-136.0346884,-9.693100091,-12.93001268,30.99749945,-15.88332448,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,cc5138c0-cda5-11ec-889c-bbe389969d7e,93.8827591,4.973162976,0.793952802,-3.877541369,-3.94343926,85.02306442,1.15359166,-1.875969868,-6.578807413,-2.157060835,0.39776801,10.66537709,12.4178141,-9.899243127,72.72266824,2289.716261,-399.588295,98.5111597,-0.737246592,-0.171916089,-0.653385278,,,,,,,,,,,,,,,,,0.997282278,1,,,high,high,24.54959859,-70.4387104,53.39703757,Emiliano Gonzalez,gonzaem47,Uc san diego
3,5/6/22,6:34:34 PM,1,3,Ryan Forcucci,forcury42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,1,1,Fastball,,InPlay,,Popup,Single,0,0,,92.76228783,-1.83893512,-2.919096375,2168.417935,221.9057574,1:30,5.024404068,0.822288563,6.796626063,-18.47183801,12.96522914,10.18497566,2.618539204,-1.071857553,83.62066427,-5.360940499,-0.859165037,0.407637152,75.08449561,21.17242166,20.65825262,1547.227659,,,,239.944755,,20.28272638,3.003779544,-6.545026877,7.808002814,-0.47329601,50,5.663099483,6.30132215,-133.6049916,-4.565247314,-11.76395841,30.29307355,-18.14003229,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,daad1f23-cda5-11ec-8568-d9704b4e12e2,92.94093272,5.023960414,0.825800175,-1.834157936,-2.961369911,83.77102497,2.619337937,-1.074665532,-5.347911491,-0.903163568,0.407516007,10.56668825,11.79390933,-5.211324533,72.37815013,2159.454705,-196.9561351,99.58664655,-0.741168075,-0.090829416,-0.665146527,24.70120937,65.51418029,27.11870053,1.126542705,1.625078279,2.682300812,83.17754026,225.0666174,10.19101648,33.01470406,0.596175494,0.989038086,-0.103983275,0.104838649,,,0.995876139,1,0.892056264,37.18881901,high,high,24.85966489,-71.7128136,53.70337394,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/6/22,6:35:17 PM,2,1,Ryan Forcucci,forcury42,Right,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,92.5385325,-2.501527076,-3.658130929,2203.889092,219.6091158,1:15,5.079412139,1.015522202,6.69985767,-18.12009324,13.64697353,9.955982708,2.162026052,-1.114426457,83.40976564,-5.982302189,-0.752821913,0.405658033,,,,,,,,,,,,-6.605611506,8.320292354,-0.776568087,50,4.905770884,8.31229619,-134.4584424,-6.403195619,-12.03324954,30.49608436,-17.01721602,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,f3c8db73-cda5-11ec-bccb-8526d34e549f,92.71771392,5.079107323,1.018942048,-2.498363018,-3.699032882,83.56082033,2.16273737,-1.117199435,-5.970837163,-0.79557011,0.405527272,10.32671387,12.49837001,-3.742969043,76.3525103,2199.188068,-143.8713757,99.78669415,-0.768768485,-0.065280679,-0.636186646,,,,,,,,,,,,,,,,,0.994589682,1,,,high,high,21.28274073,-73.03468829,53.80014233,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/6/22,6:36:05 PM,2,2,Ryan Forcucci,forcury42,Right,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Stretch,1,Top,0,0,1,Fastball,,InPlay,,GroundBall,Out,2,0,,90.65125789,-1.911840831,-3.270711262,2115.992536,227.1903968,1:30,5.001877898,1.164813886,6.805724612,-20.82200764,11.99911638,11.18722414,2.560003911,-0.232247719,82.64586139,-5.520731314,-0.007528086,0.412983933,104.7184421,-0.429420038,-14.619916,2185.164474,,,,48.1721481,,-14.55258664,0.312080856,-7.240461599,7.284575899,-0.957986734,50,4.870399704,7.227291429,-131.8423137,-4.978114789,-12.67554911,29.44254973,-19.42127156,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,10c68814-cda6-11ec-8051-9be10f126363,90.82307469,5.000881508,1.168578879,-1.900261557,-3.316516037,82.79134621,2.561200432,-0.235288425,-5.501623749,-0.055035539,0.412854193,11.62321174,10.69337199,-2.795549396,55.56891384,2113.474354,-103.2015797,99.88099288,-0.678755543,-0.048772185,-0.73274292,-26.43079125,101.3249693,-0.784835756,0.135724623,2.404884678,2.62768283,-12.10414215,46.62666185,1.706375267,-8.848657032,-0.065613744,-0.758938131,-0.190747402,0.622598059,,,0.977876065,1,0.981159356,61.05157993,high,high,39.98797755,-32.76599051,53.69427539,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/6/22,6:36:42 PM,3,1,Ryan Forcucci,forcury42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,0,0,,93.19273895,-1.993284689,-1.802830239,2214.13237,225.2078748,1:30,5.046737231,0.692341899,6.962141311,-19.19389129,12.51272217,10.97483069,2.525534909,-0.255517571,83.83721966,-5.498022198,0.121929459,0.40022074,,,,,,,,,,,,-6.653825489,7.537355276,-0.584814794,50,4.917026985,3.977004127,-135.713982,-5.227354286,-12.32967779,31.48898757,-18.20717262,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,277c9059-cda6-11ec-b13a-572e8fad285f,93.36772526,5.04618403,0.696004194,-1.98710852,-1.847729788,83.98373925,2.526423206,-0.258494889,-5.48367165,0.075233286,0.400094186,11.41032653,11.28544997,-3.797051535,50.54876275,2209.272078,-146.6254996,99.78048774,-0.702990135,-0.066222554,-0.708109768,,,,,,,,,,,,,,,,,0.992123657,1,,,high,high,44.50611352,-38.07641233,53.53785869,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/6/22,6:37:00 PM,3,2,Ryan Forcucci,forcury42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,0,1,Slider,,BallCalled,,,,0,0,,84.41547001,-2.605112913,-2.253328556,2475.748794,79.80200687,8:45,4.97270942,0.835783283,6.833707515,-36.17038983,2.119977711,-5.472462986,0.08793593,-1.318120377,77.55019738,-10.19497465,-2.654159825,0.442567577,,,,,,,,,,,,2.210023681,2.036879032,-0.689595169,50,4.792394569,4.963093331,-122.8427778,-6.492399171,3.36758442,24.97049012,-29.07029909,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,311c65f5-cda6-11ec-9eeb-5f52c30f21cb,84.53390987,4.967601825,0.838258808,-2.542721398,-2.284415492,77.63828559,0.092674577,-1.319873865,-10.12314945,-2.680867915,0.442460661,-5.175829408,0.243085071,-83.41284986,77.79201458,284.0039103,-2459.405186,11.47143486,0.020310206,-0.993398519,0.11290207,,,,,,,,,,,,,,,,,0.993100929,1,,,high,high,19.98718688,73.38218857,53.66629248,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/6/22,6:37:19 PM,3,3,Ryan Forcucci,forcury42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,1,1,Fastball,,BallCalled,,,,0,0,,93.15439561,-2.053780943,-3.305472685,2271.318898,221.7397498,1:30,5.039348606,0.715556311,6.823989799,-17.87990617,13.28605056,10.22807478,2.816015806,-1.248559377,83.70955138,-4.962007117,-0.866782737,0.401801685,,,,,,,,,,,,-6.685133047,8.025746539,-0.507109942,50,4.900551424,7.538509405,-135.4701194,-5.365453251,-12.35539466,31.10498295,-17.34094675,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,3ca6b6f5-cda6-11ec-8e32-497e2906ed8e,93.33380609,5.039115633,0.719189315,-2.051553888,-3.349506709,83.86251894,2.816661412,-1.251538094,-4.951379214,-0.913179307,0.401672724,10.62603237,12.15340895,-11.784222,78.66214056,2223.44782,-463.86348,97.8923665,-0.730449823,-0.204226487,-0.651716655,,,,,,,,,,,,,,,,,0.939345342,1,,,high,high,19.20407349,-59.14217309,53.6760102,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/6/22,6:37:38 PM,3,4,Ryan Forcucci,forcury42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,2,1,Fastball,,BallCalled,,,,0,0,,92.83154671,-3.500026181,-3.747016335,2380.195293,219.3961791,1:15,5.036628613,0.719349662,6.989939009,-17.43343851,14.30829686,10.29054969,1.231963877,-1.324114319,84.00582401,-6.780126305,-0.902786376,0.402430354,,,,,,,,,,,,-6.874568099,9.030816469,-0.493038597,50,4.815582236,8.554294903,-134.8135628,-8.717849708,-12.5910959,30.62151026,-15.63368303,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,47df4d05-cda6-11ec-8f5a-5112ecdb20e1,93.00640608,5.036614943,0.722800774,-3.50026563,-3.789591751,84.15481857,1.232407797,-1.326958538,-6.772635635,-0.947337214,0.40230509,10.69977417,13.18248325,-5.739607095,62.37029323,2368.262601,-238.0375786,99.49866749,-0.768901723,-0.100007583,-0.631497129,,,,,,,,,,,,,,,,,0.995824908,1,,,high,high,33.86673609,36.06543178,53.51006099,Emiliano Gonzalez,gonzaem47,Uc san diego
10,5/6/22,6:37:58 PM,3,5,Ryan Forcucci,forcury42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,3,1,Fastball,,InPlay,,FlyBall,Out,1,0,,93.3746346,-2.232282781,-2.03517323,2250.997822,221.9954259,1:30,4.979429743,0.996998873,6.886988725,-17.77350811,13.13007729,10.37035646,2.449394683,0.348066017,83.61388936,-5.245450479,1.135309502,0.400106822,89.51081184,43.5526314,2.75529365,,4.863773196,109.8924188,81.13010801,331.1863132,,2.681867647,4.893804914,-6.409039366,8.013134212,-0.872399891,50,4.832007071,4.544018346,-135.9242963,-5.79208378,-11.91632606,31.5076696,-17.27523019,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,422307a4-4a98-421a-b5a6-d0b1e71a3c15,53fbd87a-cda6-11ec-85c9-2b9b1d98a1f3,93.55218564,4.979136162,1.000537372,-2.229263203,-2.07838993,83.76390423,2.450101546,0.345164248,-5.233952995,1.089780141,0.399979244,10.75981784,11.98039254,-5.415951289,85.99828136,2240.948751,-212.4615042,99.5535726,-0.739880401,-0.094385477,-0.666084359,3.118434552,64.79722672,61.67479397,-0.321504788,2.348422465,2.78654928,15.49631703,330.8235757,,,,,,,,,0.996124702,1,,47.05581455,high,high,12.60154678,-69.82851165,53.61301128,Emiliano Gonzalez,gonzaem47,Uc san diego
