PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/7/22,2:03:06 PM,1,1,Noah Conlon,conlono42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,88.69846232,-2.439848129,-2.077417666,2236.392341,231.311789,1:45,5.168761786,1.734399526,6.730367126,-23.10693792,11.72490754,12.00639189,2.43035813,-0.02408824,80.38314762,-5.685230844,-0.969996097,0.422554544,,,,,,,,,,,,-7.225922453,7.183391326,-1.60235996,50,4.998991009,4.358774307,-129.0621078,-6.124129792,-12.11520711,28.35795946,-20.13015149,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,1868aac5-ce49-11ec-b081-81caf278dfb3,88.87179578,5.167441967,1.739238109,-2.425513802,-2.132692215,80.5268913,2.431783017,-0.027708044,-5.662575457,-1.026153502,0.42241487,12.52237113,10.33374603,-18.41302391,73.86545806,2121.898527,-706.3974422,94.8804236,-0.593080511,-0.315864721,-0.740597722,,,,,,,,,,,,,,,,,0.995690643,1,,,high,high,23.52108775,-67.36136487,53.76963287,Emiliano Gonzalez,gonzaem47,Uc san diego
2,5/7/22,2:03:23 PM,1,2,Noah Conlon,conlono42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,1,Sinker,,StrikeSwinging,,,,0,0,,86.67249276,-2.390998015,-3.62453454,1731.694267,236.7951068,2:00,5.201971592,1.601666693,6.32226769,-28.35339597,8.308606034,8.487963373,0.95921817,-0.454225221,79.7345754,-8.812673741,-1.124892233,0.435792359,,,,,,,,,,,,-5.684182999,5.235430321,-1.341103564,50,5.013573154,7.728227776,-125.8919988,-6.090067459,-9.101798985,26.09352591,-23.7908159,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,22a30e59-ce49-11ec-86d2-0dfa72a13c6d,86.83273834,5.199493312,1.605421178,-2.361244999,-3.670468822,79.86485261,0.961751916,-0.457215056,-8.773506788,-1.171294904,0.435657574,8.90800236,6.829449974,-41.75615321,6.605517758,1291.819429,-1153.242212,74.59858549,-0.408527727,-0.665961789,-0.624179455,,,,,,,,,,,,,,,,,0.995838089,1,,,high,high,95.94496598,-26.751863,54.17773231,Emiliano Gonzalez,gonzaem47,Uc san diego
3,5/7/22,2:03:45 PM,1,3,Noah Conlon,conlono42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,2,Sinker,,BallCalled,,,,0,0,,86.93636696,-2.88265012,-2.659147646,1627.314157,236.168914,1:45,5.124230737,1.595265526,6.275490301,-28.75537416,7.70485011,7.483466294,0.543538708,-0.59932478,78.85818509,-8.769419467,-1.708241231,0.434591462,,,,,,,,,,,,-4.849131444,5.034686504,-1.402728061,50,4.89719033,5.647451365,-126.3345857,-7.213929252,-7.821340332,26.21664588,-24.05342075,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,2f3c203d-ce49-11ec-be6e-e1892ad72345,87.09444951,5.121559941,1.598766847,-2.850630242,-2.701956809,78.98729471,0.546315414,-0.602224951,-8.727022976,-1.752646032,0.434458181,7.874934184,6.218035011,-44.84565062,10.42878952,1153.780524,-1147.580877,70.90090865,-0.394738247,-0.705199344,-0.58896146,,,,,,,,,,,,,,,,,0.977757712,1,,,high,high,99.38591057,-31.27425717,54.2245097,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/7/22,2:04:05 PM,1,4,Noah Conlon,conlono42,Right,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,1,2,Sinker,,InPlay,,GroundBall,Out,1,0,,86.18072909,-2.493884881,-3.007172168,1481.140592,237.9425207,2:00,5.20648171,1.591263273,6.26484398,-30.11849328,7.320054411,7.549388226,0.865007971,-0.060843644,78.93754359,-9.065457647,-0.736863445,0.438481008,,,,,,,,,,,,-5.051521415,4.732990947,-1.372555023,50,5.00712125,6.354863233,-125.2368025,-6.331398216,-8.00700625,25.7568572,-24.67193587,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,3b4b5ccf-ce49-11ec-90e8-4582aa974f14,86.33721715,5.203569682,1.594686226,-2.459190944,-3.048766492,79.06322204,0.867899636,-0.063575821,-9.021027848,-0.779191717,0.438346356,7.951561153,5.74770955,-40.91942319,27.03963827,1119.196436,-970.1426653,75.56314653,-0.401066332,-0.654997014,-0.640409797,,,,,,,,,,,,,,,,,0.966307805,1,,,high,high,65.66432556,-41.02412486,54.23515602,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/7/22,2:04:39 PM,2,1,Noah Conlon,conlono42,Right,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,0,0,Cutter,,StrikeCalled,,,,0,0,,80.70024411,-0.557981431,-1.922707062,2362.535745,202.6822891,12:45,5.286020888,1.628897424,6.064237274,-35.85408584,6.608300153,0.024852726,2.366649846,0.74882361,74.6719204,-7.776242876,-0.730531904,0.469000947,,,,,,,,,,,,-0.550948342,3.742686566,-1.480001446,50,5.223559096,3.942007102,-117.4469974,-2.166835222,-0.769147348,22.35068337,-26.94909976,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,4fdec93d-ce49-11ec-80ef-abfb4f41e5dc,80.84712327,5.282018165,1.633238782,-0.510136691,-1.975643519,74.7848095,2.370459507,0.745560343,-7.717633168,-0.7808194,0.468859449,0.512679898,4.82467313,-80.14059573,54.85684667,404.5395145,-2327.643213,17.12310662,-0.157987599,-0.985230898,-0.06603027,,,,,,,,,,,,,,,,,0.977321458,1,,,high,high,40.62883799,5.30414552,54.43576273,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/7/22,2:04:55 PM,2,2,Noah Conlon,conlono42,Right,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,0,1,Fastball,,InPlay,,GroundBall,Out,1,0,,88.71006664,-2.905800192,-3.800669358,2199.673607,233.531266,1:45,5.213142522,1.557055782,6.383718682,-23.71008229,11.31834845,12.17247786,1.581813946,-0.378500536,80.66401134,-7.09818046,-0.19570367,0.427161777,,,,,,,,,,,,-7.42384794,6.914463598,-0.743441056,50,5.744209157,5.276451968,-128.4503954,-6.444088875,-12.33582201,27.96004577,-20.68464505,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,590a7921-ce49-11ec-bcb2-c37d5171d9f5,88.87925328,5.211729388,1.561668611,-2.889464705,-3.855644055,80.80320529,1.583408496,-0.382104486,-7.072977036,-0.252002852,0.427034782,12.67414457,9.945352672,-19.8465185,98.49219187,2069.024953,-746.7929588,94.06054362,-0.559080857,-0.339501713,-0.756417333,,,,,,,,,,,,,,,,,0.982731152,1,,,high,high,1.357027321,48.75342336,54.11628132,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/7/22,2:05:33 PM,3,1,Noah Conlon,conlono42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,0,0,Fastball,,Foul,,,,0,0,,90.0874993,-2.344446271,-1.35028289,2280.070753,226.0110032,1:30,5.243149125,1.407736904,6.240999902,-21.84055676,12.77953338,10.9130484,2.430385606,0.269107968,81.35797596,-5.885038378,-0.058771,0.419931952,,,,,,,,,,,,-6.308685293,7.596263761,-1.312702071,50,5.058114399,2.757910778,-131.0331688,-6.021847206,-10.9012334,29.26965049,-19.04791626,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,700db7a6-ce49-11ec-9d7c-2f1906473964,90.26828584,5.242303721,1.412233671,-2.33551231,-1.40199537,81.50772327,2.431510211,0.26567987,-5.867248297,-0.11146492,0.419789288,11.40553619,11.42234635,-23.14089809,68.40596406,2096.619017,-896.0532005,91.95412089,-0.638639958,-0.392993594,-0.661585247,,,,,,,,,,,,,,,,,0.987776493,1,,,high,high,28.43463235,-27.85736429,54.2590001,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/7/22,2:05:54 PM,3,2,Noah Conlon,conlono42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,0,1,Cutter,,BallCalled,,,,0,0,,80.45124492,0.417363933,-1.754437688,2290.02966,218.7890268,1:15,5.274600356,1.675601436,6.013270429,-35.99588621,6.817565716,2.298774775,3.214560198,1.004169677,73.619432,-6.934178255,-0.400309391,0.470935734,,,,,,,,,,,,-1.737475902,3.576689729,-1.539430808,50,5.287581954,3.520421819,-117.0860837,-0.179514473,-2.409937688,22.27933275,-27.21306028,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,7c46d3e1-ce49-11ec-a85f-57c12988923f,80.6072754,5.270691091,1.680364709,0.46349557,-1.811824471,73.74096357,3.218430257,1.000418769,-6.875019644,-0.457668235,0.470784546,2.826591629,5.015960125,-76.62236277,63.01830386,529.840031,-2227.892589,23.13681959,-0.180341781,-0.972866259,-0.144941657,,,,,,,,,,,,,,,,,0.997828549,1,,,high,high,33.28352653,6.904357587,54.48672957,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/7/22,2:06:13 PM,3,3,Noah Conlon,conlono42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,1,1,Cutter,,StrikeSwinging,,,,0,0,,81.86408854,-1.891452622,-2.654628985,2249.252687,238.6759823,2:00,5.312618776,1.376984851,6.171914261,-34.90314232,6.271010036,3.935068698,1.457420727,-1.083359206,74.91159156,-8.563214959,-2.408232379,0.461831824,,,,,,,,,,,,-2.886794342,3.94645508,-1.178330536,50,5.151632926,5.407944298,-119.0408517,-4.923602897,-4.140011392,22.9718535,-26.51435684,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,8768eb11-ce49-11ec-85ea-095b5e12a933,82.01510743,5.308906195,1.381660595,-1.847059151,-2.711573881,75.03278483,1.461024235,-1.087088893,-8.507830561,-2.465652785,0.461689609,4.457718544,4.562916406,-72.44880425,60.00149646,678.2797986,-2144.545212,30.15578474,-0.156773063,-0.953447883,-0.257603071,,,,,,,,,,,,,,,,,0.997042131,1,,,high,high,35.99865319,2.200061318,54.32808574,Emiliano Gonzalez,gonzaem47,Uc san diego
10,5/7/22,2:06:32 PM,3,4,Noah Conlon,conlono42,Right,Uc san diego,Austin Schell,schelau43,Right,Cal state fullerton,Windup,1,Top,2,1,2,Slider,,BallCalled,,,,0,0,,77.32663658,-1.795513637,-2.390182772,,,,5.31286737,1.447856819,6.261757247,,,,-0.269295061,-1.093854687,71.83733604,-12.20653716,-3.211659419,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,f5720a7a-c4b0-4696-9162-3964be9b6853,92ae6c42-ce49-11ec-8288-d51b8ae94532,77.44344475,5.307172137,1.447856819,-1.727149738,-2.390182772,71.91785927,-0.264165665,-1.093854687,-12.13014193,-3.211659419,0.487550854,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.23824275,Emiliano Gonzalez,gonzaem47,Uc san diego
