PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/8/22,1:04:13 PM,1,1,Zach Ernisse,ernisza42,Left,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,88.66973159,-1.987245023,1.24010319,1929.677168,148.9874675,11:00,5.67410288,-0.879761426,6.123023297,-21.33069876,13.92513213,-7.713034249,3.414726403,1.112729212,80.64842635,-5.096436042,1.755176646,0.427353239,,,,,,,,,,,,4.563465554,8.165402907,0.789034548,50,5.511070558,-2.554283041,-128.9887588,-5.134802708,7.64809168,28.1453062,-18.48932921,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,08c7e35c-cf0a-11ec-ab3f-116ff99dab1b,88.84568731,5.673193851,-0.881816492,-1.977041113,1.264804728,80.80053508,3.415939033,1.114399992,-5.07724302,1.780884069,0.42720951,-7.938040376,12.55994364,-18.38684453,69.60939488,1831.164178,-608.6803142,94.89484607,-0.813300667,-0.315431163,0.488922496,,,,,,,,,,,,,,,,,0.997714309,1,,,high,high,27.35154461,23.43150446,54.3769767,Emiliano Gonzalez,gonzaem47,Uc san diego
2,5/8/22,1:04:31 PM,1,2,Zach Ernisse,ernisza42,Left,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,87.06994151,-4.758165875,0.041090428,1939.707644,154.7118111,11:15,5.575634462,-0.788299248,6.133811931,-21.81055299,14.88508851,-6.783886598,0.294363193,0.038951113,78.51949633,-8.773487591,0.058972198,0.435992245,,,,,,,,,,,,3.706118816,9.485196331,0.788693999,50,5.200869195,0.114196742,-126.3437492,-11.17495153,5.967119367,26.68143715,-16.90219741,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,134ba2f8-cf0a-11ec-b9de-a1338e455912,87.23799409,5.574688494,-0.789922589,-4.747525706,0.060700298,78.66074497,0.29572306,0.04028802,-8.752384565,0.079580072,0.43584847,-6.962279065,13.51692271,-21.56399719,63.7903262,1803.942887,-712.9206163,93.00076186,-0.840885571,-0.367540242,0.397272736,,,,,,,,,,,,,,,,,0.997755896,1,,,high,high,32.58870642,21.67962782,54.36618807,Emiliano Gonzalez,gonzaem47,Uc san diego
3,5/8/22,1:04:56 PM,1,3,Zach Ernisse,ernisza42,Left,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,2,0,Fastball,,Foul,,,,0,0,,88.26371401,-1.681015642,-0.877609964,2030.933473,154.5778348,11:15,5.533331367,-0.811098201,6.218535519,-19.75355573,15.08754498,-6.620014807,3.29473332,-0.558106197,81.01198511,-5.001697419,-0.486403933,0.428681795,,,,,,,,,,,,3.390035945,8.874348572,0.880024527,50,5.397583949,2.168745356,-128.4430944,-4.377055113,5.624870454,28.28736646,-17.44940894,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,224bdb61-cf0a-11ec-a8f5-851d6e708d7d,88.44238599,5.532931453,-0.812876938,-1.67680897,-0.855894865,81.16779515,3.295500027,-0.556643749,-4.989282715,-0.463699096,0.428533435,-6.823833817,13.75972401,-16.99935585,72.75544566,1942.198013,-593.7656517,95.63080421,-0.863708055,-0.292360956,0.410528278,,,,,,,,,,,,,,,,,0.997214419,1,,,high,high,24.52009891,45.09761032,54.28146448,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/8/22,1:05:18 PM,1,4,Zach Ernisse,ernisza42,Left,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,2,1,Fastball,,BallCalled,,,,0,0,,87.73197282,-1.671632085,1.227318736,1956.448992,152.3102253,11:00,5.528897463,-0.982327957,6.118298095,-21.57083582,14.95242222,-7.170795382,3.356842515,0.823471198,79.30978598,-5.060198095,1.173202271,0.431978507,,,,,,,,,,,,4.255053034,8.618769954,0.892189504,50,5.389972239,-2.516188816,-127.6425675,-4.370447145,6.979679125,27.68177314,-18.03644701,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,2f8f6a3a-cf0a-11ec-bc40-ebca2b950830,87.91027179,5.528274174,-0.984353613,-1.664840435,1.251781719,79.46402798,3.357877265,0.825144953,-5.043685787,1.198968373,0.431829917,-7.402397224,13.54719926,-12.17088398,76.91143106,1912.474195,-412.4743792,97.75231567,-0.865573851,-0.210828077,0.454239397,,,,,,,,,,,,,,,,,0.997746387,1,,,high,high,20.77971205,14.23051826,54.38170191,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/8/22,1:05:39 PM,1,5,Zach Ernisse,ernisza42,Left,Uc san diego,Caden Connor,connoca44,Left,Cal state fullerton,Windup,1,Top,0,3,1,Fastball,,InPlay,,LineDrive,Out,1,0,,89.49751709,-2.062464413,1.349429739,1899.163637,154.7984441,11:15,5.514058388,-1.065933778,6.191044555,-20.77352347,14.90075988,-6.379649986,2.75416354,-0.865989146,80.2452076,-5.858789341,-0.773477055,0.422847918,93.93309604,20.08512877,17.76075276,1639.975848,,,,336.9533914,,19.30247955,3.696257076,3.853823643,8.597684075,0.967641923,50,5.348768312,-2.872196557,-130.1971043,-5.300837108,6.581186388,28.64286552,-17.49175827,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,3c0446f0-cf0a-11ec-a2d9-9f9633a915e4,89.67446658,5.513572657,-1.06765476,-2.057165021,1.37070606,80.39780035,2.755113313,-0.86448165,-5.843749196,-0.750320286,0.422705511,-6.589896514,13.54063818,-11.14956494,82.72047954,1863.31835,-367.2427619,98.11257513,-0.887737777,-0.193370784,0.417767135,26.91102009,84.01569537,32.25812241,1.159614331,3.776634318,3.297142196,111.3817081,318.0121116,25.43176681,50.6654577,0.937023975,0.986742637,-0.089717337,-0.135239666,,,0.992548194,1,0.986853323,52.81949035,high,high,15.55156842,-16.07861755,54.30895545,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/8/22,1:06:13 PM,2,1,Zach Ernisse,ernisza42,Left,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,90.26257889,-2.153622012,3.383585089,1877.878786,151.6251955,11:00,5.590163729,-0.804094478,6.19113205,-20.51745705,13.91500036,-6.968796913,2.843643025,1.092409197,81.72050104,-5.812660836,1.093876746,0.419696673,,,,,,,,,,,,4.796358852,8.149453761,0.55288608,50,5.417589335,-7.535585478,-131.1191314,-5.565729675,8.316383035,28.7645191,-18.04375177,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,507ce9f5-cf0a-11ec-ade1-853751252fd8,90.44074361,5.589408427,-0.805954805,-2.145148068,3.40589253,81.87243191,2.844692311,1.093941867,-5.795903051,1.117696092,0.419557306,-7.183795379,12.61435961,-15.53185865,92.78796328,1809.301862,-502.8474004,96.34817088,-0.847726743,-0.267774153,0.457882487,,,,,,,,,,,,,,,,,0.993784445,1,,,high,high,6.490833046,47.95223369,54.30886795,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/8/22,1:06:28 PM,2,2,Zach Ernisse,ernisza42,Left,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,1,0,Fastball,,Foul,,,,0,0,,90.16937085,-3.055001791,2.224538533,2010.183648,154.2924261,11:15,5.542704596,-1.052244596,6.187585099,-20.16800247,14.70765636,-6.791545648,1.985536729,0.229216013,81.33287633,-6.623874997,0.905358009,0.420076267,69.44633041,64.67041476,57.15746201,,91.70926026,60.74052669,104.1272697,175.9072155,,56.73561117,5.153957745,4.333984164,8.828407195,0.888162267,50,5.302464175,-4.879996401,-131.0175927,-7.602153896,7.501752675,28.76415786,-16.8928384,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,59540307-cf0a-11ec-b2a5-b1da3fc4f7b5,90.34602245,5.542144904,-1.053932575,-3.04887223,2.24484159,81.48362265,1.986486399,0.230622811,-6.60883499,0.927009381,0.419936435,-6.986017387,13.41440645,-20.19499059,70.66559386,1886.604006,-693.947855,93.85232077,-0.845627888,-0.345216148,0.407110902,24.9619933,16.11314895,62.76988234,-0.173141806,1.56236834,2.129394573,147.084543,96.48567603,,,,,,,,,0.997819117,1,,25.95923694,high,high,26.40096552,29.10500825,54.3124149,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/8/22,1:06:53 PM,2,3,Zach Ernisse,ernisza42,Left,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,1,1,Fastball,,StrikeSwinging,,,,0,0,,90.46357387,-2.083998447,2.448566971,1971.01352,152.1065673,11:00,5.569815977,-0.896480089,6.178413974,-19.62158971,14.2100214,-7.075659558,3.006121147,0.717286699,82.14943341,-5.351913098,1.127341092,0.418632424,,,,,,,,,,,,4.57441131,8.360598192,0.715288773,50,5.402414001,-5.403592993,-131.5176684,-5.401077191,7.974257295,29.12113017,-17.59959254,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,67efa799-cf0a-11ec-8ac6-cfedda7c89a0,90.64201953,5.569233221,-0.898332488,-2.077601377,2.470955658,82.30294445,3.007025182,0.718821886,-5.337471611,1.151013722,0.418492119,-7.279356056,12.95038445,-17.48445743,75.35099393,1879.949713,-592.1852512,95.3798487,-0.842985472,-0.300447077,0.446214128,,,,,,,,,,,,,,,,,0.996586728,1,,,high,high,22.18410546,34.91337377,54.32158603,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/8/22,1:07:11 PM,2,4,Zach Ernisse,ernisza42,Left,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,1,2,Fastball,,Foul,,,,0,0,,90.8392894,-2.159403635,1.077502191,1964.32221,152.3230514,11:00,5.607694377,-1.100189828,6.199608533,-19.47216392,14.01714003,-6.90227019,2.960634679,-1.069313787,81.78535446,-5.593186718,-0.551270092,0.416509185,95.39969828,32.49066582,39.98401558,3551.141768,,,,368.5781387,,51.18052892,5.366067072,4.084041153,8.285787457,1.022792791,50,5.435679729,-2.270616895,-132.1562908,-5.590588116,7.186067566,29.5018576,-17.59480656,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,73a77566-cf0a-11ec-813e-714cd2ea29f8,91.01670995,5.607093505,-1.101914798,-2.152731863,1.098576348,81.93804688,2.961608083,-1.067846038,-5.577750857,-0.528630012,0.416370768,-7.093726155,12.75572485,-20.65224865,73.0431298,1838.09152,-692.8068341,93.57382972,-0.828671655,-0.352695108,0.434637145,51.70640243,61.65621519,51.24511204,1.114230925,0.807516339,2.908289345,287.1684344,231.0500696,63.65648619,-34.8840664,1.238985633,0.85816394,-0.252228157,-0.447141598,,,0.967087044,1,0.997477151,51.26208959,high,high,24.26118318,36.53119693,54.30039147,Emiliano Gonzalez,gonzaem47,Uc san diego
10,5/8/22,1:07:33 PM,2,5,Zach Ernisse,ernisza42,Left,Uc san diego,Jackson Lyon,lyon-ja44,Right,Cal state fullerton,Windup,1,Top,1,1,2,Curveball,,Foul,,,,0,0,,81.45803591,0.494472455,1.769633327,2465.674218,326.6572849,5:00,5.447855948,-1.353918151,6.139820287,-45.19654779,-3.467445471,5.575287735,2.792769126,0.256288743,73.80402707,-8.528975404,2.582905133,0.464933718,,,,,,,,,,,,-2.517816091,-2.034698886,1.216320365,50,5.46210225,-3.819842384,-118.5374548,-0.253586828,-3.562762504,23.81900674,-35.05319113,UC San Diego,Cal State Fullerton,tri01,NCAA D1,BWC,851fe9f4-55dd-4b8d-9fe3-8ec9a8ccae23,8005f8dc-cf0a-11ec-82fa-05cb44d010fc,81.5671389,5.440175661,-1.35715111,0.588990557,1.810285049,73.87434154,2.799694964,0.258739314,-8.423634779,2.620116118,0.46483273,5.197877323,-5.797596131,71.81654745,47.46741467,769.4396173,2342.543922,31.20605357,0.260694692,0.95006222,-0.171522755,,,,,,,,,,,,,,,,,0.996672027,1,,,high,high,47.2793268,-84.55883655,54.36017971,Emiliano Gonzalez,gonzaem47,Uc san diego
