PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/20/22,6:33:41 PM,1,1,Austin Smith,smithau85,Left,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,86.20755162,-2.304101409,1.441215586,2052.431259,150.1567949,11:00,5.417066149,-1.746960798,6.199161172,-22.50705074,15.79432639,-7.964395302,2.808082352,-1.712246455,77.31371062,-5.39645887,-0.834718653,0.439150451,,,,,,,,,,,,4.74816177,9.217575256,1.642750483,50,5.233063185,-2.920692716,-125.381621,-5.684298201,7.514053067,26.74145662,-17.58706772,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,0c46fffd-d8a6-11ec-b20c-9fafe6b5ee54,86.38258904,5.416558409,-1.749548933,-2.29865192,1.472974574,77.46591756,2.80908054,-1.710024465,-5.380538477,-0.800507153,0.438999498,-8.279895113,14.28468287,1.240062728,80.25392358,2051.950571,44.41766658,99.97657956,-0.867187306,0.021641488,0.49751163,,,,,,,,,,,,,,,,,0.9977859,1,,,high,high,17.77146878,-62.2934766,54.30083883,Emiliano Gonzalez,gonzaem47,Uc san diego
2,5/20/22,6:33:53 PM,1,2,Austin Smith,smithau85,Left,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,0,0,,86.03695367,-3.629642312,2.742300347,2187.435899,156.2634894,11:15,5.313512992,-1.670404226,6.190775359,-21.27055099,17.32862775,-6.910127329,1.386945915,-0.361304414,77.28127778,-6.866840975,0.276423791,0.440777534,,,,,,,,,,,,4.578275831,10.41543863,1.467506628,50,5.029521176,-5.777796757,-124.8866776,-8.531880714,7.195824194,26.2804236,-15.80376783,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,13a30a66-d8a6-11ec-bd57-612bca67202e,86.21032733,5.31336074,-1.672452007,-3.628493593,2.767652557,77.43215063,1.387637898,-0.359541258,-6.855510937,0.303777445,0.440627221,-7.163000757,15.89775809,-4.574063418,67.00870441,2180.469093,-174.4429736,99.68150806,-0.912490779,-0.079747696,0.401249153,,,,,,,,,,,,,,,,,0.992637098,1,,,high,high,29.69216603,-28.93132933,54.30922464,Emiliano Gonzalez,gonzaem47,Uc san diego
3,5/20/22,6:34:06 PM,1,3,Austin Smith,smithau85,Left,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,1,1,Fastball,,BallCalled,,,,0,0,,87.22147368,-1.864199323,1.97675822,2198.403852,155.2904296,11:15,5.384959844,-1.654255502,6.035363385,-20.79214908,17.20060776,-7.057736886,3.329358257,-1.180840915,77.75403246,-4.821719482,-0.477098827,0.435576082,,,,,,,,,,,,4.395137507,9.762848459,1.503949345,50,5.2289339,-4.160929398,-126.815956,-4.735936434,7.110680265,27.51751934,-16.37920955,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,1b34f7b3-d8a6-11ec-80bd-d3e8931eff22,87.40267958,5.385015707,-1.656511172,-1.865672356,2.004541866,77.91236198,3.329904746,-1.178881607,-4.812612714,-0.446867893,0.435423167,-7.337173778,15.73821732,-0.145446872,74.22830848,2198.396768,-5.580701162,99.99967779,-0.90843544,-0.002538524,0.418017473,,,,,,,,,,,,,,,,,0.995388663,1,,,high,high,23.19452236,-0.914073034,54.46463661,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/20/22,6:34:21 PM,1,4,Austin Smith,smithau85,Left,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,2,1,Fastball,,InPlay,,GroundBall,Single,0,0,,86.36456939,-2.540401657,2.660404254,2186.535878,158.2714938,11:15,5.352327589,-1.712437342,6.154741107,-20.53905382,17.48685071,-6.26047877,2.485025103,0.536282726,77.92154754,-5.528162365,1.586579164,0.443824527,96.68668442,-3.278499279,3.078963764,1990.179443,,,,27.39802362,,1.840753443,0.194928866,4.286119141,10.07844577,1.451134142,50,5.730334415,-6.220922606,-124.1654543,-4.598337498,6.651224903,26.24919759,-16.53425814,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,25172c2b-d8a6-11ec-b361-a705249c5d31,86.54463901,5.352386265,-1.714458797,-2.541816909,2.68503327,78.07721191,2.485488287,0.537873245,-5.519929854,1.612451962,0.44367528,-6.501373715,16.08896473,0.342075368,84.19695078,2186.496909,13.05428838,99.99821776,-0.928931941,0.005970306,0.370202382,5.184754499,96.38909909,-5.529452192,-0.579223893,0.545792505,2.418247361,0.880070598,27.3838853,-0.133445697,-3.025594374,-0.033004687,-0.993174102,0.069110574,-0.093962391,,,0.99777796,1,0.997761849,56.30141949,high,high,14.2227443,10.29676004,54.34525889,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/20/22,6:34:59 PM,2,1,Austin Smith,smithau85,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,84.00268329,-1.300145698,1.287508775,2121.715509,156.1537872,11:15,5.463725166,-1.537073849,6.149463063,-22.11179793,17.11046296,-6.703745069,3.503027733,-0.25099701,76.40556597,-4.914081674,0.716005888,0.451068548,,,,,,,,,,,,4.041304681,9.727243231,1.442749742,50,5.353554141,-2.552315214,-122.2309396,-3.418208805,6.07116908,25.66783236,-17.56101172,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,3b279054-d8a6-11ec-9aeb-574f460c71d2,84.18350085,5.463461252,-1.53939147,-1.297884939,1.315339795,76.56225499,3.503781074,-0.249108807,-4.901774827,0.745026406,0.450903751,-6.969850241,15.59880087,1.83068922,81.1330155,2120.63257,67.78057502,99.94895925,-0.914167048,0.031946118,0.404076791,,,,,,,,,,,,,,,,,0.996791413,1,,,high,high,16.98028605,-5.666925897,54.35053694,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/20/22,6:35:31 PM,2,2,Austin Smith,smithau85,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,85.61975366,-1.569252701,4.186971871,2051.571735,155.7728331,11:15,5.444159973,-1.90925291,6.109176769,-22.8071745,16.75741618,-6.580534437,3.441518589,0.368237808,76.16630535,-4.849569491,1.617456534,0.443707561,,,,,,,,,,,,4.778886707,9.463269051,1.591233583,50,5.312289374,-8.903363121,-124.2726549,-4.053360504,7.433032669,26.16020765,-17.45497539,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,4e18b485-d8a6-11ec-a276-1fb2d243f77d,85.80118356,5.443875926,-1.911536666,-1.566617883,4.214473695,76.32224092,3.442401839,0.370175786,-4.835206764,1.647269451,0.443550843,-6.857448117,15.23240541,7.027427159,83.59512462,2036.159712,250.9984292,99.24876996,-0.905074988,0.122344457,0.407272758,,,,,,,,,,,,,,,,,0.997833947,1,,,high,high,14.76438784,-48.01100375,54.39082323,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/20/22,6:35:49 PM,2,3,Austin Smith,smithau85,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Stretch,1,Top,0,2,0,Fastball,,Foul,,,,0,0,,85.91591184,-2.862724607,0.87402293,2240.397359,158.6588374,11:15,5.382541224,-1.660446208,6.250488734,-19.76170363,17.67675193,-6.184656686,1.093487616,-1.36982903,78.3158181,-6.591640698,-0.301242284,0.440382938,,,,,,,,,,,,3.642896359,10.52071503,1.598669136,50,5.160263736,-1.72584565,-124.9349582,-6.823745804,5.721553169,26.64905217,-15.65015637,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,582a06e6-d8a6-11ec-bbbf-95b74ee0a9de,86.09264879,5.38266289,-1.662440552,-2.865035641,0.898852991,78.4823442,1.093988641,-1.367738007,-6.58408416,-0.272899571,0.440228928,-6.410449753,16.31387967,0.339755344,80.30851245,2240.357969,13.2851412,99.99824185,-0.931413643,0.005929815,0.363914087,,,,,,,,,,,,,,,,,0.997355193,1,,,high,medium,17.72233879,-72.11909068,54.24951127,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/20/22,6:36:15 PM,2,4,Austin Smith,smithau85,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Stretch,1,Top,0,2,1,Changeup,,InPlay,,FlyBall,HomeRun,0,2,,79.11095936,-1.886014971,3.251782111,1691.376794,140.279744,10:45,5.390011049,-1.589272179,6.380353837,-30.78139397,13.12096123,-8.664872538,1.615138982,0.228261806,71.80046363,-8.42220458,1.306516923,0.476886943,98.04470074,24.19015615,-36.90929232,2507.073917,,,,360.4781887,,-46.32460123,4.154205171,5.701205898,7.75492066,1.359260475,50,5.239758384,-6.30655765,-114.9914649,-4.598072898,7.604670866,22.08168289,-21.829989,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,684e33d9-d8a6-11ec-a2de-3fbbaf144783,79.270727,5.387754126,-1.592573658,-1.859163358,3.292273322,71.93107295,1.617763265,0.23102868,-8.381830051,1.348930929,0.476725395,-9.034010652,11.356295,18.35133808,8.942750426,1605.359717,532.5182037,94.91437526,-0.730056394,0.314843035,0.606540621,-53.71045014,71.51144545,40.17541609,-0.477575057,3.971570948,2.151187006,-260.7207976,248.9361168,-67.36199851,-11.26163952,0.850264158,0.778771825,0.068524091,0.62355344,,,0.997327229,1,0.997595285,56.85839391,high,high,98.04847538,24.53225042,54.11964616,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/20/22,6:37:01 PM,3,1,Austin Smith,smithau85,Left,Uc san diego,Stone Miyao,miyaost42,Left,Hawaii,Windup,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,86.39869745,-2.15899413,3.260517376,2084.902213,153.8500926,11:15,5.379687223,-1.689576013,6.247365224,-20.81190163,16.25319755,-7.106236563,2.871933484,0.24147752,77.47571661,-5.299660786,1.654646656,0.438181569,87.53247085,67.03888279,7.958355081,,14.69338264,109.0142399,158.5931714,224.3461817,,7.820058489,6.282454448,4.844341773,9.524747279,1.450825646,50,5.208811514,-6.942581553,-125.5228518,-5.34967274,7.68783947,26.66976131,-17.05853307,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,839251e3-d8a6-11ec-90d3-ffd132c7fe0d,86.57680657,5.379408557,-1.691912497,-2.156367364,3.288860964,77.63017934,2.872736584,0.243446861,-5.286600584,1.684959688,0.43802951,-7.364821351,14.89256541,1.842184987,80.447576,2083.824658,67.02263092,99.94831627,-0.897180091,0.032146654,0.440493446,4.727760998,33.81810232,80.59725606,-0.208287633,2.516265156,3.104182064,30.52508254,222.2598222,,,,,,,,,0.994092291,1,,43.85492836,high,high,17.5971816,-87.29882504,54.25263478,Emiliano Gonzalez,gonzaem47,Uc san diego
10,5/20/22,6:37:33 PM,4,1,Austin Smith,smithau85,Left,Uc san diego,Matt Wong,wong-ma43,Right,Hawaii,Windup,1,Top,1,0,0,Fastball,,InPlay,,LineDrive,Double,0,0,,87.35587774,-2.239873549,2.706393597,2148.376152,152.371119,11:00,5.367800917,-1.538272786,6.255371908,-20.54630276,16.22469851,-7.713771445,2.249435577,0.085291004,79.04395836,-6.418031712,1.139985074,0.433186152,103.9265206,20.56421567,-11.84566818,2134.28028,,,,399.8669733,,-11.27076103,4.43654545,5.000402891,9.472189224,1.341411639,50,5.191680181,-5.774662706,-126.9694149,-5.567004849,8.116542579,27.37477644,-16.79900305,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9227ff61-3a05-432b-aa47-65f8a34df1c8,970ff723-d8a6-11ec-8934-09e155e80edd,87.53253557,5.367579672,-1.540584387,-2.237814307,2.734908422,79.19508014,2.250152513,0.087234307,-6.406271893,1.170266158,0.433038112,-7.99385066,14.86714898,-5.14619695,45.62109679,2139.716192,-192.703681,99.59690671,-0.882398648,-0.089697366,0.461873368,-19.97424264,95.23204599,36.50491365,-0.079112893,1.095123083,2.18859619,-78.15227854,392.1553489,-12.5062909,78.37502462,1.41717133,0.988661948,0.140742169,-0.052337323,,,0.974496714,1,0.993865596,61.18649334,high,high,48.94101289,-58.63093805,54.24462809,Emiliano Gonzalez,gonzaem47,Uc san diego
