PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/21/22,2:04:11 PM,1,1,Zach Ernisse,ernisza42,Left,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Single,1,0,,89.73334437,-2.103041695,2.423994433,1910.705382,152.8389963,11:00,5.58263765,-1.073716934,6.008414106,-20.90792231,14.28052329,-6.879284011,2.67481402,0.309270045,81.16082322,-6.201611376,0.913571507,0.423408998,,,,,,,,,,,,4.411820944,8.284555016,0.887319742,50,5.406357718,-5.302978752,-130.4219131,-5.446127183,7.564829026,28.5831296,-17.96874909,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,90c396e8-d949-11ec-848c-05232a8073a7,89.91158689,5.581908465,-1.075449536,-2.094907874,2.444934806,81.31200727,2.675896277,0.310725307,-6.184481447,0.93603257,0.423267258,-7.083120596,12.94896411,-18.19812004,31.82173983,1815.13629,-596.7204579,94.99822983,-0.845225161,-0.312303751,0.433659768,,,,,,,,,,,,,,,,,0.996881201,1,,,high,high,61.36043415,72.02860694,54.49158589,Emiliano Gonzalez,gonzaem47,Uc san diego
2,5/21/22,2:04:47 PM,2,1,Zach Ernisse,ernisza42,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,88.585103,-1.503243835,0.367844988,1939.701666,148.9021503,11:00,5.581645086,-1.021346646,6.160275425,-21.51445843,13.54022294,-7.598942059,3.061722476,-0.695324238,81.00462146,-5.829282997,-0.014743162,0.427343668,,,,,,,,,,,,4.23677245,7.891351083,0.997370076,50,5.456674186,-0.596049169,-128.9301562,-4.044484686,7.090504875,28.24674259,-18.96737777,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,a64d5405-d949-11ec-a874-0fd895cf3e05,88.76141817,5.580637501,-1.023230619,-1.491887759,0.390439657,81.15375367,3.063003951,-0.693764705,-5.809222249,0.009228411,0.427199374,-7.813715533,12.16935798,-23.7732835,28.94001114,1775.113589,-781.9298559,91.51477364,-0.783628624,-0.403118619,0.472674897,,,,,,,,,,,,,,,,,0.993925522,1,,,high,high,63.95398997,69.39744312,54.33972457,Emiliano Gonzalez,gonzaem47,Uc san diego
3,5/21/22,2:05:00 PM,2,2,Zach Ernisse,ernisza42,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,1,0,Fastball,,StrikeCalled,,,,0,0,,87.49612638,-2.296466848,0.888616509,1993.759223,151.1656794,11:00,5.595106126,-1.053701693,6.073811581,-22.28149236,13.99459722,-7.329407872,2.479202578,-0.494973684,80.75767198,-6.413434046,-0.319743187,0.433492667,,,,,,,,,,,,4.24353334,8.278246569,0.988951829,50,5.405719952,-1.748647646,-127.262042,-5.788899464,6.924571148,27.33372884,-18.66565864,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,add86d30-d949-11ec-97bb-49e5952444d0,87.66868246,5.594000455,-1.055303501,-2.283882124,0.907897795,80.90492276,2.480412272,-0.493697735,-6.393424571,-0.298939856,0.433346864,-7.50461479,12.57910318,-28.26863228,68.32271151,1755.977055,-944.256544,88.07367685,-0.771541217,-0.473606107,0.424760409,,,,,,,,,,,,,,,,,0.998177513,1,,,high,high,28.50955964,45.5542489,54.42618842,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/21/22,2:05:14 PM,2,3,Zach Ernisse,ernisza42,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,1,1,Fastball,,Foul,,,,0,0,,88.80364966,-1.982118837,0.501203279,1971.394124,148.7448059,11:00,5.522433931,-0.719973363,6.190745178,-21.38047703,13.67080807,-7.705752777,2.698761527,-0.048921192,81.0184145,-6.208256263,0.218503553,0.426111735,94.08041342,-14.79801201,-55.92336711,,,,,11.52209331,,-46.59011388,0.076718743,4.353853212,8.045721168,0.686181058,50,5.362458743,-0.895391763,-129.2214369,-5.12439747,7.320965865,28.32128871,-18.64524024,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,b68785ee-d949-11ec-83b3-21d2b1ec3627,88.97588639,5.521483876,-0.721790206,-1.970995819,0.52365944,81.16557845,2.700034722,-0.047368296,-6.188199252,0.242565484,0.425970302,-7.909479437,12.29888784,-24.67110824,69.41598407,1791.442848,-822.8774589,90.87187725,-0.776831726,-0.417408903,0.471489423,-75.34114121,50.96498819,-24.02928648,0.044543024,2.235126774,2.78233147,-8.370295047,7.918130787,,,,,,,,,0.997868619,1,,48.3938333,high,high,27.52561434,31.73795878,54.30925482,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/21/22,2:05:34 PM,2,4,Zach Ernisse,ernisza42,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,1,2,Slider,,BallCalled,,,,0,0,,79.55311188,1.803353077,-0.040531765,2475.985427,324.4311912,4:45,5.363942467,-1.446589483,6.134569621,-51.28304453,-7.3996572,7.88176778,3.650451666,-0.075060739,72.24815658,-7.696158874,2.800051859,0.476783913,,,,,,,,,,,,-4.309392431,-4.580913326,1.4455984,50,5.474845632,-0.135251889,-115.742797,2.231380924,-5.795204651,23.34849291,-38.33439136,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,c265304f-d949-11ec-9cc4-47db096370f3,79.65053515,5.353996823,-1.44871365,1.924746696,-0.013906692,72.30531732,3.658797677,-0.073505448,-7.568678093,2.823611486,0.476692113,7.633598495,-10.16374499,58.13211445,22.66452796,1307.227191,2102.774574,52.7962393,0.429453872,0.84926775,-0.307105292,,,,,,,,,,,,,,,,,0.997157801,1,,,high,high,110.3980752,-11.90946465,54.36543038,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/21/22,2:05:49 PM,2,5,Zach Ernisse,ernisza42,Left,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,2,2,Slider,,InPlay,,FlyBall,Out,1,0,,79.36593519,1.126627243,0.10380257,2514.600784,334.3905285,5:15,5.310029017,-1.268908775,6.19054412,-52.54844983,-8.548399707,6.436800733,2.890647049,0.02083203,71.6051309,-8.494363092,2.543808552,0.477417251,83.17879245,50.23907217,-29.54866408,,-53.13366576,96.31621651,94.61208523,288.1735734,,-29.29484312,5.089051223,-3.485393875,-5.015098606,1.257850239,50,5.368237258,-0.384210476,-115.5101134,0.843438068,-4.664330825,23.42294224,-38.88550885,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,cb909340-d949-11ec-b4ab-e33dc74ec35e,79.45793408,5.299891627,-1.271799405,1.25046792,0.139832634,71.65442418,2.899171975,0.023084531,-8.363872537,2.578338053,0.477328437,6.103199961,-11.36305784,58.25984235,18.84670644,1322.850586,2138.523657,52.60678334,0.474387501,0.850442611,-0.227384838,-26.23623168,46.28062145,63.94118969,0.617740736,1.411650729,1.786125734,-141.0044705,251.3200106,,,,,,,,,0.997588901,1,,44.00299647,high,high,106.9620358,-10.87606269,54.30945588,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/21/22,2:06:24 PM,3,1,Zach Ernisse,ernisza42,Left,Uc san diego,Stone Miyao,miyaost42,Left,Hawaii,Windup,1,Top,2,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,89.64448476,-3.013681227,1.859919596,2085.312052,150.0884285,11:00,5.519153322,-1.124133424,6.217739282,-20.6530906,14.46831104,-7.911936435,1.977655915,-0.37838478,80.98042375,-6.647224914,0.397591527,0.422268935,95.78032093,4.759197737,23.40153736,2500.788715,,,,91.85060427,,25.69479886,0.711882491,4.850929095,8.715373339,0.989028033,50,5.283520959,-3.989568636,-130.291743,-7.477750771,8.299520951,28.57637985,-17.26279811,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,e07c97a3-d949-11ec-9ba7-8df3c144c407,89.8174634,5.51846312,-1.126092398,-3.005855957,1.883944653,81.12966095,1.978728611,-0.376694283,-6.630428295,0.423473108,0.42213056,-8.142904971,13.13749465,-22.25745237,67.63546375,1929.938046,-789.8515624,92.54912447,-0.802212161,-0.378769001,0.461508064,37.91015204,87.5987437,7.946719472,0.167676218,0.827854166,1.920033994,39.82433569,82.76808438,-3.143784587,-17.4764565,-0.156790737,-0.318731369,0.281383889,-0.905115143,,,0.996566996,1,0.996761253,54.17810808,high,high,29.12808262,57.58942754,54.28226072,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/21/22,2:07:02 PM,4,1,Zach Ernisse,ernisza42,Left,Uc san diego,Matt Wong,wong-ma43,Right,Hawaii,Stretch,1,Top,2,0,0,Slider,,BallCalled,,,,0,0,,77.21155644,2.444034188,-0.315681292,2382.965102,330.2157035,5:00,5.378597747,-1.604428716,5.93181412,-54.44527391,-6.945902719,6.655011464,3.99249386,0.08767971,70.12809323,-7.637829255,3.149697178,0.493243104,,,,,,,,,,,,-3.647316872,-4.883430715,1.625903565,50,5.54283485,0.436200566,-112.2546991,3.27432808,-4.617338406,21.81330333,-38.35625228,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,f704cdde-d949-11ec-be15-f115603e6ec4,77.30701093,5.368040063,-1.60754466,2.570675318,-0.277488197,70.18153771,4.001055414,0.089983425,-7.506941179,3.184756423,0.493149513,6.260771056,-9.943080107,59.72973268,26.27319373,1201.203865,2058.065099,50.40795033,0.437491423,0.863657255,-0.25039449,,,,,,,,,,,,,,,,,0.989166589,1,,,high,high,66.35412564,-34.94050573,54.56818588,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/21/22,2:07:24 PM,4,2,Zach Ernisse,ernisza42,Left,Uc san diego,Matt Wong,wong-ma43,Right,Hawaii,Stretch,1,Top,2,1,0,Slider,,BallCalled,,,,0,0,,76.37102207,1.366084605,1.020148026,2465.524384,334.8033242,5:15,5.267964156,-1.287724,6.182561303,-57.4273577,-9.841139305,7.47301698,2.586401391,1.740371181,70.01087925,-9.377416427,4.530378599,0.497041497,,,,,,,,,,,,-3.712903435,-6.136741756,1.207114097,50,5.341555721,-2.171048941,-111.0998907,1.131734678,-4.582039136,22.25153002,-39.74731169,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,03a520ca-d94a-11ec-be99-9ff6d4ef7a75,76.44940943,5.256501796,-1.290010947,1.507655649,1.048980085,70.04673622,2.595875791,1.742102576,-9.234119222,4.55661839,0.496962909,7.174264794,-13.16390703,48.87790604,32.85186119,1621.491004,1857.303803,65.76657745,0.595090029,0.753309849,-0.279985942,,,,,,,,,,,,,,,,,0.996081632,1,,,high,high,60.43332493,-25.55032975,54.3174387,Emiliano Gonzalez,gonzaem47,Uc san diego
10,5/21/22,2:07:44 PM,4,3,Zach Ernisse,ernisza42,Left,Uc san diego,Matt Wong,wong-ma43,Right,Hawaii,Stretch,1,Top,2,2,0,Fastball,,InPlay,,LineDrive,Double,0,0,,88.90105256,-2.78407764,1.781138571,2132.800077,153.1518712,11:00,5.450546597,-1.315841406,6.183814216,-19.6128409,15.42786718,-7.354486193,2.255541162,-0.091130201,81.0283064,-6.176333476,0.392261426,0.426079681,94.02224783,17.6820859,32.08120873,2981.198165,,,,293.5052629,,42.11972919,3.143951243,4.559099214,9.240487471,1.18538251,50,5.230582312,-3.792675174,-129.2314677,-6.886615626,7.66974258,28.24521199,-16.62883838,UC San Diego,Hawaii,tri01,NCAA D1,BWC,9f9688a7-59da-45ee-85f2-b94ef39a02c2,0f8cf751-d94a-11ec-b782-93d8b46e4b2f,89.07698792,5.450175571,-1.317785022,-2.780207098,1.804969224,81.1798883,2.25627594,-0.089514361,-6.164410059,0.41744462,0.425936907,-7.586616284,14.12473892,-17.18525354,72.35303334,2037.580017,-630.1617576,95.53544373,-0.852373691,-0.295462179,0.43146401,47.57795732,75.90105013,28.55786501,-0.082161907,0.0103713,2.035390361,196.8487175,217.7060444,62.09892209,2.276695458,0.676401399,0.528524641,-0.210366846,-0.822439964,,,0.997802908,1,0.994740985,51.98907513,high,high,24.88227,-81.40326598,54.31618578,Emiliano Gonzalez,gonzaem47,Uc san diego
