PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/22/2022,1:03:56 PM,1,1,Noah Conlon,conlono42,Right,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,89.43798596,-2.152068084,-3.389768044,2072.080161,229.8390646,1:45,5.0563896,1.612148836,6.50461314,-23.31444921,11.35971169,10.85554003,2.07993094,-0.14868242,81.04223079,-6.456255918,-0.600307681,0.421054854,98.2884881,-1.04535263,40.38730468,,,,,42.87548288,,38.85277385,0.298716674,-6.968198209,6.897364685,-1.380274423,50,4.895899065,7.387144443,-129.9836762,-5.551682456,-11.86737186,28.40517886,-20.42731261,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,50519d47-da0a-11ec-8a2a-5f2f7444bdf5,89.60858717,5.055150801,1.616144268,-2.137447143,-3.438724251,81.18538111,2.081454166,-0.151982214,-6.432243476,-0.651443907,0.420921971,11.33135338,9.981419202,-21.59098621,74.36885677,1926.691385,-762.4804906,92.98343866,-0.599684392,-0.367978279,-0.710612845,63.67553917,74.85210208,-1.793158768,0.077299627,1.753331202,2.137764826,26.89670692,33.38973179,,,,,,,,,0.99649269,1,,54.32461406,high,high,23.06802891,-38.47414126,53.99538686,,,
2,5/22/2022,1:04:26 PM,2,1,Noah Conlon,conlono42,Right,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,1,0,0,Cutter,,StrikeCalled,,,,0,0,,82.56861197,-1.138381183,-1.185185839,2210.784692,226.2923828,1:30,5.093256513,1.525843785,6.336724616,-34.65500011,5.44723403,1.783565117,1.634391975,-0.509542409,74.1946331,-8.651806147,-2.422027935,0.455780569,,,,,,,,,,,,-1.30764385,3.30266847,-1.440564479,50,4.993955843,2.438288342,-120.2448603,-3.349352416,-1.914167399,23.35671972,-27.33950667,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,629fb37a-da0a-11ec-ac44-4577b86b59be,82.71489925,5.089514232,1.529958081,-1.092229072,-1.236765291,74.30866709,1.63822141,-0.513002788,-8.593345645,-2.47502906,0.45564516,2.25543112,3.773100337,-77.86400751,52.3381517,464.779325,-2161.376676,21.02327408,-0.145266308,-0.977651367,-0.151972053,,,,,,,,,,,,,,,,,0.997317742,1,,,high,high,42.89566347,-1.607081293,54.16327538,,,
3,5/22/2022,1:04:39 PM,2,2,Noah Conlon,conlono42,Right,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,0,1,Sinker,,BallCalled,,,,0,0,,86.97939748,-3.220600046,-4.328087401,1498.876177,247.1246283,2:15,4.991758643,1.686605423,6.601920877,-30.72259588,6.077587271,8.450922266,-0.526175911,-1.140314393,79.57059107,-10.86760349,-0.989563269,0.436612849,,,,,,,,,,,,-5.417599889,4.823381976,-0.365862299,50,6.377570208,5.448830593,-125.0106257,-12.04469609,-8.555405772,25.6878305,-24.55702529,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,697c23ae-da0a-11ec-bcbb-13c5fcd5ebc0,87.13034703,4.988695512,1.690203479,-3.183715583,-4.372076702,79.68829763,-0.523089587,-1.143222183,-10.82078908,-1.034546968,0.436495466,8.873294524,4.511097205,-37.94583468,18.76308671,1182.002394,-921.6833157,78.85924215,-0.306547913,-0.614916249,-0.726571665,,,,,,,,,,,,,,,,,0.997165048,1,,,high,high,73.11322196,-53.67333899,53.89807912,Emiliano Gonzalez,gonzaem47,Uc san diego
4,5/22/2022,1:04:56 PM,2,3,Noah Conlon,conlono42,Right,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,1,1,Cutter,,BallCalled,,,,0,0,,81.8859862,-2.001500465,-3.767821024,2186.368665,240.0544426,2:00,5.08145633,1.588424415,6.313491876,-34.82899453,6.176986483,3.40258768,0.619030298,-1.195366708,76.14476857,-9.586565312,-2.59912978,0.460887708,,,,,,,,,,,,-2.914642163,3.941776248,-1.314360439,50,4.918025615,7.740876967,-118.9645795,-5.124915077,-4.175975974,22.87181903,-26.52643935,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,744bc994-da0a-11ec-8b4f-a776dd4431cb,82.0356227,5.077684317,1.592937973,-1.956394009,-3.822624857,76.26136707,0.622600612,-1.198778367,-9.531851801,-2.65179391,0.460748878,3.905814611,4.487156375,-73.92382184,56.15734253,605.4386189,-2100.869348,27.69151556,-0.138229642,-0.960894373,-0.239947014,,,,,,,,,,,,,,,,,0.996140503,1,,,high,high,39.45839172,-4.414694071,54.18650812,Emiliano Gonzalez,gonzaem47,Uc san diego
5,5/22/2022,1:05:17 PM,2,4,Noah Conlon,conlono42,Right,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,2,1,Cutter,,StrikeCalled,,,,0,0,,80.63967591,0.096982626,-1.377225979,2206.821733,188.7569223,12:15,5.174254077,1.535891631,6.265684035,-36.13002982,5.475628701,-1.0844563,2.682497467,0.564415897,74.6441887,-7.438338862,-0.991804228,0.467319795,,,,,,,,,,,,0.041437159,3.09274652,-1.433707473,50,5.163462907,2.844708974,-117.4352522,-0.800806301,0.057844449,22.31753749,-27.85671162,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,80d18cbd-da0a-11ec-871a-41ac90cb1d03,80.78145085,5.170085266,1.539817052,0.147482557,-1.425685792,74.75360737,2.686469015,0.561489103,-7.377663531,-1.036460956,0.467184019,-0.625992428,3.683117826,-81.81431426,23.37616826,314.2108971,-2184.338269,14.23816398,-0.140721915,-0.989811835,-0.021676579,,,,,,,,,,,,,,,,,0.997301873,1,,,high,high,68.96144857,-26.23151177,54.23431597,Emiliano Gonzalez,gonzaem47,Uc san diego
6,5/22/2022,1:05:33 PM,2,5,Noah Conlon,conlono42,Right,Uc san diego,Cole Cabrera,cabreco43,Right,Hawaii,Windup,1,Top,1,2,2,Cutter,,StrikeSwinging,Strikeout,,,1,0,,84.00672173,-2.346126433,-2.443408951,2296.42031,238.4806354,2:00,5.135331177,1.426944719,6.364553325,-32.32024267,6.924593277,4.429921994,1.043079671,-1.450996997,77.02806769,-8.722830235,-2.733942661,0.448446151,,,,,,,,,,,,-3.178524218,4.198948255,-1.252622525,50,4.950480619,5.086401018,-122.1768234,-5.91519132,-4.800756231,24.2432616,-25.83207274,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,8aae949e-da0a-11ec-8585-ab47e29c6933,84.16068946,5.132000839,1.431441895,-2.306522791,-2.497987792,77.15289843,1.046239801,-1.454492492,-8.673959645,-2.78799413,0.448308087,4.954979966,5.315575873,-69.94925929,37.11121522,787.3327175,-2157.232818,34.28521835,-0.179238564,-0.939389366,-0.292268981,,,,,,,,,,,,,,,,,0.9979549,1,,,high,high,56.5999063,-29.16479539,54.13544668,Emiliano Gonzalez,gonzaem47,Uc san diego
7,5/22/2022,1:06:05 PM,3,1,Noah Conlon,conlono42,Right,Uc san diego,Stone Miyao,miyaost42,Left,Hawaii,Windup,1,Top,2,0,0,Sinker,,StrikeCalled,,,,0,0,,88.10946371,-0.863362256,-1.509342511,1450.155862,237.9172462,2:00,5.083413946,1.422642139,6.333194252,-28.2552149,7.065243793,8.087664502,2.247669534,0.713096215,80.652314,-7.443491745,0.244308199,0.427744752,,,,,,,,,,,,-4.868939371,4.122702314,-1.316710271,50,5.007115586,3.141663627,-128.2829059,-2.766988698,-8.087453044,27.33498557,-25.32611848,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,9daa8602-da0a-11ec-9a68-89f5d75a3346,88.27191874,5.080717224,1.425989888,-0.831050782,-1.550278531,80.78348456,2.250365986,0.710406905,-7.402150055,0.202971878,0.427611887,8.460742968,5.569583916,-36.19344621,17.47414001,1170.316182,-856.3364164,80.70278601,-0.428647658,-0.590513364,-0.683780047,,,,,,,,,,,,,,,,,0.997433832,1,,,high,high,74.27327399,-50.39368597,54.16680575,Emiliano Gonzalez,gonzaem47,Uc san diego
8,5/22/2022,1:06:20 PM,3,2,Noah Conlon,conlono42,Right,Uc san diego,Stone Miyao,miyaost42,Left,Hawaii,Windup,1,Top,2,0,1,Sinker,,InPlay,,FlyBall,Out,1,0,,87.0010372,-1.138335792,-1.865671444,1400.02597,240.5805848,2:00,5.057211233,1.524138881,6.325187091,-30.51442628,6.469778996,7.557515154,1.857437923,0.279147918,79.00381412,-7.56515168,0.027915791,0.433259356,83.16636577,36.66994959,-22.21524298,,-41.15746309,102.0101134,59.50800463,297.2132918,,-22.12533939,4.047704759,-4.703957195,3.843181422,-1.391796286,50,4.959923996,3.903107192,-126.6384637,-3.3875044,-7.61909937,26.48932823,-25.94916702,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,a6249cb5-da0a-11ec-92c7-1b2a5dbecffe,87.1584688,5.054253747,1.527406945,-1.102422393,-1.906168351,79.13041177,1.860453781,0.276437125,-7.518849567,-0.013851292,0.433127785,7.956586583,4.870738545,-40.98464923,19.23612702,1056.859054,-918.216563,75.48853212,-0.370798872,-0.655856807,-0.657540907,-25.22098954,61.75517957,49.6673321,-0.268083614,1.861227113,1.90276674,-111.9406276,275.3271448,,,,,,,,,0.997830904,1,,43.7199217,high,high,107.3125143,-17.25518148,54.17481291,Emiliano Gonzalez,gonzaem47,Uc san diego
9,5/22/2022,1:09:05 PM,1,1,Andy Archer,archean45,Right,Hawaii,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,0,0,Fastball,,BallCalled,,,,0,0,,89.76689695,-1.398167391,-2.406945143,2116.980689,213.3957838,1:00,5.780967265,1.996044744,6.612121461,-19.81590893,13.95193799,7.682266368,3.830767694,1.478498554,81.6223851,-4.716741671,0.634026869,0.418237729,,,,,,,,,,,,-4.964836101,8.143855844,-1.835842232,50,5.677684462,5.274414663,-130.6453933,-3.751570286,-8.534737007,28.90678457,-18.17445998,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,092c1dca-da0b-11ec-b412-6341768cc41c,89.94482931,5.780598303,1.99901118,-1.394302174,-2.443780835,81.77700224,3.831565068,1.47597854,-4.70386288,0.594970667,0.418097685,8.015785549,12.70381506,-24.00341173,4.155035563,1933.906813,-861.1687839,91.3521235,-0.762688254,-0.406791044,-0.502819723,,,,,,,,,,,,,,,,,0.997211069,1,,,high,high,86.26046799,1.405493747,53.88787854,Nainoa Cardinez,cardina42,Hawaii
10,5/22/2022,1:09:21 PM,1,2,Andy Archer,archean45,Right,Hawaii,Luke Saunders,saundlu43,Left,Uc san diego,Windup,1,Bottom,0,1,0,Fastball,,BallCalled,,,,0,0,,90.37297365,-3.525062651,-2.563914133,2168.253322,214.0531904,1:15,5.805015649,1.979649116,6.565396865,-19.21755829,14.28126966,7.989016621,1.690309061,1.326355165,82.5104947,-7.261994012,0.470111678,0.416319051,,,,,,,,,,,,-5.192625908,8.98897912,-1.806912054,50,5.554218291,5.648510624,-131.3006819,-8.643939164,-9.026516518,28.89872068,-16.54820441,UC San Diego,Hawaii,tri01,NCAA D1,BWC,8dd1106c-3e61-41a4-8085-3c95b321e592,122229d7-da0b-11ec-9933-1db29758f82f,90.54854978,5.804733162,1.982684194,-3.522236678,-2.600961258,82.65965329,1.691000731,1.323911556,-7.250787304,0.431846494,0.416182858,8.34918863,13.06711823,-19.69814248,41.90015845,2041.370329,-730.8417399,94.14814718,-0.78003443,-0.337064739,-0.527194129,,,,,,,,,,,,,,,,,0.996955854,1,,,high,high,52.2898574,73.03570213,53.93460314,Nainoa Cardinez,cardina42,Hawaii
