PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,10/29/2022,1:12:44 PM,1,1,Brandon Bohning,bohnibr42,Right,Cal state northridge,Jalen Smith,smithjc66,Right,Uc san diego,Stretch,1,Bottom,0,0,0,Fastball,,StrikeCalled,,,,,,,94.62077110928297,-1.9976019252639197,-2.5694436940132985,,,,6.128666458724065,1.3183222969863844,5.999999999999997,,,,1.8084045528060038,-1.0638102954040514,87.04523087836401,-7.529635852723963,-2.5694436940134557,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,0d5d1487-57c6-11ed-b0c5-f1f88c6be00f,94.77621161802521,6.12462209370631,1.3183222969863937,-1.9497982914190701,-2.5694436940133736,87.16648869590887,1.811839852907275,-1.0638102954040443,-7.477452976446021,-2.5694436940133727,0.4005393074615997,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.5,Graysen Tarlow,tarlogr42,Cal state northridge
2,10/29/2022,1:13:19 PM,1,3,Ryan Wentz,wentzry44,Right,Cal state northridge,Jalen Smith,smithjc66,Right,Uc san diego,Stretch,1,Bottom,0,0,2,Slider,,BallCalled,,,,0,0,,84.28598169504284,-1.0836528744922842,-5.796693073291879,2830.023167596486,43.55296153535134,7:30,5.437969929659689,2.6428366743938265,6.200982841272204,-41.79859018961019,-2.374783945229069,-8.797234258477163,0.9493130261336926,-3.4587758159030866,77.30632103652141,-8.892807894143443,-7.447917492942187,0.4519087998869027,,,,,,,,,,,,3.0201064819171273,-0.9631833336421872,-2.2019882916816784,49.99999999999996,5.335228804557081,12.641403588996438,-122.04196369002086,-3.517453813334677,4.508314588312028,26.312294241545718,-33.61185765676763,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,21c8a747-57c6-11ed-aa80-31bd39bbcaee,84.40055050324548,5.429820000013166,2.6448934284912413,-0.9885699123717387,-5.821319932304206,77.39018920621166,0.9572462674240557,-3.4603351632755475,-8.78695573591477,-7.468220941841166,0.451805737237189,-8.565045864376438,-4.78141580447984,-68.20001043570382,34.079656236448976,1050.9790717078617,-2627.636603483238,37.136765654128865,0.2691441704007803,-0.9284858984793637,0.25588151919246577,,,,,,,,,,,,,,,,,0.9925613866983047,1,,,high,medium,59.328309387195915,57.08544778952808,54.29901715872779,Graysen Tarlow,tarlogr42,Cal state northridge
3,10/29/2022,1:13:21 PM,1,2,Ryan Wentz,wentzry44,Right,Cal state northridge,Jalen Smith,smithjc66,Right,Uc san diego,Stretch,1,Bottom,0,0,1,Slider,,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,c8a69618-d362-4ace-b535-2a8c9f57c07b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graysen Tarlow,tarlogr42,Cal state northridge
4,10/29/2022,1:13:37 PM,1,4,Ryan Wentz,wentzry44,Right,Cal state northridge,Jalen Smith,smithjc66,Right,Uc san diego,Stretch,1,Bottom,0,1,2,Fastball,,BallCalled,,,,0,0,,91.10679154585559,-3.26349073886367,-8.86762987162162,2158.3275005849127,235.9062962906011,1:45,5.640703499592015,2.311500010147036,6.58885998391344,-23.89477535992008,9.594184463029517,7.663012689840725,1.206698036301607,-3.3043019155600777,84.78999574260452,-8.376404829210722,-5.380332199290422,0.41650704498304425,,,,,,,,,,,,-6.730526545722389,6.228641105347549,-1.704556804914667,50.000000000000064,5.40482159586455,20.216964265658614,-130.98632637120897,-8.242548922881014,-11.690084664116373,27.74025254171207,-21.35567729829466,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,2c9bf80a-57c6-11ed-aad7-5f6a70806a83,91.27909286458606,5.6390691543563625,2.3153324815269034,-3.244101130572846,-8.91322610525492,84.93317326160842,1.2084437474954695,-3.307231304335183,-8.348873872940267,-5.425297837155983,0.41638115413130855,8.086934227216474,8.399333939936076,-53.13424431957077,84.13535964324193,1294.8716606186072,-1726.7556232159566,59.994215904106,-0.3362963742456557,-0.8000433774522175,-0.4968252639148641,,,,,,,,,,,,,,,,,0.9923822165907583,1,,,high,high,14.278176321082226,-73.10265311583368,53.911140016086556,Graysen Tarlow,tarlogr42,Cal state northridge
5,10/29/2022,1:14:08 PM,1,5,Ryan Wentz,wentzry44,Right,Cal state northridge,Jalen Smith,smithjc66,Right,Uc san diego,Stretch,1,Bottom,0,3,1,Fastball,,BallCalled,Walk,,,0,0,,93.16391711724594,-2.5265782681434126,-5.33950288979782,2093.634600512704,234.67316947813129,1:45,5.7105480147316445,2.3339688459299253,6.515319099376165,-22.08216636066453,9.562481911201424,9.533806357260957,1.5406570493896374,-1.7846920327997395,85.1242954870504,-6.704001443100648,-3.533601446958664,0.4048756505861394,,,,,,,,,,,,-6.785079840236427,5.999965166055706,-1.96574303547236,50.00000000000004,5.524243170907575,12.335355319432068,-135.0321948053802,-6.64472695528166,-12.499351942420041,30.02322062472139,-21.12102176338594,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,3f303405-57c6-11ed-8c2e-2f6654480abb,93.33905840239363,5.709188440747236,2.337943920561964,-2.5107401362775064,-5.387097045208431,85.27988130363596,1.542428928481218,-1.788444735845914,-6.679002447931892,-3.584945483827939,0.40475109319666114,9.969694512747761,8.382806132322525,-38.75402457956458,89.2447788347684,1632.7010770418124,-1310.5697362179908,77.98405111579572,-0.45093477651469477,-0.6259782561374604,-0.6362460610272933,,,,,,,,,,,,,,,,,0.8788417654224716,1,,,high,medium,9.679699048708509,-41.612850014847666,53.984680900623836,Graysen Tarlow,tarlogr42,Cal state northridge
6,10/29/2022,1:14:40 PM,2,1,Ryan Wentz,wentzry44,Right,Cal state northridge,Doyle Kane,kane-do43,Right,Uc san diego,Stretch,1,Bottom,0,0,0,Fastball,,BallCalled,,,,0,0,,93.1708878926022,-4.291356722978713,-7.815377031472116,2031.4804450029249,237.3330666960867,2:00,5.6633593747923365,2.4785048518677666,6.381513327493138,-22.371740218117374,9.830500101387791,10.571611807979638,0.6574045114488426,-1.5502560002469814,86.11471801273927,-8.519595595650573,-2.8693562435044426,0.4026845142731426,,,,,,,,,,,,-7.0331277277050965,6.336360376642509,-1.692304344076994,49.99999999999994,6.218131524932918,11.15596346091727,-136.08354392214355,-11.143218276358857,-13.162252187218229,30.42034980450708,-20.315773090049113,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,5216f4ae-57c6-11ed-ba79-8b8f7212e79e,93.34419237705629,5.66187470150576,2.4827141359649856,-4.2741444039116905,-7.864438292168816,86.25764219305111,0.6589748697526513,-1.5534661565810977,-8.495119958262993,-2.9185518537600093,0.4025720702397803,11.02623798790259,8.67823555203752,-31.241685176747747,85.5060366582853,1736.889663874476,-1053.6256896807765,85.49871440539391,-0.4614832230349112,-0.5186491911711508,-0.7197473524472469,,,,,,,,,,,,,,,,,0.906243106523888,1,,,high,high,13.044567007543257,-27.27292042434592,54.11848667250686,Graysen Tarlow,tarlogr42,Cal state northridge
7,10/29/2022,1:14:58 PM,2,2,Ryan Wentz,wentzry44,Right,Cal state northridge,Doyle Kane,kane-do43,Right,Uc san diego,Stretch,1,Bottom,0,1,0,Fastball,,StrikeCalled,,,,0,0,,94.84200216577578,-1.8356503708129381,-3.5047673041578475,2108.6672256019488,237.22305898103548,2:00,5.730118677745691,2.4087612380968473,6.400910036148773,-21.865684490903476,8.659331450319513,9.867453204102025,2.973454363022021,-0.13987789921247365,86.48378939663043,-6.29456005841331,-1.7601569435426332,0.3976486131607239,,,,,,,,,,,,-6.434802461476544,5.290160808565071,-2.162276006613733,50.000000000000036,5.588377488410561,8.133496379492358,-137.833258566999,-5.108792295831021,-12.336664974150244,31.612582880983037,-22.031866986711368,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,5cfdffc0-57c6-11ed-9806-09d372b5fbbb,95.01935858254777,5.728696001783088,2.412827763594273,-1.8191333598657755,-3.5536529228341873,86.63199423210595,2.9750094212178126,-0.143133892397787,-6.270356835222869,-1.8099440427936178,0.3975252072039962,10.313712381053747,7.47128936573159,-38.714568444654944,83.41704957786474,1645.332727303636,-1318.8471044027049,78.02713995490458,-0.4224154308752049,-0.6254410787962151,-0.65604013651052,,,,,,,,,,,,,,,,,0.9962430708639253,1,,,high,high,14.924655379921761,-19.14969642452324,54.09908996385123,Graysen Tarlow,tarlogr42,Cal state northridge
8,10/29/2022,1:15:16 PM,2,3,Ryan Wentz,wentzry44,Right,Cal state northridge,Doyle Kane,kane-do43,Right,Uc san diego,Stretch,1,Bottom,0,1,1,Slider,,StrikeSwinging,,,,0,0,,84.53464643150917,-2.7239576695004337,-5.296281510867628,2796.3460468214585,26.991551876495418,7:00,5.412995118212078,2.771004312434332,6.1705038790893285,-41.02316705950498,-3.2002186358116447,-6.298921726293628,0.17548142489124322,-0.7823966987303387,79.05025071722187,-10.758629514981436,-4.045778285594858,0.45043444886889766,,,,,,,,,,,,1.870882718914637,-0.3861383485308885,-2.366410371881372,49.99999999999997,5.185015289126709,11.530773088663617,-122.40082744099789,-7.046525948684926,2.815736726709408,25.951365586547514,-32.75519981982123,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,67b89087-57c6-11ed-9776-e3da8cf2bb7e,84.64617082848991,5.405386964892595,2.7743314606788343,-2.6352186529353707,-5.335946540552969,79.12719703993417,0.18180069404724045,-0.7845412844812151,-10.6635598934781,-4.078230822017079,0.4503335540624348,-5.936061429153153,-5.450405931431782,-73.84869358448437,58.698761828501844,777.8732144535232,-2685.975516606535,27.817487586620892,0.24787424753726317,-0.9605304463872134,0.12625220382637428,,,,,,,,,,,,,,,,,0.9931108053605184,1,,,high,high,37.17111435434836,66.66815812455127,54.32949612091067,Graysen Tarlow,tarlogr42,Cal state northridge
9,10/29/2022,1:15:45 PM,2,4,Ryan Wentz,wentzry44,Right,Cal state northridge,Doyle Kane,kane-do43,Right,Uc san diego,Stretch,1,Bottom,0,1,2,Fastball,,BallCalled,,,,0,0,,93.20252983710016,-3.8593105977947086,-8.90852737134714,2071.290045340344,230.4890122623903,1:45,5.5984251279993265,2.302726176647915,6.640115986858606,-20.180350326354894,10.443668053556607,8.875131171200216,1.0800364235556656,-2.859010934863609,86.74770381516161,-7.874124489495314,-4.78174052255053,0.40708161737921605,,,,,,,,,,,,-7.592040068190201,7.22076434842851,-1.7015036544487452,49.999999999999936,5.3261662805183985,20.72464605473383,-133.90681608390597,-9.74863007211636,-13.777566931776901,29.05826099836117,-19.070250973833627,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,793e4245-57c6-11ed-87fc-e57f8eda01d7,93.37883209684298,5.597368234382801,2.306485658645988,-3.8470301779098253,-8.952697806594426,86.8963331789036,1.0812383032345108,-2.861888650512127,-7.854959596488696,-4.82583395971287,0.40695748902469975,9.288400143230646,9.366617714034545,-36.434662825490285,88.56919424084495,1666.4245907249435,-1230.151021360064,80.4534639884838,-0.5118660044117,-0.5939057275573069,-0.6207005560672775,,,,,,,,,,,,,,,,,0.9703744365510432,1,,,high,high,10.287725183239722,87.1028188844362,53.85988401314139,Graysen Tarlow,tarlogr42,Cal state northridge
10,10/29/2022,1:16:27 PM,2,5,Ryan Wentz,wentzry44,Right,Cal state northridge,Doyle Kane,kane-do43,Right,Uc san diego,Stretch,1,Bottom,0,2,2,Slider,,BallCalled,,,,0,0,,84.91551610404112,-3.537283008253462,-6.698716335826944,2859.4242584980807,36.878564618152446,7:15,5.418229502167161,2.5343788008405457,6.372101979587395,-43.554070679485655,-5.083712576370068,-9.776514613903807,-0.7004188216536824,-3.0750116073852505,78.43981161692182,-11.888579494230784,-6.27887543293717,0.446410742434281,,,,,,,,,,,,3.972492734067135,-1.5879161592270805,-1.4959708607610833,49.99999999999997,6.138765524313586,9.819659991072166,-123.33106894357408,-9.413955097404486,6.034596509141935,27.668777576266702,-34.58624614689114,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,2263c1d4-0d5c-4f23-a2d9-1173b2f504ff,91913c47-57c6-11ed-a0b8-67d76da45848,85.01941204845814,5.409315349987789,2.5358866558714235,-3.4334428886242376,-6.716951284441078,78.5046686471786,-0.6930782211215113,-3.0758885080328215,-11.77964897867319,-6.291776823019441,0.44632171694647566,-9.6021278058675,-7.701961671019657,-63.20342511241843,57.61521865358022,1289.0975758565573,-2552.3586209637638,45.082417274226344,0.3606184171207225,-0.8926127745395838,0.27054905647976435,,,,,,,,,,,,,,,,,0.9731407300890265,1,,,high,high,38.146303211777784,57.318476410923616,54.1278980204126,Graysen Tarlow,tarlogr42,Cal state northridge
