PitchNo,Date,Time,Umpire,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,PLH,PLS,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,SpinEff,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/15/22,34:15.6,"Coles, Carl",1,1,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.1254,-4.034241,3.11273,2333.469921,141.078731,10:45,6.46935,-1.14427,6.13739,-16.32292,21.56989,-16.31383,1.36889,0.37592,16.42668,4.51104,78.09991,-7.177043,0.175308,0.443047,,,,,,,,,,,,,9.32886,12.75434,0.91459,50,6.15205,-6.1163,-124.58607,-9.19885,14.51981,27.30359,-12.32267,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,f2490b50-bd1c-11ec-a26e-af11e077139d,85.0755,,,8.0255,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,34:15.6,2022-04-15T17:34:15.6380000-07:00,2022-04-16T00:34:15.6380000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,770141e7-bcfd-4d5c-8a70-5d25e58d03c4,54.36084,-125.53813,13.6518,6.46532,-8.76916,-6.16134,1.13669,-6.62259,7.25991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/15/22,34:29.5,"Coles, Carl",1,2,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.53654,-2.493893,3.923804,2286.424435,138.834114,10:45,6.42061,-1.17306,6.09699,-18.32076,19.3047,-15.68406,2.58033,1.15485,30.96396,13.8582,78.18549,-6.009297,1.10602,0.441481,,,,,,,,,,,,,9.23532,11.09898,0.87823,50,6.21829,-7.94019,-125.21424,-5.94774,14.49047,28.04664,-14.7594,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,fa86e080-bd1c-11ec-a26e-af11e077139d,85.3772,,,8.35105,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,34:29.5,2022-04-15T17:34:29.5250000-07:00,2022-04-16T00:34:29.5250000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,f8481165-227e-46ee-b7fd-a5de88273bce,54.4002,-126.19599,14.02332,6.41744,-5.4311,-7.3797,1.16504,-8.44742,7.24523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/15/22,34:42.7,"Coles, Carl",1,3,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.99119,4.065809,-0.458644,2747.656695,314.740525,4:30,5.98298,-1.93119,5.67977,-65.58267,-14.32209,16.37064,4.31443,-0.99454,51.77316,-11.93448,67.39668,-7.958851,2.467628,0.515303,,,,,,,,,,,,,-8.37465,-7.97343,1.95966,50,6.28573,0.24384,-108.54632,5.56872,-9.76524,23.01318,-41.47144,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,02670550-bd1d-11ec-a26e-af11e077139d,73.1461,,,7.59451,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,34:42.7,2022-04-15T17:34:42.7010000-07:00,2022-04-16T00:34:42.7010000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,c79ab6e3-0f68-47a0-a897-547eab6546c0,54.82245,-109.56397,11.50659,5.99893,7.4026,-20.73572,1.93933,0.67566,-4.88262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/15/22,34:57.5,"Coles, Carl",1,4,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Glascoe, Luke",1000029068,Left,CSD_TRI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.16989,-2.156643,2.940853,2351.04299,139.474358,10:45,6.50304,-1.24083,6.0234,-17.16186,20.70155,-16.55454,3.0718,0.10587,36.8616,1.27044,78.04628,-5.458431,-0.033679,0.442875,,89.06518,9.157017,16.687553,1803.428008,,,,136.97286,,19.101414,1.181031,9.45548,11.71666,1.01958,50,6.32474,-5.7551,-124.89598,-5.16027,14.78524,27.5173,-13.85305,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,0b302a90-bd1d-11ec-a26e-af11e077139d,85.10848,8.25887,,8.12362,,,,2.47852,3.1387,0.03696,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,34:57.5,2022-04-15T17:34:57.4580000-07:00,2022-04-16T00:34:57.4580000Z,LineDrive,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,a9f6b8ea-1206-4a28-9098-293bedf8cc2e,54.47648,-125.87838,13.75865,6.50014,-4.6657,-6.92653,1.23447,-6.28295,7.39262,,2.47852,123.53232,-15.46387,1.95843,-0.23825,-0.25568,0.30701,-0.15461,0.03012,3.1387,20.78796,-22.16839,2.36076,-0.28187,-0.28189,0.37402,-0.19457,0.03885,0.03696,37.03289,1.63758,-0.87887,-0.08151,0.53986,-0.59593,0.30586,-0.06132,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,4/15/22,35:30.7,"Coles, Carl",2,1,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49434,0.564901,0.978683,2086.452157,121.041711,10:00,6.47278,-1.07443,6.02747,-33.331,13.76044,-19.9758,4.21847,-1.83259,50.62164,-21.99108,69.74357,-5.720102,-2.615922,0.493904,,,,,,,,,,,,,10.49607,7.39744,1.00807,50,6.49923,-1.16806,-112.38722,0.17918,13.16612,24.02531,-22.89481,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,1f160200-bd1d-11ec-a26e-af11e077139d,76.31531,,,7.75077,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,35:30.7,2022-04-15T17:35:30.7150000-07:00,2022-04-16T00:35:30.7150000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,39073110-71f7-44d6-b27b-972df0751f04,54.46887,-113.33851,12.01266,6.47419,1.08571,-11.44741,1.06465,-1.68938,6.58306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/15/22,35:45.6,"Coles, Carl",2,2,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.10222,-2.150152,3.102257,2139.595693,127.653798,10:15,6.42329,-1.17261,6.31253,-29.24801,16.54387,-19.26662,2.00148,0.08233,24.01776,0.98796,70.75333,-7.682863,-0.381392,0.487041,,,,,,,,,,,,,10.94839,9.77784,0.95367,50,6.25164,-5.44153,-113.17106,-5.0117,13.99663,23.40186,-19.6739,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,27e6c860-bd1d-11ec-a26e-af11e077139d,77.39068,,,7.34889,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,35:45.6,2022-04-15T17:35:45.5620000-07:00,2022-04-16T00:35:45.5620000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,37e0c81a-a55e-4d26-aa34-1606a6585507,54.18527,-114.03322,11.70093,6.42292,-4.28689,-9.83695,1.16364,-5.95719,6.99831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/15/22,35:59.4,"Coles, Carl",2,3,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.86205,2.969611,-1.56773,2646.208663,339.26105,5:15,6.44885,-1.15874,6.01344,-73.24095,-20.96678,8.68985,3.09994,-1.88727,37.19928,-22.64724,66.56913,-10.488818,-0.00063,0.520373,,,,,,,,,,,,,-4.96666,-11.00776,1.27737,50,6.64411,2.61303,-107.06922,3.25576,-5.60573,23.25746,-44.59822,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,302d2910-bd1d-11ec-a26e-af11e077139d,72.43345,,,7.29292,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,35:59.4,2022-04-15T17:35:59.3990000-07:00,2022-04-16T00:35:59.3990000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,8c16f00b-1f9d-43c7-81a1-c925c6551e2d,54.49021,-108.04017,11.62873,6.46933,5.11765,-22.29911,1.1634,2.84706,-2.80287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/15/22,36:13.4,"Coles, Carl",2,4,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,2,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,77.62486,-0.920381,3.307232,1955.190696,129.931473,10:15,6.37235,-1.08894,6.33802,-31.70293,14.29875,-15.19312,2.88155,0.69338,34.5786,8.32056,70.65352,-6.896492,0.561023,0.488155,,82.09788,27.165155,-49.452514,2946.416749,68.26854,42.93815,-86.25198,252.99829,,-57.235396,3.459818,9.00044,8.18178,0.85523,50,6.29024,-5.99513,-112.61977,-2.64452,11.45512,22.17407,-21.76086,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,387a8ea0-bd1d-11ec-a26e-af11e077139d,77.214,45.85062,,6.97134,,,,3.64305,3.09727,-0.5233,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,36:13.4,2022-04-15T17:36:13.4140000-07:00,2022-04-16T00:36:13.4140000Z,LineDrive,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,cd56495b-13fd-4ae6-bc6b-5e5b890be01b,54.16276,-113.43643,11.08704,6.37287,-1.84308,-10.88043,1.0838,-6.41702,5.72756,,3.64319,69.63682,-16.80267,4.00755,-0.83163,0.13396,-0.01248,-5.00E-05,0.0001,3.09711,54.97931,-19.77834,1.75613,-0.39575,0.1138,-0.0312,0.00563,-0.00043,-0.5234,-81.39962,10.07439,-2.05963,0.34935,-0.03142,-0.00505,0.00215,-0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,4/15/22,36:35.6,"Coles, Carl",2,5,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Jalen",1000057666,Right,CSD_TRI,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,78.47041,-0.740415,1.442704,1995.343131,130.191445,10:15,6.38274,-1.27951,6.37337,-30.74927,13.9128,-14.74202,3.1388,-1.1803,37.6656,-14.1636,71.74543,-6.533575,-1.228486,0.480995,,84.72354,10.00384,-1.871802,1969.234825,109.99547,6.21585,-0.91766,141.23848,,-0.31071,1.304379,8.15461,7.90662,1.18211,50,6.31494,-2.3678,-114.04329,-2.28824,10.6888,21.89662,-21.8103,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,45b9aba0-bd1d-11ec-a26e-af11e077139d,78.36344,9.15144,,6.72498,,,,1.81118,3.1874,1.17218,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,36:35.6,2022-04-15T17:36:35.5920000-07:00,2022-04-16T00:36:35.5920000Z,LineDrive,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,b7e423a8-cef5-4e8c-b62f-a2c105ab5f97,54.12717,-114.83298,10.94831,6.38328,-1.50166,-10.90515,1.27445,-2.75328,5.3444,325.060163,1.81118,122.30645,-13.49953,1.66359,-0.35556,0.06386,-0.01141,0.00212,-0.00022,3.1874,21.5859,-20.49876,1.93084,-0.34188,0.07681,-0.01279,0.00193,-0.0002,1.17218,-3.99706,1.85755,0.02787,0.0188,-0.00046,0.00029,-0.00014,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,4/15/22,37:16.3,"Coles, Carl",3,1,"Gutierrez, Mike",1000117319,Left,SAN_GAU,"Smith, Austin",1000110126,Left,CSD_TRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.54442,-5.64175,4.832829,2354.251599,138.951635,10:45,6.37752,-1.09486,6.45187,-15.77666,21.50548,-17.55501,-0.15583,1.89286,-1.86996,22.71432,78.7181,-8.684846,1.662859,0.439463,,,,,,,,,,,,,10.71827,13.3819,0.75973,50,5.96825,-9.9021,-124.78621,-12.74141,16.76909,26.93288,-11.23766,SAN_GAU,CSD_TRI,CaesarUyesaka,D1,BW,20220415-CaesarUyesaka-1,5df45e40-bd1d-11ec-a26e-af11e077139d,85.76939,,,7.82633,,,,,,,0c3cf919-1e46-45fb-95ea-6ce7b46fe101,4/16/22,37:16.3,2022-04-15T17:37:16.2970000-07:00,2022-04-16T00:37:16.2970000Z,,v3,,,,"Newman Jr., John",1000093232,Right,SAN_GAU,a14785a5-a339-4478-aadb-a88a14ef33fd,54.04952,-125.65719,13.46644,6.37442,-12.378,-5.61883,1.08872,-10.44439,8.38454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
